Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=CO
80439,CO,9.045,30500,10/13/2014,,
80526,CO,10.0,,09/01/2015,,
80524,CO,98.52,,06/02/2015,,
80521,CO,91.81,,06/18/2015,,
80525,CO,220.21,,06/03/2015,,
80521,CO,139.08,,04/22/2015,,
80521,CO,544.73,,03/17/2015,,
80521,CO,99.96,,11/01/2014,,
80831,CO,13.55,21000,10/08/2014,,
80127,CO,45.0,141000.0,06/18/2014,,
80005,CO,7.1,20000.0,01/28/2014,,
80401,CO,13.58,22000.0,01/01/2014,,
80523,CO,21.6,,11/01/2013,,
80523,CO,4.23,,04/01/2012,,
80523,CO,54.0,,05/01/2010,,
80523,CO,132.54,,05/01/2010,,
80523,CO,15.75,,05/01/2010,,
80523,CO,3300.0,,12/31/2010,,
80130,CO,3.43,0.0,03/24/2013,,
80401,CO,3.01,22000.0,10/13/1997,,
80209,CO,2.45,5408.0,04/23/2008,,
80401,CO,1.0,2000.0,10/13/1997,,
81005,CO,7.68,18000.0,08/01/2013,,
80401,CO,2.3,5000.0,10/01/2012,,
80301,CO,98.175,,04/03/2009,,
80210,CO,0.5,1000.0,06/02/2013,,
80130,CO,8.4,35196.0,03/03/2013,,
80443,CO,64.9,260249.0,03/02/2013,,
80443,CO,238.95,958189.5,03/01/2013,,
80498,CO,5.76,24134.4,02/28/2013,,
80443,CO,38.35,153783.5,02/27/2013,,
80211,CO,5.28,22123.2,02/26/2013,,
80443,CO,47.2,189272.0,02/25/2013,,
81526,CO,4.66,19525.4,02/24/2013,,
81505,CO,7.11,29790.9,02/23/2013,,
80012,CO,6.37,26690.3,02/22/2013,,
81507,CO,12.74,51087.4,02/21/2013,,
80223,CO,2.88,12528.0,02/20/2013,,
80018,CO,3.36,14616.0,02/20/2013,,
80204,CO,9.31,39008.9,02/15/2013,,
81507,CO,5.39,22584.1,02/14/2013,,
80223,CO,4.655,19504.45,02/11/2013,,
80121,CO,6.86,28743.4,02/06/2013,,
80127,CO,5.15,21578.5,02/05/2013,,
81504,CO,4.9,20531.0,01/31/2013,,
81504,CO,4.9,20531.0,01/31/2013,,
81507,CO,6.96,29162.4,01/31/2013,,
81504,CO,5.15,21578.5,01/28/2013,,
81507,CO,4.41,18477.9,01/22/2013,,
81503,CO,3.19,13876.5,01/22/2013,,
81507,CO,7.11,29790.9,01/18/2013,,
80128,CO,7.6,31844.0,01/17/2013,,
80130,CO,4.41,18477.9,01/17/2013,,
81507,CO,6.86,28743.4,01/15/2013,,
81501,CO,7.11,29790.9,01/14/2013,,
81507,CO,9.31,39008.9,01/10/2013,,
81503,CO,4.41,18477.9,01/10/2013,,
81504,CO,6.615,27716.85,01/07/2013,,
81507,CO,4.41,18477.9,01/07/2013,,
81520,CO,5.88,24637.2,01/03/2013,,
80127,CO,3.68,16008.0,01/03/2013,,
80540,CO,4.9,20531.0,01/03/2013,,
80123,CO,8.09,33897.1,01/03/2013,,
81503,CO,5.15,21578.5,01/01/2013,,
80126,CO,5.39,22584.1,12/27/2012,,
80228,CO,4.9,20531.0,12/20/2012,,
81504,CO,4.17,17472.3,12/19/2012,,
80123,CO,8.57,35908.3,12/18/2012,,
81501,CO,7.84,32849.6,12/14/2012,,
80020,CO,4.66,19525.4,12/11/2012,,
81520,CO,6.48,27151.2,04/10/2013,,
81504,CO,10.56,42345.6,04/05/2013,,
81521,CO,10.8,43308.0,04/03/2013,,
80017,CO,6.0,25140.0,04/01/2013,,
81504,CO,7.44,31173.6,04/01/2013,,
81507,CO,3.84,16704.0,03/28/2013,,
81507,CO,13.92,55819.2,03/28/2013,,
81504,CO,5.28,22123.2,03/19/2013,,
80007,CO,11.76,47157.6,03/15/2013,,
80211,CO,2.4,10440.0,03/14/2013,,
81504,CO,5.76,24134.4,03/12/2013,,
80227,CO,8.16,34190.4,03/08/2013,,
80120,CO,10.08,40420.8,03/06/2013,,
81504,CO,7.2,30168.0,03/05/2013,,
81507,CO,4.32,18100.8,03/01/2013,,
80122,CO,5.04,21117.6,02/28/2013,,
81507,CO,3.36,14616.0,02/28/2013,,
81520,CO,6.0,25140.0,02/27/2013,,
81507,CO,6.24,26145.6,02/21/2013,,
81505,CO,6.72,28156.8,02/20/2013,,
81506,CO,5.04,21117.6,02/20/2013,,
80212,CO,5.52,23128.8,02/15/2013,,
80224,CO,6.24,26145.6,02/14/2013,,
81418,CO,11.52,46195.2,02/11/2013,,
81504,CO,12.0,48120.0,01/31/2013,,
81504,CO,7.44,31173.6,01/31/2013,,
80223,CO,3.84,16704.0,01/28/2013,,
81504,CO,5.28,22123.2,01/22/2013,,
81503,CO,9.36,39218.4,01/18/2013,,
80124,CO,3.6,15660.0,01/17/2013,,
81504,CO,6.24,26145.6,01/17/2013,,
81507,CO,12.48,50044.8,01/15/2013,,
81504,CO,8.64,36201.6,01/15/2013,,
81503,CO,6.48,27151.2,01/14/2013,,
81401,CO,5.76,24134.4,01/10/2013,,
80013,CO,3.6,15660.0,01/10/2013,,
80129,CO,6.24,26145.6,01/07/2013,,
80127,CO,9.36,39218.4,01/03/2013,,
80205,CO,4.32,18100.8,01/03/2013,,
81520,CO,12.0,48120.0,01/01/2013,,
80130,CO,6.0,25140.0,12/21/2012,,
80124,CO,4.8,20112.0,12/20/2012,,
80016,CO,6.72,28156.8,12/20/2012,,
80111,CO,7.44,31173.6,12/19/2012,,
80126,CO,4.08,17095.2,12/14/2012,,
81505,CO,4.56,19106.4,12/11/2012,,
80226,CO,9.6,40224.0,12/07/2012,,
80212,CO,2.64,11484.0,12/07/2012,,
80031,CO,3.84,16704.0,12/05/2012,,
80130,CO,2.16,9396.0,12/05/2012,,
81507,CO,6.24,26145.6,12/04/2012,,
80124,CO,5.28,22123.2,12/03/2012,,
80602,CO,5.76,24134.4,11/29/2012,,
81503,CO,5.76,24134.4,11/28/2012,,
81507,CO,3.36,14616.0,11/26/2012,,
80010,CO,5.52,23128.8,11/26/2012,,
81507,CO,9.36,39218.4,11/16/2012,,
81503,CO,9.36,39218.4,11/14/2012,,
80026,CO,6.48,27151.2,11/13/2012,,
81520,CO,6.24,26145.6,11/09/2012,,
81521,CO,6.24,26145.6,11/09/2012,,
81503,CO,8.88,37207.2,11/08/2012,,
81505,CO,4.8,20112.0,11/07/2012,,
81521,CO,3.6,15660.0,11/01/2012,,
81504,CO,3.84,16704.0,10/31/2012,,
81507,CO,4.41,18477.9,10/30/2012,,
81526,CO,5.76,24134.4,10/30/2012,,
80016,CO,6.24,26145.6,10/30/2012,,
81504,CO,9.84,41229.6,10/26/2012,,
80031,CO,8.4,35196.0,10/25/2012,,
81505,CO,6.24,26145.6,10/21/2012,,
81507,CO,9.6,40224.0,10/18/2012,,
81503,CO,9.6,40224.0,10/17/2012,,
80128,CO,5.28,22123.2,10/17/2012,,
81505,CO,6.24,26145.6,10/16/2012,,
80126,CO,6.24,26145.6,10/12/2012,,
80209,CO,2.4,10440.0,10/12/2012,,
81526,CO,6.72,28156.8,10/12/2012,,
81521,CO,3.84,16704.0,10/10/2012,,
81526,CO,6.24,26145.6,10/09/2012,,
81521,CO,5.76,24134.4,10/09/2012,,
81505,CO,7.44,31173.6,10/09/2012,,
81503,CO,9.6,40224.0,10/03/2012,,
81521,CO,7.2,30168.0,10/03/2012,,
81505,CO,9.84,41229.6,10/03/2012,,
81505,CO,6.24,26145.6,10/02/2012,,
80126,CO,8.4,35196.0,10/01/2012,,
80129,CO,6.24,26145.6,09/26/2012,,
80466,CO,5.39,22584.1,09/25/2012,,
81521,CO,7.68,32179.2,09/24/2012,,
80403,CO,3.19,13876.5,09/21/2012,,
81506,CO,9.6,40224.0,09/21/2012,,
80126,CO,6.86,28743.4,09/20/2012,,
81507,CO,8.4,35196.0,09/19/2012,,
80130,CO,10.0,41900.0,09/19/2012,,
81507,CO,4.08,17095.2,09/18/2012,,
80212,CO,5.28,22123.2,09/18/2012,,
81526,CO,5.04,21117.6,09/17/2012,,
80122,CO,7.92,33184.8,09/13/2012,,
81507,CO,9.84,41229.6,09/12/2012,,
80126,CO,4.08,17095.2,09/12/2012,,
80122,CO,5.28,22123.2,09/12/2012,,
81526,CO,9.56,40056.4,09/11/2012,,
81621,CO,9.31,39008.9,09/10/2012,,
81507,CO,9.84,41229.6,09/05/2012,,
80122,CO,5.28,22123.2,09/04/2012,,
81526,CO,6.24,26145.6,08/29/2012,,
80128,CO,7.44,31173.6,08/27/2012,,
81526,CO,36.0,144360.0,08/23/2012,,
81526,CO,2.25,9787.5,08/23/2012,,
81520,CO,6.24,26145.6,08/23/2012,,
80023,CO,6.5,27235.0,08/22/2012,,
81504,CO,9.36,39218.4,08/20/2012,,
81507,CO,6.37,26690.3,08/17/2012,,
80108,CO,5.88,24637.2,08/17/2012,,
80237,CO,5,20950,08/17/2012,,
80129,CO,7.2,30168.0,08/14/2012,,
80440,CO,9.75,40852.5,08/08/2012,,
81507,CO,9.75,40852.5,08/02/2012,,
81507,CO,7.2,30168.0,08/01/2012,,
80129,CO,8.57,35908.3,07/25/2012,,
80207,CO,2.64,11484.0,07/25/2012,,
81521,CO,3.84,16704.0,07/24/2012,,
81504,CO,6.24,26145.6,07/23/2012,,
81504,CO,6.24,26145.6,07/20/2012,,
80222,CO,2.16,9396.0,07/20/2012,,
80120,CO,9.75,40852.5,07/18/2012,,
80120,CO,5.39,22584.1,07/18/2012,,
80003,CO,6.37,26690.3,07/16/2012,,
80031,CO,5.0,20950.0,07/13/2012,,
80122,CO,9.56,40056.4,07/10/2012,,
81521,CO,7.595,31823.05,07/06/2012,,
80228,CO,7.11,29790.9,07/06/2012,,
80017,CO,6.5,27235,07/05/2012,,
80123,CO,5.64,23631.6,07/02/2012,,
81521,CO,8.57,35908.3,06/29/2012,,
80439,CO,7.25,30377.5,06/29/2012,,
80031,CO,5.5,23045.0,06/26/2012,,
81507,CO,8.82,36955.8,06/22/2012,,
80228,CO,3.0,13050.0,06/21/2012,,
81623,CO,9.75,40852.5,06/19/2012,,
80128,CO,3.0,13050.0,06/14/2012,,
81623,CO,6.0,25140.0,06/12/2012,,
81521,CO,7.35,30796.5,06/12/2012,,
81507,CO,6.86,28743.4,06/12/2012,,
80229,CO,9.0,37710.0,06/11/2012,,
81507,CO,6.5,27235.0,06/07/2012,,
80550,CO,6.0,25140.0,06/06/2012,,
81507,CO,4.5,18855.0,06/06/2012,,
81507,CO,5.88,24637.2,06/04/2012,,
80301,CO,7.0,29330.0,06/04/2012,,
80126,CO,7.5,31425.0,06/01/2012,,
80126,CO,5.75,24092.5,06/01/2012,,
81507,CO,7.84,32849.6,05/31/2012,,
81507,CO,3.19,13876.5,05/31/2012,,
80130,CO,5.5,23045.0,05/30/2012,,
80110,CO,8.75,36662.5,05/30/2012,,
80126,CO,9.6,40224.0,05/25/2012,,
81506,CO,3.19,13876.5,05/25/2012,,
81504,CO,6.5,27235.0,05/24/2012,,
80211,CO,4.25,17807.5,05/24/2012,,
81504,CO,5.5,23045.0,05/24/2012,,
81501,CO,2.21,9613.5,05/23/2012,,
80020,CO,6.5,27235.0,05/22/2012,,
81521,CO,5.5,23045.0,05/22/2012,,
80031,CO,5.0,20950.0,05/21/2012,,
81507,CO,7.5,31425.0,05/17/2012,,
80130,CO,6.37,26690.3,05/16/2012,,
80226,CO,3.25,14137.5,05/14/2012,,
80013,CO,6.5,27235.0,05/11/2012,,
80301,CO,7.75,32472.5,05/10/2012,,
81521,CO,3.19,13876.5,05/10/2012,,
81507,CO,9.75,40852.5,05/09/2012,,
80007,CO,6.25,26187.5,05/08/2012,,
80007,CO,6.5,27235.0,05/08/2012,,
81521,CO,9.75,40852.5,05/08/2012,,
81521,CO,6.5,27235.0,05/07/2012,,
80128,CO,6.37,26690.3,05/04/2012,,
81507,CO,6.5,27235.0,05/03/2012,,
81521,CO,6.0,25140.0,04/30/2012,,
80122,CO,7.75,32472.5,04/30/2012,,
80130,CO,6.5,27235.0,04/30/2012,,
80126,CO,8.5,35615.0,04/30/2012,,
81521,CO,9.0,37710.0,04/27/2012,,
81507,CO,9.75,40852.5,04/27/2012,,
80524,CO,6.5,27235.0,04/25/2012,,
81507,CO,9.75,40852.5,04/25/2012,,
81507,CO,9.0,37710.0,04/23/2012,,
81507,CO,8.0,33520.0,04/20/2012,,
81507,CO,8.25,34567.5,04/19/2012,,
80549,CO,6.75,28282.5,04/16/2012,,
80124,CO,3.445,14985.75,04/13/2012,,
80130,CO,6.0,25140.0,04/13/2012,,
80129,CO,9.75,40852.5,04/13/2012,,
80129,CO,4.0,16760.0,04/13/2012,,
80130,CO,6.5,27235.0,04/12/2012,,
81501,CO,3.25,14137.5,04/12/2012,,
81521,CO,9.75,40852.5,04/11/2012,,
81526,CO,5.25,21997.5,04/05/2012,,
81520,CO,10.0,41900.0,03/30/2012,,
81507,CO,9.75,40852.5,03/30/2012,,
81504,CO,7.5,31425.0,03/29/2012,,
80301,CO,34.5,138345.0,03/29/2012,,
80301,CO,44.16,177081.6,03/29/2012,,
80301,CO,5.52,23128.8,03/29/2012,,
80301,CO,7.59,31802.1,03/29/2012,,
80301,CO,8.28,34693.2,03/29/2012,,
80022,CO,4.5,18855.0,03/28/2012,,
81507,CO,7.25,30377.5,03/28/2012,,
80126,CO,8.75,36662.5,03/26/2012,,
81504,CO,4.0,16760.0,03/26/2012,,
81501,CO,4.5,18855.0,03/23/2012,,
81505,CO,4.5,18855.0,03/22/2012,,
80129,CO,6.75,28282.5,03/19/2012,,
81501,CO,4.0,16760.0,03/16/2012,,
81505,CO,98.9,396589.0,03/16/2012,,
80129,CO,10.0,41900.0,03/15/2012,,
80233,CO,6.0,25140.0,03/14/2012,,
81526,CO,8.25,34567.5,03/14/2012,,
81650,CO,6.5,27235.0,03/08/2012,,
80020,CO,6.75,28282.5,03/07/2012,,
81521,CO,9.5,39805.0,03/05/2012,,
81504,CO,4.5,18855.0,03/05/2012,,
81507,CO,3.75,16312.5,03/01/2012,,
80129,CO,7.75,32472.5,02/24/2012,,
81504,CO,6.0,25140.0,02/24/2012,,
81504,CO,8.5,35615.0,02/24/2012,,
81526,CO,6.5,27235.0,02/24/2012,,
81504,CO,5.25,21997.5,02/22/2012,,
81507,CO,3.25,14137.5,02/21/2012,,
80129,CO,9.75,40852.5,02/21/2012,,
80126,CO,7.5,31425.0,02/17/2012,,
81504,CO,5.0,20950.0,02/17/2012,,
81501,CO,6.5,27235.0,02/17/2012,,
81526,CO,8.09,33897.1,02/14/2012,,
81526,CO,3.19,13876.5,02/14/2012,,
81501,CO,5.0,20950.0,02/13/2012,,
80027,CO,5.39,22584.1,02/13/2012,,
81526,CO,8.09,33897.1,02/13/2012,,
80130,CO,3.5,15225.0,02/08/2012,,
80129,CO,7.5,31425.0,02/02/2012,,
80126,CO,8.5,35615.0,01/31/2012,,
81507,CO,9.5,39805.0,01/30/2012,,
81521,CO,9.5,39805.0,01/30/2012,,
80126,CO,4.5,18855.0,01/30/2012,,
81507,CO,3.25,14137.5,01/26/2012,,
80401,CO,2.0,8700.0,01/26/2012,,
80403,CO,2.0,8700.0,01/26/2012,,
80022,CO,7.5,31425.0,01/26/2012,,
81507,CO,3.25,14137.5,01/26/2012,,
81504,CO,4.5,18855.0,01/23/2012,,
81521,CO,3.5,15225.0,01/19/2012,,
81507,CO,3.5,15225.0,01/19/2012,,
80260,CO,6.0,25140.0,01/13/2012,,
80129,CO,6.5,27235.0,01/13/2012,,
81504,CO,6.0,25140.0,01/13/2012,,
80126,CO,6.5,27235.0,01/06/2012,,
81507,CO,8.0,33520.0,01/06/2012,,
81504,CO,7.5,31425.0,01/06/2012,,
81507,CO,7.0,29330.0,01/04/2012,,
81504,CO,9.75,40852.5,01/03/2012,,
81504,CO,4.5,18855.0,12/30/2011,,
81504,CO,4.0,16760.0,12/30/2011,,
81504,CO,3.5,15225.0,12/28/2011,,
81507,CO,9.75,40852.5,12/27/2011,,
81507,CO,3.5,15225.0,12/23/2011,,
81501,CO,3.0,13050.0,12/21/2011,,
81507,CO,7.5,31425.0,12/21/2011,,
81504,CO,5.75,24092.5,12/20/2011,,
81503,CO,4.5,18855.0,12/19/2011,,
81521,CO,9.75,40852.5,12/19/2011,,
80129,CO,8.25,34567.5,12/15/2011,,
81521,CO,6.5,27235.0,12/13/2011,,
81507,CO,4.5,18855.0,12/13/2011,,
81521,CO,9.75,40852.5,12/12/2011,,
81507,CO,9.75,40852.5,12/09/2011,,
80227,CO,8.25,34567.5,12/09/2011,,
81505,CO,3.0,13050.0,11/28/2011,,
81650,CO,9.75,40852.5,11/14/2011,,
81526,CO,8.09,33897.1,11/07/2011,,
81416,CO,83.72,335717.2,10/10/2011,,
81505,CO,23.92,95919.2,09/28/2011,,
81520,CO,99.65,399596.5,08/10/2011,,
81503,CO,44.16,177081.6,04/20/2011,,
81507,CO,13.92,66676.07,01/03/2013,,
80007,CO,11.27,46058.0,01/07/2013,,
80124,CO,5.76,21336.72,11/23/2012,,
80230,CO,102.9,,08/11/2010,,
80230,CO,109.2,,02/28/2011,,
80461,CO,116.16,,07/05/2012,,
80215,CO,206.31,,01/03/2012,,
80002,CO,209.3,,06/01/2012,,
80215,CO,206.31,,06/01/2012,,
80123,CO,310.96,,03/09/2012,,
80127,CO,68.77,,03/09/2012,,
80227,CO,209.3,,03/09/2012,,
80033,CO,98.67,,03/09/2012,,
80021,CO,92.69,,03/09/2012,,
80228,CO,102.96,,03/01/2011,,
80004,CO,90.48,,03/01/2011,,
80226,CO,93.6,,03/01/2011,,
80127,CO,96.72,,03/01/2011,,
80002,CO,93.6,,03/01/2011,,
80005,CO,99.84,,03/01/2011,,
80127,CO,95.68,,03/01/2011,,
80003,CO,92.69,,03/01/2011,,
80128,CO,93.6,,03/01/2011,,
80401,CO,100.815,,03/01/2011,,
80128,CO,96.72,,03/01/2011,,
80439,CO,45.825,,03/01/2011,,
80004,CO,101.66,,03/01/2011,,
80021,CO,102.96,,03/01/2011,,
80439,CO,100.815,,03/01/2011,,
80005,CO,100.815,,03/01/2011,,
80232,CO,100.815,,03/01/2011,,
80123,CO,100.815,,03/01/2011,,
80227,CO,100.815,,03/01/2011,,
80227,CO,100.815,,03/01/2011,,
80033,CO,102.96,,03/01/2011,,
80021,CO,100.815,,03/01/2011,,
80215,CO,100.815,,03/01/2011,,
80215,CO,100.815,,03/01/2011,,
80235,CO,100.815,,03/01/2011,,
80127,CO,102.96,,03/01/2011,,
80127,CO,102.96,,03/01/2011,,
80620,CO,14.44,,03/05/2012,,
80620,CO,18.62,,03/05/2012,,
80620,CO,40.32,,03/05/2012,,
80631,CO,23.04,,03/05/2012,,
80620,CO,27.74,,03/05/2012,,
80620,CO,9.88,,03/05/2012,,
80620,CO,23.04,,03/05/2012,,
80634,CO,15.96,,03/05/2012,,
80018,CO,8.64,,02/29/2012,,
80018,CO,8.64,,02/29/2012,,
80016,CO,8.64,,03/01/2012,,
80018,CO,25.92,,02/29/2012,,
80019,CO,17.28,,03/01/2012,,
80019,CO,5.76,,02/29/2012,,
80019,CO,8.64,,03/01/2012,,
80018,CO,106.08,,03/01/2012,,
80016,CO,7.2,,02/29/2012,,
80016,CO,6.9,,02/29/2012,,
80018,CO,5.76,,02/29/2012,,
80018,CO,8.64,,02/29/2012,,
80019,CO,12.96,,03/01/2012,,
80019,CO,8.64,,03/01/2012,,
80018,CO,8.64,,02/29/2012,,
80018,CO,25.92,,03/01/2012,,
80018,CO,21.6,,02/29/2012,,
80019,CO,8.64,,02/29/2012,,
80016,CO,8.64,,02/29/2012,,
80019,CO,123.84,,02/29/2012,,
80019,CO,161.28,,03/01/2012,,
80019,CO,112.32,,03/01/2012,,
80403,CO,54.66,,12/22/2011,,
80424,CO,102.12,,08/29/2011,,
80424,CO,31.68,,12/26/2011,,
80424,CO,102.9,,08/28/2011,,
80424,CO,23.04,,12/26/2011,,
80424,CO,8.64,,11/15/2011,,
80424,CO,55.44,,11/23/2011,,
80424,CO,102.9,,08/31/2011,,
80424,CO,39.6,,11/29/2011,,
80640,CO,85.85,,11/14/2011,,
80230,CO,105.84,,06/01/2010,,
81411,CO,1124.0,,12/20/2012,,
81650,CO,858.46,,06/22/2011,,
80012,CO,101.66,,10/14/2010,,
80010,CO,101.66,,09/01/2010,,
80011,CO,101.66,,08/31/2010,,
81647,CO,8.64,,08/17/2012,,
81526,CO,1.68,,09/28/2012,,
81521,CO,5.76,,08/23/2012,,
81520,CO,4.8,,07/26/2012,,
81507,CO,5.04,,09/24/2012,,
81507,CO,9.89,,06/28/2012,,
81506,CO,7.92,,10/08/2012,,
81506,CO,7.92,,08/30/2012,,
81503,CO,3.84,,07/05/2012,,
81005,CO,10.08,,09/27/2012,,
81001,CO,3.6,,09/04/2012,,
80930,CO,5.28,,10/01/2012,,
80930,CO,4.4,,10/01/2012,,
80930,CO,4.4,,10/01/2012,,
80930,CO,3.74,,10/01/2012,,
80930,CO,2.86,,10/01/2012,,
80930,CO,2.86,,10/01/2012,,
80930,CO,2.42,,10/01/2012,,
