Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=CO
80112,CO,6.08,,03/18/2009,,
80212,CO,3.02,20727,06/23/2009,,
80304,CO,1.8,,03/20/2009,,
81211,CO,3.36,26142.95,06/09/2009,,
80238,CO,5.18,37923,09/22/2008,,
80020,CO,4.62,,01/26/2009,,
80503,CO,3.04,21592,08/18/2008,,
80232,CO,2.1,,05/20/2008,,
80113,CO,3.42,24696,11/09/2009,,
80538,CO,4.01,,06/16/2008,,
80503,CO,3,33721,02/27/2009,,
80205,CO,100,700000,05/01/2008,,
80226,CO,7.36,,09/25/2008,,
80439,CO,8.28,,10/07/2008,,
80220,CO,3.6,,10/15/2008,,
80231,CO,7.36,,04/06/2009,,
80247,CO,4.95,,12/03/2008,,
80303,CO,4.2,,05/05/2008,,
80220,CO,5.4,,04/14/2009,,
80209,CO,4.1,,10/07/2008,,
80238,CO,2.77,,10/08/2009,,
81601,CO,3,21157.98,04/24/2009,,
80027,CO,4.62,,12/19/2008,,
80526,CO,2,16700,11/15/2008,,
80524,CO,3.3,30255,06/16/2009,,
80007,CO,5.52,,06/13/2008,,
80305,CO,8.28,,01/04/2010,,
80401,CO,5.18,,06/16/2009,,
80303,CO,5.04,,03/21/2009,,
80466,CO,6.21,,08/21/2008,,
80301,CO,4.49,,06/09/2008,,
80230,CO,6.08,,06/03/2009,,
81424,CO,1.4,10918,06/18/2009,,
80517,CO,3.2,23847.59,04/15/2009,,
81432,CO,0.875,6464.96,05/22/2009,,
80602,CO,9.9,61455,01/19/2010,,
80403,CO,7.74,,09/02/2009,,
80301,CO,3.6,,04/04/2008,,
80304,CO,3,26440,04/17/2009,,
80007,CO,4.6,,12/11/2008,,
80303,CO,5.61,,05/09/2008,,
80211,CO,4.92,,06/06/2008,,
80126,CO,5.06,31175,07/31/2009,,
80218,CO,2.94,,12/01/2009,,
80301,CO,9.9,,09/24/2009,,
80303,CO,4.72,,10/27/2008,,
80516,CO,6.9,,11/09/2009,,
80503,CO,2.52,19598.66,06/15/2009,,
80540,CO,3.024,25833,06/08/2009,,
80027,CO,4.6,,07/21/2009,,
80220,CO,4.14,,11/19/2009,,
80439,CO,5.61,,06/16/2008,,
80027,CO,3.15,,11/11/2008,,
81432,CO,2.5,23336.73,08/22/2008,,
80111,CO,5.98,39132,08/14/2009,,
80526,CO,3.15,23500,05/15/2009,,
80928,CO,4,28610,05/01/2009,,
80031,CO,9.84,,02/18/2008,,
80304,CO,9.9,,05/26/2009,,
80026,CO,3.15,,09/11/2008,,
81428,CO,4.92,50000,03/18/2009,,
80453,CO,7.36,,03/09/2009,,
80503,CO,3.12,22200,05/19/2009,,
81401,CO,3.44,25967,11/20/2008,,
80027,CO,5.4,,05/22/2008,,
80238,CO,6.9,,07/11/2008,,
81432,CO,4,29000,06/09/2009,,
80027,CO,2.67,,12/21/2009,,
80007,CO,5.18,39628,01/05/2009,,
80274,CO,39.06,,11/02/2009,,
80301,CO,1.87,,12/02/2008,,
80017,CO,8.46,51032,02/23/2010,,
80120,CO,8.64,51814,06/30/2009,,
80026,CO,5.1,,04/10/2008,,
80439,CO,6.93,,01/12/2010,,
80238,CO,4.93,,09/30/2009,,
80304,CO,2.72,,10/18/2008,,
80005,CO,8.1,,07/28/2008,,
80304,CO,3.6,,01/06/2009,,
80238,CO,2.67,,06/23/2008,,
80021,CO,2.76,18186,09/10/2009,,
80455,CO,6.53,,03/10/2009,,
80210,CO,2.52,,01/15/2009,,
80238,CO,8.1,,08/10/2009,,
80301,CO,9.68,,12/23/2008,,
80274,CO,29.4,,12/01/2009,,
80305,CO,3.6,,06/20/2008,,
80220,CO,3.6,,03/10/2009,,
81623,CO,1.9,17000,09/02/2008,,
80524,CO,6.2,42549,02/18/2009,,
80027,CO,4.14,,07/20/2009,,
80132,CO,4,31722.61,04/14/2009,,
80305,CO,4.92,,08/07/2008,,
80401,CO,5.04,,05/30/2008,,
80031,CO,2.94,,03/19/2008,,
80302,CO,3.6,,06/30/2009,,
80304,CO,3.69,,06/25/2008,,
80111,CO,5.25,31412,12/16/2009,,
80026,CO,2.24,,04/25/2008,,
80401,CO,5.04,,03/16/2009,,
80501,CO,3.15,21750,05/29/2009,,
80027,CO,7.38,43456,08/11/2009,,
80304,CO,4.05,,06/09/2009,,
80305,CO,4.62,,01/11/2010,,
80206,CO,4.14,,07/16/2009,,
80403,CO,3.15,35203.03,05/01/2009,,
80304,CO,8.1,,01/05/2010,,
80521,CO,7.36,54780,02/11/2009,,
81403,CO,3.1,28789.33,01/20/2009,,
80205,CO,29.67,,11/17/2008,,
80218,CO,6.9,,09/23/2009,,
80302,CO,2.3,,03/04/2009,,
80020,CO,82,,01/01/2008,,
81230,CO,5.4,65186,06/02/2009,,
80210,CO,5.6,,03/21/2008,,
81236,CO,3,26550,08/07/2008,,
80301,CO,9.89,,01/31/2008,,
80302,CO,6.75,,09/14/2009,,
80121,CO,9.9,,10/22/2009,,
81419,CO,1.6,14000,10/23/2008,,
80305,CO,2.16,,05/19/2009,,
80302,CO,9.86,61417,10/27/2009,,
80020,CO,4.1,,12/31/2008,,
80305,CO,8.28,,04/02/2009,,
80232,CO,9.87,,12/16/2009,,
80302,CO,4.05,,05/08/2008,,
80230,CO,3.01,,09/16/2008,,
80238,CO,6.3,36540,12/23/2009,,
80031,CO,3.15,,10/09/2008,,
80212,CO,4.6,,10/27/2008,,
80215,CO,4.14,32937,10/08/2008,,
80027,CO,4.32,29615,05/22/2009,,
80238,CO,3.22,,08/25/2008,,
80439,CO,9.9,,01/19/2009,,
80302,CO,4.05,,12/01/2008,,
80401,CO,1.56,14442,09/28/2008,,
80466,CO,6.9,,07/27/2009,,
80238,CO,4.14,,08/25/2008,,
80525,CO,4.725,32062.5,05/05/2008,,
80026,CO,9.5,57424,05/22/2009,,
80134,CO,4.515,32126,12/29/2009,,
80027,CO,8.4,,11/25/2009,,
80401,CO,4.86,,03/24/2009,,
80303,CO,5.16,,02/22/2008,,
80026,CO,5.52,,06/30/2009,,
80304,CO,1.64,,05/06/2009,,
80303,CO,9.84,,03/09/2009,,
80021,CO,3.14,19093,08/28/2009,,
80303,CO,6.3,,01/25/2008,,
80401,CO,4.22,,02/05/2009,,
80913,CO,2000,13000000,01/17/2008,,
80302,CO,6.3,,12/05/2008,,
80135,CO,9.9,,08/03/2009,,
81125,CO,2.91,28811.85,08/01/2008,,
80210,CO,9.89,,08/05/2008,,
80201,CO,13.44,,07/13/2009,,
80027,CO,7.2,,07/07/2008,,
80516,CO,9.2,,02/05/2009,,
80007,CO,633,,01/01/2008,,
80128,CO,3.68,,10/13/2008,,
81506,CO,2.72,21700,07/01/2008,,
80005,CO,4.08,,01/02/2008,,
80033,CO,4.14,21700,03/30/2010,,
80401,CO,7.36,,09/19/2008,,
80302,CO,9.23,,08/11/2008,,
80301,CO,7.56,,10/31/2009,,
81601,CO,3.15,24885,05/22/2009,,
80504,CO,9.41,66992,05/28/2009,,
80218,CO,9.85,,03/13/2008,,
80303,CO,3.22,,10/14/2009,,
80230,CO,4.05,,02/12/2008,,
81131,CO,1.85,32000,05/19/2009,,
80027,CO,6.21,,06/05/2009,,
80026,CO,5.88,,11/09/2009,,
81211,CO,3.36,26148.24,06/02/2009,,
80302,CO,3.34,,06/03/2008,,
80908,CO,4.14,29664.05,04/16/2009,,
80238,CO,6.9,,02/24/2009,,
80027,CO,3.15,,08/07/2008,,
80304,CO,7.74,,08/03/2009,,
81201,CO,3.15,26114.33,05/09/2009,,
80238,CO,2.85,,11/12/2007,,
80233,CO,6.48,37451,03/08/2010,,
80308,CO,3.15,,12/09/2009,,
80516,CO,4.62,,06/10/2009,,
80202,CO,2.04,,08/04/2008,,
80401,CO,94,,01/01/2009,,
80220,CO,2.88,,01/13/2009,,
80237,CO,3.15,21577,05/13/2009,,
80439,CO,6.48,47628,08/29/2008,,
80230,CO,3.52,,03/12/2009,,
80021,CO,6.9,,01/30/2009,,
81252,CO,2.8,26444,01/12/2009,,
80112,CO,6.48,47982,01/28/2009,,
80439,CO,5.4,,04/29/2009,,
80304,CO,42.84,,01/21/2009,,
80305,CO,4.6,,11/25/2008,,
80020,CO,1.73,16063,11/13/2008,,
81101,CO,835,,01/01/2009,,
80301,CO,8.55,,11/05/2009,,
80302,CO,6.21,,09/08/2009,,
80521,CO,2.464,19949,01/07/2009,,
80238,CO,2.67,,06/06/2008,,
80304,CO,9.9,,02/18/2009,,
81432,CO,3.85,33800,02/06/2009,,
80526,CO,2.08,18714,11/20/2008,,
80534,CO,9.9,,01/13/2009,,
80238,CO,5.06,27582,10/29/2009,,
81501,CO,9.9,74250,02/19/2007,,
80401,CO,9.98,59660,09/09/2009,,
80503,CO,3,19547,01/15/2009,,
80503,CO,3,16364,06/10/2009,,
80112,CO,4.32,23776,02/17/2010,,
80020,CO,9.84,59675,09/01/2009,,
80302,CO,9.23,,10/22/2009,,
80443,CO,4.3,,09/19/2008,,
80304,CO,3.17,,03/16/2009,,
80126,CO,5.46,30029,11/03/2009,,
80120,CO,15.91,98006,11/12/2009,,
80027,CO,5.4,,12/30/2008,,
80230,CO,3.15,,08/17/2009,,
80207,CO,9.9,,12/09/2009,,
80302,CO,7.36,,09/09/2008,,
80230,CO,6.21,,01/05/2009,,
80455,CO,6.73,,06/02/2008,,
80112,CO,3.46,26620,11/04/2008,,
80225,CO,1000,6900000,01/15/2008,,
80220,CO,7.56,,10/20/2008,,
80026,CO,2.24,,01/15/2008,,
80517,CO,3,24323.11,06/18/2009,,
80808,CO,3.024,26000,05/21/2009,,
80503,CO,4.14,,02/26/2009,,
80530,CO,3.96,26688,05/08/2009,,
80238,CO,4.6,,08/25/2008,,
80210,CO,2.94,,05/20/2008,,
81601,CO,5.2,40040,05/11/2009,,
80304,CO,9.87,,11/05/2008,,
80305,CO,2.52,,01/30/2009,,
80127,CO,2.59,19673,10/08/2008,,
80026,CO,3.96,,12/19/2008,,
80455,CO,7.56,,07/06/2009,,
80220,CO,3.02,22982.4,10/31/2008,,
80226,CO,5.52,29000,03/17/2010,,
81223,CO,3.4,25611.74,06/08/2009,,
80501,CO,5.98,36372,08/14/2009,,
80403,CO,3.17,24268.68,05/15/2009,,
80005,CO,4.83,28014,11/09/2009,,
80304,CO,6.21,,09/03/2009,,
80401,CO,7.2,36564,02/27/2010,,
80238,CO,4.86,28927,02/23/2010,,
81506,CO,6.48,48600,03/07/2007,,
80126,CO,6.72,45281,06/05/2009,,
80302,CO,4.14,,06/09/2009,,
80304,CO,9.9,,05/21/2009,,
80305,CO,7.2,,01/19/2009,,
81211,CO,4.2,32929.48,08/28/2008,,
81236,CO,3.15,24730.35,04/08/2009,,
80214,CO,99.96,,03/23/2009,,
80228,CO,4.31,,10/23/2008,,
80301,CO,3.6,,06/22/2009,,
80304,CO,3.69,,09/16/2008,,
80014,CO,2.97,23700,06/22/2006,,
80230,CO,3.15,,04/16/2009,,
80304,CO,3.22,,10/06/2009,,
81211,CO,4,28809,05/04/2009,,
80031,CO,5.88,34535,08/28/2009,,
80238,CO,2.38,,09/29/2009,,
80526,CO,1.496,13193.24,11/03/2008,,
80501,CO,3.07,20290.84,05/27/2009,,
81131,CO,1.6,16350,06/11/2009,,
80228,CO,5.14,,11/12/2008,,
80027,CO,2.58,,05/28/2008,,
80302,CO,5.04,,04/08/2008,,
80501,CO,3.15,25142,06/17/2009,,
80302,CO,1.3,,12/06/2008,,
80455,CO,4.05,,07/10/2008,,
80501,CO,20.16,,08/24/2009,,
80303,CO,3.68,,06/25/2009,,
80526,CO,1.57,18000,05/29/2009,,
81524,CO,2,18809.76,07/30/2008,,
80207,CO,4.6,,06/11/2008,,
80401,CO,0.67,3968,11/02/2009,,
80215,CO,6.44,,07/21/2009,,
80304,CO,0.92,,12/10/2009,,
81432,CO,3,26843,03/09/2009,,
80027,CO,5.4,,07/07/2009,,
80013,CO,4.03,29380,05/05/2009,,
80112,CO,6.08,,03/11/2008,,
80303,CO,9.9,,03/19/2009,,
80439,CO,5.67,,02/13/2008,,
80550,CO,4.5,20569,06/22/2009,,
81601,CO,3.15,24412,05/28/2009,,
80220,CO,2.1,16636,08/27/2009,,
81435,CO,9.72,82566.94,06/11/2009,,
80204,CO,9.94,72036,09/16/2008,,
80503,CO,5.04,,05/30/2008,,
80401,CO,6.75,,03/24/2008,,
80028,CO,4.2,24561,12/15/2009,,
80304,CO,4.01,,11/05/2007,,
80111,CO,6.51,51194,06/30/2009,,
80210,CO,3.02,18411,08/05/2009,,
80501,CO,3.6,31697.33,05/07/2009,,
80026,CO,4.1,,07/22/2008,,
80021,CO,3.37,,05/14/2008,,
80203,CO,3.15,,07/31/2008,,
80302,CO,19.53,,01/08/2008,,
80111,CO,4.03,29380,05/05/2009,,
80303,CO,8.19,,03/27/2009,,
80027,CO,9,,06/22/2009,,
80230,CO,6.08,,12/01/2008,,
80303,CO,6.75,,07/13/2009,,
80247,CO,3.15,,09/02/2008,,
80403,CO,7,48538,05/29/2009,,
80403,CO,5.52,,05/16/2008,,
80401,CO,9.66,55470,09/13/2009,,
80121,CO,4.6,,10/20/2008,,
80123,CO,2.3,,01/08/2009,,
80304,CO,5.16,,03/28/2008,,
80007,CO,5.04,29232,11/30/2009,,
80238,CO,3.76,,08/17/2009,,
80238,CO,5.52,,09/04/2008,,
80466,CO,3.7,,12/21/2007,,
80601,CO,6.12,46982.66,01/13/2009,,
80121,CO,5.54,,03/12/2008,,
80026,CO,91.77,685000,01/02/2008,,
80220,CO,4.37,27094,11/04/2009,,
80228,CO,3.68,,11/16/2009,,
80401,CO,6.4,36800,10/26/2009,,
80302,CO,2.94,,10/22/2009,,
80466,CO,3.2,24552,05/01/2009,,
80304,CO,4.14,,05/27/2008,,
80027,CO,3.15,,08/12/2008,,
80403,CO,1.98,10890,08/13/2008,,
80031,CO,2.9,,11/02/2007,,
81601,CO,4,31275,05/04/2009,,
81236,CO,3.36,14093.87,04/13/2009,,
80302,CO,6.08,,09/30/2008,,
80210,CO,4.75,27405,12/10/2009,,
80503,CO,9.84,,10/02/2007,,
80305,CO,3.17,,01/16/2009,,
81501,CO,3.04,23750,07/15/2008,,
80027,CO,5.52,,01/11/2010,,
80305,CO,8.28,,06/25/2009,,
80238,CO,2.67,,05/29/2008,,
80021,CO,2.69,20160,07/31/2008,,
80210,CO,2.46,,04/17/2008,,
80274,CO,30.24,,11/16/2009,,
80121,CO,3.4,30000,09/01/2006,,
80301,CO,7.2,,11/06/2008,,
80304,CO,7.38,,06/02/2008,,
80027,CO,3.15,,09/23/2008,,
80401,CO,5.88,,03/04/2009,,
80304,CO,3.15,,06/02/2009,,
80640,CO,7.34,,12/03/2009,,
80304,CO,4.05,,06/11/2009,,
80207,CO,3.89,28872,12/31/2008,,
80031,CO,4.2,24307,12/31/2009,,
80026,CO,9.68,,10/01/2008,,
80303,CO,4.6,,06/22/2009,,
80302,CO,3.15,,02/06/2008,,
80004,CO,6.9,,07/07/2008,,
80007,CO,9.72,58663,05/14/2009,,
80304,CO,5.4,,03/04/2009,,
80304,CO,5.04,,06/12/2009,,
80228,CO,4,,01/23/2008,,
81144,CO,2.72,34636.61,08/25/2008,,
80027,CO,5.67,,05/18/2009,,
80027,CO,6.75,,03/02/2009,,
80021,CO,2.24,,10/28/2008,,
80304,CO,1.86,,08/06/2009,,
80126,CO,4.73,,05/15/2008,,
81435,CO,3.36,29349,04/30/2009,,
80220,CO,2.38,16475,07/09/2009,,
80238,CO,2.67,,10/17/2008,,
80228,CO,4.03,31682,08/13/2008,,
80504,CO,3.075,22395,05/21/2009,,
80304,CO,4.22,,10/30/2008,,
80113,CO,3.52,,04/29/2008,,
80238,CO,2.67,,04/23/2008,,
80304,CO,2.07,,06/16/2009,,
80516,CO,9.86,67835,05/04/2009,,
80222,CO,2.76,,07/20/2009,,
80026,CO,2.52,,02/20/2009,,
80224,CO,4.92,,09/15/2008,,
80301,CO,6.21,,04/20/2009,,
80112,CO,3.96,,12/16/2009,,
80401,CO,721,,01/01/2008,,
80503,CO,9.66,57969,08/11/2009,,
80302,CO,5.4,,10/14/2008,,
80226,CO,4.6,27978,10/22/2009,,
80503,CO,2.535,21573,06/11/2009,,
80503,CO,3.72,,05/21/2008,,
80238,CO,7.56,43407,02/23/2010,,
81131,CO,3.06,37500,07/17/2008,,
80026,CO,15.12,95368,06/09/2009,,
80132,CO,3.168,25150.82,04/22/2009,,
80304,CO,3.6,,02/21/2008,,
80226,CO,2.67,,05/20/2008,,
80227,CO,5.04,,12/18/2008,,
80223,CO,4.14,24706,11/02/2009,,
80538,CO,0.4,2000,10/01/2009,,
80031,CO,7.13,,09/16/2008,,
80211,CO,6.27,39353,08/27/2009,,
80304,CO,4.6,,01/14/2009,,
80304,CO,2.7,,04/15/2008,,
80304,CO,5.52,,11/19/2008,,
80027,CO,3.68,,08/13/2009,,
80521,CO,2.772,22382,01/29/2009,,
80238,CO,3.4,24990,08/07/2008,,
81131,CO,2.8,24886.09,04/09/2009,,
80501,CO,2.28,21477,01/29/2009,,
80113,CO,6.27,40976,09/14/2009,,
80113,CO,1.76,,04/29/2008,,
80303,CO,1.61,,01/27/2009,,
80112,CO,5.04,34478,08/24/2009,,
80007,CO,2.52,17845,08/28/2009,,
80302,CO,1.26,,06/18/2009,,
80120,CO,4.83,,04/28/2009,,
80303,CO,4.62,,07/30/2009,,
80026,CO,3.15,,09/30/2008,,
80621,CO,5.04,40081,06/09/2009,,
80503,CO,3.15,22036.26,03/04/2009,,
80503,CO,5.54,,09/10/2009,,
80304,CO,4.68,,10/07/2009,,
80027,CO,3.68,,06/03/2009,,
80020,CO,6.9,,02/27/2009,,
80207,CO,2.46,16650,05/19/2009,,
80130,CO,4.26,29009,06/16/2009,,
80238,CO,6.3,46602,09/30/2009,,
80301,CO,4.14,,05/12/2008,,
80439,CO,8.64,,09/25/2009,,
80227,CO,3.22,,10/23/2008,,
80214,CO,5.06,27619,12/20/2009,,
80021,CO,2.24,,09/26/2007,,
80026,CO,4.62,,07/24/2009,,
80305,CO,8.19,,01/14/2010,,
80113,CO,7.2,,11/18/2008,,
80525,CO,3.68,27589.31,05/13/2009,,
80229,CO,4.1,24231,10/05/2009,,
80209,CO,5.16,,01/04/2010,,
80517,CO,3.85,30829.17,06/17/2009,,
80304,CO,9.9,,10/10/2008,,
80026,CO,5.88,,08/27/2009,,
80498,CO,2.1,15055,07/23/2009,,
80301,CO,8.3,61395,06/15/2009,,
80526,CO,3.87,35810,02/06/2009,,
80466,CO,6.21,,05/27/2008,,
80222,CO,2.94,,03/24/2008,,
80238,CO,3.24,,09/23/2008,,
80304,CO,4.6,,06/17/2009,,
80302,CO,5.2,,09/11/2009,,
80238,CO,1.5,,01/14/2008,,
80222,CO,1.38,11608,03/31/2009,,
80128,CO,2.34,21398,09/24/2009,,
80211,CO,42.63,,02/25/2008,,
80274,CO,13.86,,12/14/2009,,
80020,CO,6.36,,06/12/2008,,
80303,CO,3.68,,08/28/2009,,
80026,CO,3.15,,11/04/2008,,
80238,CO,2.67,,04/22/2008,,
81201,CO,3.36,26142.95,06/02/2009,,
80304,CO,2.3,,01/05/2010,,
80303,CO,4.2,,02/23/2009,,
80031,CO,9.84,55436,09/10/2009,,
80129,CO,7.36,,03/18/2009,,
81131,CO,3,30360,06/11/2009,,
80238,CO,3.44,,11/12/2009,,
80302,CO,5.16,,02/11/2008,,
81101,CO,8220,60000000,12/17/2007,,
80301,CO,7.2,,11/13/2008,,
80206,CO,301.3,,07/07/2008,,
80026,CO,7.36,,08/13/2009,,
81401,CO,4.8,41360,07/01/2008,,
80027,CO,3.22,,07/09/2009,,
80113,CO,8.28,,11/10/2009,,
80205,CO,3.6,,01/23/2008,,
80301,CO,2.84,,04/22/2008,,
80020,CO,2.99,,02/05/2008,,
80304,CO,7.38,,12/28/2009,,
80111,CO,4.2,,11/20/2008,,
80027,CO,3.78,,03/20/2008,,
80304,CO,6.08,,06/11/2008,,
81428,CO,4.3,33965,04/27/2009,,
80304,CO,4.41,,06/19/2009,,
80537,CO,3.168,24235.2,03/31/2009,,
80521,CO,3.2,23885,06/17/2009,,
80303,CO,4.5,,05/19/2009,,
80027,CO,8.78,,01/18/2010,,
80501,CO,2.5,17200,06/08/2009,,
81001,CO,6.2,75750,04/26/2007,,
80027,CO,4.14,,02/18/2008,,
80303,CO,3.02,24236,12/16/2008,,
81501,CO,9.9,74250,02/07/2007,,
80127,CO,6.75,,06/17/2008,,
80517,CO,3.675,27010,05/27/2009,,
80466,CO,4.83,32510.1,05/29/2009,,
80210,CO,2.46,22020,04/16/2009,,
80274,CO,17.01,,11/06/2009,,
80031,CO,2.94,,04/25/2008,,
80027,CO,7.74,,06/25/2009,,
81432,CO,3,27312.79,08/27/2008,,
80020,CO,9.87,,04/24/2008,,
80304,CO,1.36,,08/21/2008,,
80466,CO,3.06,27273.97,05/05/2009,,
80120,CO,6.05,44755,10/31/2008,,
80303,CO,8.05,45333,02/17/2010,,
81505,CO,3.04,25800,07/30/2008,,
80516,CO,5.4,30984.58,09/05/2008,,
81419,CO,1.3,9822.25,09/19/2008,,
80401,CO,5.44,,10/02/2008,,
80304,CO,2.3,,01/04/2010,,
81501,CO,2.16,16200,03/07/2007,,
80305,CO,7.74,,01/14/2010,,
80487,CO,11.04,138000,06/30/2009,,
