Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=FL
33173,FL,4.95,49500.0,06/24/2010,,
33647,FL,5.06,32000.0,06/24/2010,,
34667,FL,4.08,23000.0,06/24/2010,,
34667,FL,4.08,23000.0,06/24/2010,,
34683,FL,5.06,34102.0,06/24/2010,,
32835,FL,5.06,26346.0,06/24/2010,,
33706,FL,5.17,42995.0,06/24/2010,,
33956,FL,4.83,24800.0,06/24/2010,,
33706,FL,5.33,36540.0,06/24/2010,,
33756,FL,5.98,39767.0,06/24/2010,,
32309,FL,5.25,29856.0,06/24/2010,,
34293,FL,4.32,25525.49,06/25/2010,,
32312,FL,28.8,398640.0,06/25/2010,,
32169,FL,2.52,16380.0,06/25/2010,,
32935,FL,4.2,31000.0,06/25/2010,,
34216,FL,24.675,148050.0,06/25/2010,,
32768,FL,5.52,33120.0,06/25/2010,,
33955,FL,7.92,54791.0,06/25/2010,,
33647,FL,5.06,32000.0,06/25/2010,,
32736,FL,8.8,56048.08,06/25/2010,,
33156,FL,4.928,38888.0,06/25/2010,,
33018,FL,4.92,33230.0,06/25/2010,,
33407,FL,25.344,210000.0,06/25/2010,,
32256,FL,2.3,18975.0,06/25/2010,,
34239,FL,5.06,44081.0,06/25/2010,,
34293,FL,20.025,123500.0,06/25/2010,,
32082,FL,25.2,150000.0,06/25/2010,,
32082,FL,25.2,150000.0,06/25/2010,,
33460,FL,7.92,65000.0,06/25/2010,,
33634,FL,5.06,42000.0,06/26/2010,,
32176,FL,2.0,15300.0,06/26/2010,,
32796,FL,2.64,16390.0,06/27/2010,,
32312,FL,43.2,552960.0,06/27/2010,,
32312,FL,28.8,398640.0,06/27/2010,,
34205,FL,48.07,399000.0,06/27/2010,,
32308,FL,14.4,190944.0,06/27/2010,,
34117,FL,5.616,43660.0,06/27/2010,,
33143,FL,4.73,39424.0,06/27/2010,,
33596,FL,5.04,40000.0,06/28/2010,,
34217,FL,5.25,33643.5,06/28/2010,,
34219,FL,25.344,147000.0,06/28/2010,,
32789,FL,5.28,37655.0,06/28/2010,,
33042,FL,5.16,59000.0,06/28/2010,,
33655,FL,5.06,32312.0,06/28/2010,,
32309,FL,9.856,42250.0,06/28/2010,,
32301,FL,8.97,78500.0,06/28/2010,,
33311,FL,26.88,193750.0,06/28/2010,,
33919,FL,6.72,52900.0,06/28/2010,,
34231,FL,2.0,20000.0,06/28/2010,,
32825,FL,24.84,176350.0,06/28/2010,,
32348,FL,5.4,42304.0,06/28/2010,,
32779,FL,7.59,60000.0,06/29/2010,,
32779,FL,5.06,29000.0,06/29/2010,,
32127,FL,8.28,,06/29/2010,,
34744,FL,5.06,40000.0,06/29/2010,,
32814,FL,4.6,40000.0,06/29/2010,,
32723,FL,5.06,40000.0,06/29/2010,,
33410,FL,5.06,43300.0,06/29/2010,,
34994,FL,2.676,19100.0,06/29/2010,,
33637,FL,5.06,24990.0,06/29/2010,,
33523,FL,5.24,34370.69,06/29/2010,,
33709,FL,4.0,30400.0,06/29/2010,,
33708,FL,5.17,39995.0,06/29/2010,,
33765,FL,5.17,,06/29/2010,,
32606,FL,8.064,47577.0,06/29/2010,,
32169,FL,4.86,27685.0,06/29/2010,,
32310,FL,4.9,16000.0,06/29/2010,,
32312,FL,4.05,29648.0,06/29/2010,,
33467,FL,4.928,39424.0,06/29/2010,,
34476,FL,5.04,34272.0,06/29/2010,,
32316,FL,34.32,75000.0,06/29/2010,,
32316,FL,25.74,220000.0,06/29/2010,,
33713,FL,24.84,185392.0,06/29/2010,,
33713,FL,24.84,185392.0,06/29/2010,,
32312,FL,43.2,552960.0,06/29/2010,,
32312,FL,23.04,356918.0,06/30/2010,,
32312,FL,26.32,348740.0,06/30/2010,,
32312,FL,52.64,697480.0,06/30/2010,,
32312,FL,39.48,440202.0,06/30/2010,,
32312,FL,14.4,198288.0,06/30/2010,,
32312,FL,39.48,440202.0,06/30/2010,,
33703,FL,2.08,17625.0,06/30/2010,,
32837,FL,5.28,40000.0,06/30/2010,,
34475,FL,5.4,35500.0,06/30/2010,,
33991,FL,5.04,31900.0,07/30/2010,,
32189,FL,2.05,3858.16,08/08/2010,,
32952,FL,4.8,29300.0,09/29/2010,,
34691,FL,0.2,600.0,01/18/2011,,
32084,FL,8.74,32000.0,10/01/2009,,
32958,FL,4140.0,,03/15/2010,,
32608,FL,25.2,,08/09/2009,,
32608,FL,25.2,,08/08/2009,,
32608,FL,8.28,,12/16/2010,,
32606,FL,5.06,,12/10/2010,,
32608,FL,23.985,,12/11/2010,,
32608,FL,20.295,,12/10/2010,,
32609,FL,58.52,,12/08/2010,,
32609,FL,58.52,,12/08/2010,,
32607,FL,104.72,,12/03/2010,,
32608,FL,532.84,,12/03/2010,,
32608,FL,535.92,,12/03/2010,,
32608,FL,258.72,,12/03/2010,,
32608,FL,258.72,,12/03/2010,,
32606,FL,70.84,,12/02/2010,,
32609,FL,64.68,,12/02/2010,,
32609,FL,61.6,,12/02/2010,,
32606,FL,23.76,126150.0,11/21/2010,,
32608,FL,4.1,25000.0,07/09/2010,,
32603,FL,50.0,251278.0,06/18/2010,,
32608,FL,25.2,102564.0,06/10/2010,,
32608,FL,29.6,120513.0,06/09/2010,,
32608,FL,28.77,117093.9,06/08/2010,,
32608,FL,21.84,88889.0,05/04/2010,,
32608,FL,11.76,47863.0,05/03/2010,,
32608,FL,21.42,87179.0,05/02/2010,,
32608,FL,26.46,107692.0,05/01/2010,,
32608,FL,56.7,230769.0,04/30/2010,,
32601,FL,5.0,36960.0,04/29/2010,,
32608,FL,17.64,71795.0,04/08/2010,,
32608,FL,17.64,71795.0,04/07/2010,,
32608,FL,25.83,105128.0,04/06/2010,,
32608,FL,17.64,71795.0,04/05/2010,,
32608,FL,34.02,138461.0,04/04/2010,,
32608,FL,21.84,88889.0,04/03/2010,,
32608,FL,26.46,107692.0,04/02/2010,,
32606,FL,72.576,450579.04,01/22/2010,,
32608,FL,3.2,32928.0,01/19/2010,,
32607,FL,24.75,142985.0,10/19/2009,,
32608,FL,25.2,100000.0,01/10/2009,,
32608,FL,6.6,38000.0,04/16/2010,,
32605,FL,5.1,32447.0,11/24/2009,,
32605,FL,5.25,36200.0,01/11/2010,,
32653,FL,5.04,50000.0,06/21/2010,,
32653,FL,5.17,31000.0,02/17/2010,,
32653,FL,3.3,16725.0,01/08/2010,,
32607,FL,10.2,68310.0,08/16/2010,,
32606,FL,5.04,42025.0,03/15/2010,,
32605,FL,2.82,18000.0,05/30/2010,,
32601,FL,5.4,,12/16/2009,,
32606,FL,8.064,47577.0,07/21/2010,,
32601,FL,25.0,,07/20/2010,,
33755,FL,4.8,,08/15/2009,,
32605,FL,4.725,27878,08/20/2009,,
32605,FL,1.68,,02/02/2004,,
32605,FL,4.725,28114,07/02/2009,,
32609,FL,25,200000,03/01/2009,,
32608,FL,1.68,,02/02/2004,,
34266,FL,27600,152200000,10/27/2009,,
33418,FL,2,,06/29/2007,,
32169,FL,2.4,,10/29/2001,,
34611,FL,3.96,,01/15/2004,,
34478,FL,1.8,,12/21/2001,,
32601,FL,6,52500,01/14/2008,,
32606,FL,4.752,35000,09/11/2009,,
32653,FL,2.4,,12/18/2002,,
32605,FL,25.2,210000,02/10/2008,,
32605,FL,2.9,21302,07/02/2009,,
32566,FL,2.4,,07/04/2002,,
32216,FL,4,,06/01/1983,,
32607,FL,24.75,,10/20/2009,,
32120,FL,4,,06/28/2004,,
32607,FL,25.2,200000,06/06/2008,,
32641,FL,4.8,30000,06/05/2009,,
33040,FL,14.4,,05/01/2002,,
32606,FL,5.25,30975,08/12/2009,,
32169,FL,2.4,,12/03/2001,,
32605,FL,2.5,33875,04/17/2007,,
33804,FL,4.05,,03/01/1998,,
32605,FL,4.752,27878,08/27/2009,,
32605,FL,5.6,50000,05/13/2009,,
32605,FL,4.8,44000,07/11/2008,,
32607,FL,5.16,45360,01/06/2009,,
32605,FL,3.348,23636,10/15/2008,,
32606,FL,2.76,24000,08/10/2009,,
34746,FL,4.14,,09/01/1999,,
32953,FL,11480,71000000.0,04/16/2010,,
32607,FL,4.992,30000,12/19/2007,,
32601,FL,24.3,222015,12/10/2008,,
32779,FL,3.96,,12/02/2003,,
32808,FL,2.4,,06/27/2002,,
32607,FL,4.2,31045,05/19/2008,,
32601,FL,2.4,22700,10/15/2007,,
32653,FL,16.8,139760,02/12/2008,,
33845,FL,0.96,,01/25/2002,,
32169,FL,1.2,,09/08/2000,,
32609,FL,11.07,81400,05/13/2009,,
32614,FL,10,,12/18/2002,,
32601,FL,25.1,,09/18/2009,,
32608,FL,25.2,135576,08/25/2009,,
33804,FL,1.8,,07/01/1999,,
32653,FL,5.25,35000,09/08/2009,,
32606,FL,5.04,50000,09/18/2008,,
33109,FL,2.4,,08/01/2002,,
33845,FL,0.96,,11/22/2001,,
32608,FL,75,450000,09/02/2009,,
32607,FL,4.8,44000,02/18/2008,,
32169,FL,3.36,,02/01/2000,,
32601,FL,5,35000,08/03/2009,,
32216,FL,3.96,,09/29/2000,,
32808,FL,3.9,,10/01/2000,,
32606,FL,5.04,40320,06/10/2008,,
32605,FL,4.8,29275,08/26/2009,,
32641,FL,24.8,150000,09/11/2009,,
32808,FL,3.6,,08/24/2001,,
32653,FL,3,29410,07/10/2007,,
32653,FL,5.25,37000,06/03/2009,,
32216,FL,3.96,,09/20/2000,,
32169,FL,2.4,,05/15/2000,,
32216,FL,4.08,,11/16/1999,,
32808,FL,3.6,,12/19/2001,,
33918,FL,4.76,,10/08/2003,,
32606,FL,25.2,224700,10/10/2008,,
32790,FL,3.6,,12/01/2003,,
32606,FL,6.93,72000,01/15/2008,,
32608,FL,5.2,54626,01/22/2007,,
32607,FL,5.6,49000,02/06/2009,,
34211,FL,1.98,,04/01/2008,,
32605,FL,5.1,33000,07/11/2008,,
32309,FL,5.4,46000,08/01/2007,,
32607,FL,5.04,48000,09/10/2009,,
32605,FL,4.992,31000,11/30/2007,,
34982,FL,2.4,,06/04/2002,,
32952,FL,1.2,,07/20/2002,,
32601,FL,24.8,,09/18/2009,,
32601,FL,25.2,215000,12/19/2007,,
32608,FL,25.2,135576,08/17/2009,,
33037,FL,2.88,,06/01/2002,,
32606,FL,2.72,,03/13/2008,,
32607,FL,4.8,43500,03/26/2008,,
34689,FL,2.16,,01/04/2002,,
34478,FL,2.1,,01/30/2007,,
32601,FL,3,32000,05/02/2007,,
33109,FL,2,,06/29/2007,,
32604,FL,1.8,,12/15/2002,,
32608,FL,25.2,135576,08/07/2009,,
32608,FL,13.65,89070,06/29/2009,,
32608,FL,23.65,240350,05/15/2009,,
32216,FL,2.04,,08/02/2002,,
33617,FL,14,,03/02/2000,,
34211,FL,4.76,,10/09/2003,,
33045,FL,4.8,,04/29/2002,,
32195,FL,1.28,,02/15/2002,,
32216,FL,6,,12/20/2002,,
32653,FL,4.8,43000,10/19/2007,,
32604,FL,4.8,,01/30/2004,,
32314,FL,5.94,,12/15/2003,,
32407,FL,3.96,,01/01/2001,,
32601,FL,5.04,47880,07/02/2009,,
32605,FL,4.725,47014,10/04/2007,,
32605,FL,14.4,126800,09/30/2008,,
34746,FL,2.34,,09/01/1999,,
32606,FL,73.71,164869,03/12/2009,,
34234,FL,250,,10/01/2007,,
32713,FL,0.96,,01/28/2002,,
32605,FL,4.95,47025,08/04/2009,,
32653,FL,5.25,36000,06/19/2009,,
33484,FL,2.4,,06/17/2002,,
32216,FL,3.96,,09/01/2000,,
32604,FL,10,,06/01/1995,,
33804,FL,24,,11/01/2008,,
32169,FL,2.4,,03/12/2001,,
32808,FL,5.4,,04/01/2002,,
32808,FL,3.6,,08/20/2001,,
32605,FL,4.992,32000,12/23/2007,,
32169,FL,4.8,,03/19/2002,,
32605,FL,5.04,52800,12/15/2007,,
32601,FL,47.52,299376,10/09/2008,,
32627,FL,4.8,,06/14/2004,,
32606,FL,4.752,27878,09/03/2009,,
32904,FL,1.8,,12/01/2002,,
32169,FL,4.05,,06/01/1999,,
32608,FL,10.08,65000,04/17/2008,,
33778,FL,1.2,,12/04/2002,,
32601,FL,74.3,,09/18/2009,,
32605,FL,4.2,25100,12/28/2007,,
32899,FL,988,6359027,10/14/2009,,
32601,FL,25.2,150000,09/08/2009,,
32604,FL,1.2,,12/15/2002,,
32605,FL,5.04,,10/09/2009,,
32606,FL,5.7,47900,01/15/2009,,
32605,FL,5.01,33000,06/11/2007,,
32608,FL,2.7,27048,09/24/2009,,
32808,FL,2.1,,12/01/2007,,
32609,FL,5.04,52000,01/26/2009,,
32607,FL,5.06,48000,07/02/2009,,
32653,FL,25.3,164980,07/02/2009,,
32808,FL,3.6,,09/20/2001,,
32606,FL,5.184,32560,09/11/2009,,
34778,FL,0.8,,02/26/2002,,
33732,FL,2.1,,07/01/2007,,
32605,FL,4.509,30000,12/15/2007,,
33481,FL,5,,10/20/2003,,
32216,FL,1.8,,12/20/2002,,
32609,FL,26.2,215000,03/02/2009,,
34778,FL,3.6,,06/02/2003,,
32216,FL,4.76,,09/02/2003,,
32653,FL,25.2,240000,01/29/2008,,
33016,FL,26.112,,08/01/2008,,
32605,FL,5.1,33954,07/01/2008,,
32956,FL,2.4,,07/20/2002,,
32591,FL,2.88,,12/10/2002,,
32216,FL,6.16,,09/10/2003,,
32169,FL,2.4,,03/01/2002,,
33804,FL,1.8,,06/01/2000,,
32216,FL,3.96,,09/28/2000,,
32601,FL,16.5,,09/18/2009,,
32607,FL,3.6,22000,01/13/2009,,
32608,FL,3.22,27048,07/30/2008,,
32606,FL,3.06,24300,06/19/2008,,
33436,FL,2.1,,05/01/2007,,
33481,FL,26.112,,06/01/2008,,
32591,FL,3.96,,09/05/2003,,
32653,FL,4.725,28114,07/02/2009,,
32653,FL,25.83,206154,10/06/2009,,
32606,FL,5.06,46805,08/07/2009,,
32757,FL,2.004,,01/19/2007,,
32608,FL,1.7,,12/18/2002,,
32169,FL,3.6,,12/14/2001,,
32604,FL,1.68,,01/15/2004,,
32653,FL,5.25,31500,08/19/2009,,
32653,FL,5.04,44000,06/19/2009,,
32608,FL,25.2,213000,03/18/2009,,
32314,FL,9.962,,04/25/2000,,
32605,FL,2.8,18500,06/10/2009,,
32169,FL,0.6,,06/28/2004,,
32606,FL,3.15,16288,12/28/2007,,
33732,FL,4.008,,11/29/2007,,
34778,FL,1.2,,08/10/2001,,
32606,FL,2.8,25987,06/23/2008,,
32601,FL,25.2,,09/18/2009,,
32605,FL,5.04,40000,08/10/2009,,
32216,FL,4.56,,07/07/2000,,
32607,FL,4.8,44000,03/11/2008,,
32904,FL,4.8,,12/20/2003,,
32216,FL,4.08,,05/05/2000,,
32606,FL,5.04,40320,09/26/2008,,
32407,FL,3.96,,03/19/2004,,
33804,FL,2.025,,04/01/1998,,
32601,FL,49.5,311220,10/09/2008,,
32790,FL,1.6,,05/01/2007,,
32314,FL,3.84,,01/23/2002,,
32606,FL,3,29000,04/30/2007,,
32653,FL,5.67,47250,07/02/2009,,
32653,FL,5.04,52920,07/15/2008,,
32605,FL,4.62,38840,07/02/2009,,
32606,FL,5.06,43328,08/26/2009,,
32606,FL,25.432,244744,04/27/2009,,
32607,FL,4.8,43000,02/21/2008,,
32609,FL,21.4,,10/20/2009,,
32314,FL,18,,06/01/1994,,
32605,FL,3.85,23100,01/30/2009,,
32952,FL,2.05,,04/08/2008,,
32606,FL,4.725,30088,06/05/2009,,
34778,FL,9.6,,07/31/2002,,
32608,FL,25.2,100000,01/09/2009,,
32808,FL,2.004,,12/09/2008,,
32216,FL,12,,07/07/2003,,
33050,FL,5.3,38000,12/31/2009,,
32608,FL,3.42,33593,12/20/2006,,
32608,FL,4.8,44000,02/05/2009,,
32607,FL,5.19,31901,07/14/2009,,
34134,FL,2.048,,05/31/2002,,
33804,FL,1.8,,01/04/1998,,
32601,FL,8.6,,09/18/2009,,
32609,FL,25.2,176400,04/27/2009,,
32609,FL,11,88000,05/08/2009,,
32216,FL,3.96,,08/24/2000,,
32605,FL,5,33000,10/12/2007,,
33418,FL,26.112,,11/25/2008,,
32808,FL,15,,08/23/1988,,
32606,FL,5.04,38780,08/27/2009,,
32607,FL,20,195930,05/15/2009,,
32216,FL,3.96,,09/25/2000,,
32601,FL,25.2,180000,04/17/2009,,
32601,FL,24.5,145537,02/17/2009,,
33617,FL,10.5,,03/27/2007,,
32605,FL,3.15,32596,12/21/2007,,
33617,FL,2.1,,11/15/2007,,
32216,FL,3.96,,09/21/2000,,
32605,FL,4.16,27727,10/18/2007,,
32216,FL,4.2,,05/26/2000,,
32605,FL,4.464,33332,04/21/2009,,
33732,FL,3.96,,11/12/2003,,
32605,FL,5.04,52920,07/02/2009,,
34956,FL,9.975,,08/01/1999,,
32606,FL,5.06,52000,11/07/2008,,
32653,FL,5.04,17640.0,12/27/2012,,
32653,FL,7.5,26250.0,12/27/2012,,
32601,FL,3.54,12390.0,12/27/2012,,
32605,FL,3.5,12250.0,12/20/2012,,
32607,FL,5.76,,12/14/2012,,
32653,FL,3.75,13794.0,12/14/2012,,
32601,FL,5.0,,11/21/2012,,
32607,FL,6.24,20000.0,11/19/2012,,
32601,FL,3.0,10165.0,11/05/2012,,
32653,FL,6.72,20160.0,09/20/2012,,
32603,FL,6.48,19000.0,06/26/2012,,
32607,FL,1.92,7500.0,06/26/2012,,
32607,FL,27.104,117902.0,05/08/2012,,
32653,FL,12.54,70000.0,04/27/2012,,
32608,FL,5.6,26000.0,04/19/2012,,
32607,FL,6.24,30000.0,03/15/2012,,
32607,FL,4.8,20600.0,03/13/2012,,
32608,FL,6.84,41518.0,01/31/2012,,
32607,FL,7.35,24255.0,01/24/2012,,
32608,FL,3.15,14250.0,01/24/2012,,
32605,FL,4.8,23500.0,01/06/2012,,
32603,FL,6.45,32250.0,01/04/2012,,
32641,FL,5.635,27600.0,05/08/2012,,
32605,FL,4.11,31050.0,01/26/2012,,
32601,FL,35.99,138561.0,11/30/2012,,
32607,FL,30.09,96654.81,11/19/2012,,
32609,FL,41.8,129580.0,10/09/2012,,
32601,FL,2.1,10500.0,01/31/2012,,
32608,FL,239.4,830000.0,12/14/2012,,
32609,FL,1000.16,3400000.0,11/15/2012,,
32607,FL,50.4,234360.0,07/24/2012,,
32609,FL,279.41,1295780.0,07/20/2012,,
32609,FL,12.88,54284.8,07/18/2012,,
32641,FL,78.6,445750.0,07/18/2012,,
32641,FL,25.77,147250.0,07/17/2012,,
32605,FL,20.58,117400.0,07/13/2012,,
32605,FL,36.6,206950.0,07/13/2012,,
32606,FL,105.0,488250.0,07/12/2012,,
32605,FL,25.77,147250.0,07/11/2012,,
32607,FL,25.74,93951.0,07/11/2012,,
32607,FL,25.74,93951.0,07/11/2012,,
32605,FL,52.14,295600.0,07/11/2012,,
32607,FL,25.74,93951.0,07/11/2012,,
32606,FL,25.74,96267.0,07/10/2012,,
32608,FL,25.74,98320.0,06/08/2012,,
32605,FL,102.24,426500.0,06/29/2012,,
32609,FL,25.74,95495.0,06/28/2012,,
32609,FL,25.74,95495.0,06/28/2012,,
32641,FL,52.47,295600.0,06/21/2012,,
32608,FL,52.4,296500.0,06/21/2012,,
32607,FL,25.74,95500.0,06/20/2012,,
32608,FL,104.8,595000.0,06/20/2012,,
32606,FL,52.47,296500.0,06/15/2012,,
32608,FL,25.74,92150.0,06/14/2012,,
32641,FL,25.77,147250.0,05/24/2012,,
32601,FL,248.64,510886.0,05/21/2012,,
32609,FL,999.925,3215456.0,04/10/2012,,
32615,FL,285.6,995633.48,01/06/2012,,
32653,FL,78.0,320000.0,01/04/2012,,
32601,FL,99.56,592000.0,01/04/2012,,
32601,FL,214.59,1453113.0,01/20/2012,,
32605,FL,24.36,131750.0,01/12/2012,,
32605,FL,48.72,265500.0,01/12/2012,,
32605,FL,52.08,265500.0,01/12/2012,,
32608,FL,167.28,627300.0,01/12/2012,,
32609,FL,2000.0,,03/01/2011,,
32831,FL,5900.0,,12/08/2011,,
32234,FL,15000.0,,09/28/2010,,
32605,FL,5.25,36500,06/19/2009,,
32608,FL,5.04,30240.0,11/15/2011,,
32608,FL,156.2,893500.0,12/30/2011,,
32207,FL,3.96,43250,09/28/2000,,
32209,FL,3.96,43250,09/28/2000,,
33813,FL,1.8,13950,07/01/1999,,
33813,FL,1.8,15870,07/01/1999,,
33860,FL,1.8,13950,06/01/2000,,
32579,FL,3.96,31106,02/05/2003,,
32926,FL,9.72,,12/01/2008,,
33556,FL,4,42000,04/23/2004,,
33801,FL,1.8,17790,07/01/1999,,
32258,FL,3.96,43250,09/29/2000,,
32234,FL,3.96,43250,09/01/2000,,
33809,FL,1.8,13950,07/01/1999,,
32310,FL,5.94,41925,12/15/2003,,
34761,FL,3.6,18504,12/05/2003,,
34761,FL,3.6,18504,06/02/2003,,
34747,FL,3.96,30710,12/08/2003,,
32505,FL,3.96,31106,09/05/2003,,
32819,FL,3.6,47000,08/24/2001,,
34203,FL,4.76,41678,10/09/2003,,
33431,FL,5,35839,10/20/2003,,
33054,FL,2.4,,08/01/2002,,
32828,FL,2.1,,12/01/2007,,
33853,FL,2.1,,05/01/2007,,
32208,FL,3.96,43250,09/21/2000,,
32217,FL,3.96,43250,09/25/2000,,
32221,FL,3.96,43250,09/20/2000,,
32835,FL,2,,12/09/2008,,
34787,FL,9.6,18504,07/31/2002,,
32207,FL,4.76,54360,09/02/2003,,
32223,FL,6.16,53256,09/10/2003,,
32211,FL,3.96,43250,09/29/2000,,
33713,FL,4.01,,11/29/2007,,
32246,FL,3.96,43250,09/21/2000,,
33610,FL,10.5,,03/27/2007,,
32792,FL,3.6,28440,12/01/2003,,
32401,FL,3.96,31106,03/19/2004,,
33803,FL,1.8,15870,07/01/1999,,
33149,FL,2,,06/29/2007,,
33155,FL,2,,06/29/2007,,
34604,FL,3.96,36490,01/15/2004,,
32209,FL,4.08,60595,05/05/2000,,
32750,FL,3.96,31827,12/02/2003,,
32207,FL,2.04,39000,08/02/2002,,
34448,FL,2,15800,05/01/2007,,
32953,FL,2.05,,04/08/2008,,
32210,FL,3.96,43250,09/20/2000,,
33710,FL,2.1,,07/01/2007,,
32751,FL,2,,01/19/2007,,
32168,FL,0.6,5693,06/28/2004,,
33705,FL,3.96,29200,11/12/2003,,
33610,FL,2.1,,11/15/2007,,
32806,FL,3.6,47000,12/19/2001,,
34787,FL,3.6,18504,06/02/2003,,
32605,FL,1.68,16852,01/15/2004,,
32218,FL,4.2,44300,05/26/2000,,
32804,FL,3.9,39950,10/01/2000,,
34207,FL,1.98,,04/01/2008,,
32207,FL,12,,07/07/2003,,
32901,FL,4.8,32053,12/20/2003,,
32818,FL,3.6,47000,09/20/2001,,
32206,FL,3.96,43250,08/24/2000,,
32211,FL,4.08,46595,11/16/1999,,
32254,FL,3.96,43250,09/28/2000,,
34480,FL,2.1,,01/30/2007,,
32209,FL,3.96,43250,08/24/2000,,
33913,FL,4.76,41678,10/08/2003,,
34990,FL,2,,06/29/2007,,
32609,FL,4.8,37180,01/30/2004,,
32217,FL,4.76,47420,09/02/2003,,
32244,FL,3.96,43250,09/20/2000,,
32608,FL,1.68,16852,01/15/2004,,
32789,FL,1.6,,05/01/2007,,
32205,FL,3.96,43250,09/01/2000,,
32128,FL,4,22257,06/28/2004,,
33647,FL,5,43444.77324,06/20/2010,,
32607,FL,7.965,28218.285,08/07/2013,,
32601,FL,11.13,58881.18249,01/14/2008,,
33404,FL,2.2,16974.09068,10/27/2009,,
32825,FL,5.184,45019.75569,07/15/2009,,
32091,FL,29.4,209966.8727,07/27/2009,,
32821,FL,5.52,23163.62166,10/12/2009,,
33778,FL,5.04,28400.55435,08/14/2009,,
33480,FL,5.06,49518.20371,03/16/2010,,
32578,FL,6.44,58313.36056,06/25/2009,,
32606,FL,52.2,220628.1229,01/24/2014,,
33859,FL,7.38,33018.66486,07/15/2009,,
33778,FL,4.9,38006.50432,04/30/2010,,
33060,FL,4.92,38564.19343,12/14/2009,,
32327,FL,5.22,36884.07147,09/18/2009,,
34433,FL,5.06,48082.03242,01/08/2010,,
32189,FL,2.05,4183.761615,08/08/2010,,
32750,FL,5.1,41168.89729,07/26/2009,,
33774,FL,5.28,51495.6627,12/28/2009,,
32220,FL,5.32,41078.49552,09/28/2009,,
34135,FL,5,32583.57993,06/23/2010,,
32168,FL,7.2,44882.7731,11/06/2009,,
32837,FL,5.04,33037.96093,01/21/2010,,
34275,FL,5,43444.77324,06/20/2010,,
32040,FL,6.048,48735.32679,12/07/2009,,
32223,FL,7.99,66569.22173,12/31/2009,,
32606,FL,196,472356.6289,12/31/2013,,
33498,FL,7.02,66881.05617,06/20/2010,,
34216,FL,2.82,18377.13908,06/22/2010,,
32608,FL,50.15,151657.2781,09/04/2013,,
32607,FL,7.35,25332.67898,01/24/2012,,
33403,FL,5,39942.97601,11/30/2009,,
32168,FL,4.2,5771.19083,10/16/2009,,
33917,FL,5.32,36276.99895,07/14/2009,,
32901,FL,4.92,31569.33078,09/17/2009,,
32309,FL,4.928,31788.56225,09/01/2009,,
34772,FL,4.86,25204.84473,12/10/2014,,
34292,FL,4.928,47160.09863,07/27/2009,,
32162,FL,4.5,31843.85342,03/15/2010,,
32507,FL,5.25,32756.66644,02/04/2010,,
33706,FL,5.2,35565.66357,11/16/2009,,
34652,FL,5.532,31013.16255,12/18/2009,,
32405,FL,4.725,30856.80066,06/25/2009,,
32726,FL,7,68761.40255,07/07/2009,,
33946,FL,7.92,76258.25638,01/22/2010,,
32606,FL,6.86,23272.66618,01/08/2013,,
32503,FL,2.05,16750.83506,12/31/2009,,
34748,FL,4.94,39100.00905,07/17/2009,,
32605,FL,9.99,62440.79249,03/08/2011,,
32159,FL,5.17,45175.58265,02/09/2010,,
33477,FL,2.3,24636.44243,01/25/2010,,
34714,FL,4.92,35628.41226,12/30/2009,,
32601,FL,9.99,61816.99868,06/20/2011,,
32301,FL,4.86,39465.3182,12/30/2009,,
34654,FL,5.07,40551.089,07/31/2009,,
32082,FL,6,51787.07457,10/18/2009,,
32606,FL,119,302206.6604,12/31/2013,,
32616,FL,48.6,330723.3363,06/24/2010,,
32250,FL,7.56,47884.58608,12/21/2009,,
32625,FL,3.36,29546.85897,11/16/2009,,
33897,FL,4,28452.53086,11/09/2009,,
34604,FL,5.64,31399.04566,12/30/2009,,
33647,FL,5.4,41946.04159,06/10/2009,,
32963,FL,4.92,40009.74214,09/23/2009,,
32606,FL,52.2,220628.1229,01/24/2014,,
34286,FL,2.08,19404.86006,06/25/2009,,
32765,FL,5,44793.53168,01/21/2010,,
32570,FL,2.1,25291.95752,01/20/2010,,
34481,FL,5.04,34708.52249,02/18/2010,,
32601,FL,16.485,109012.8454,09/18/2009,,
33917,FL,5.32,36276.99895,07/14/2009,,
32601,FL,24.3,250009.2425,12/10/2008,,
32569,FL,7.3,43229.68391,04/15/2010,,
32827,FL,8.25,26763.32647,06/04/2014,,
32601,FL,20.58,81056.90608,03/08/2013,,
32641,FL,8.14,51627.13766,01/20/2011,,
