Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=ME
04579,ME,46.41,180000,08/03/2015,,
03908,ME,38.88,,09/19/2014,,
04915,ME,45.9,150000.0,12/15/2014,,
04255,ME,244.915,940000.0,11/06/2014,,
04901,ME,170.52,,12/07/2012,,
04011,ME,1200.0,,10/16/2014,,
04915,ME,4.32,,08/01/2012,,
04915,ME,4.3,,12/01/2012,,
04046,ME,1.7,,11/05/2013,,
04083,ME,3.84,,01/20/2012,,
04693,ME,3.0,18000.0,01/17/2006,,
04530,ME,4.2,,07/19/2005,,
04765,ME,2.5,,11/01/2013,,
04973,ME,8.0,,01/23/2013,,
04843,ME,5.2,,01/17/2013,,
04101,ME,8.0,,01/23/2012,,
04103,ME,7.2,,06/14/2013,,
04538,ME,1.35,9180.0,01/10/2000,,
04097,ME,30.0,195000.0,07/10/2013,,
04074,ME,9.2,,05/03/2012,,
04108,ME,2.6,,11/30/2010,,
04092,ME,8.84,,05/22/2013,,
04097,ME,2.82,,04/06/2012,,
04938,ME,3.3,,07/09/2014,,
04679,ME,5.0,,11/03/2012,,
04963,ME,3.2,,10/05/2013,,
04401,ME,90.0,,01/30/2014,,
04915,ME,12.25,,06/10/2013,,
04915,ME,6.0,,05/01/2014,,
04538,ME,50.49,,06/30/2014,,
04553,ME,24.0,,11/08/2013,,
04040,ME,18.9,,12/12/2013,,
04958,ME,5.1,,09/26/2013,,
04062,ME,39.78,117045.0,11/04/2013,,
04062,ME,34.56,,10/01/2012,,
04849,ME,7.6,,02/28/2012,,
04106,ME,20.0,,02/21/2013,,
04609,ME,52.0,,12/31/2013,,
04571,ME,3.9,,03/08/2014,,
04653,ME,8.58,,12/06/2013,,
04011,ME,14.4,,02/27/2014,,
04609,ME,5.3,,09/10/2010,,
04609,ME,24.0,,11/05/2013,,
04002,ME,6.6,,09/24/2013,,
04105,ME,7.92,,07/12/2012,,
04101,ME,8.25,,06/20/2013,,
04096,ME,3.0,,07/15/2013,,
04011,ME,3.15,,07/17/2013,,
04021,ME,5.1,,07/16/2013,,
04038,ME,6.1,,07/18/2013,,
04538,ME,30.0,,08/01/2013,,
04090,ME,37.0,,03/27/2013,,
,ME,7.59,40679.04016,02/21/2012,,
04103,ME,1,5156.064596,09/04/2012,,
04841,ME,4.8,17213.80795,12/04/2012,,
04105,ME,1,5362.716391,09/04/2012,,
04750,ME,51.3,,01/25/2013,,
04103,ME,7.8,,07/09/2012,,
04693,ME,4.14,,12/22/2011,,
04079,ME,10.0,46000.0,09/10/2012,,
04989,ME,2.76,,04/19/2007,,
04989,ME,2.76,,04/08/2011,,
04002,ME,4.0,,11/28/2008,,
04444,ME,2.3,,05/19/2010,,
04068,ME,3.2,,07/23/2010,,
04614,ME,2.0,,10/10/2005,,
04988,ME,5.4,,09/08/2008,,
04043,ME,6.6,,04/11/2012,,
04574,ME,10.5,,07/19/2011,,
04915,ME,2.76,,03/01/2010,,
04616,ME,3.68,,04/15/2010,,
04062,ME,6.2,,06/22/2012,,
04857,ME,6.21,,12/09/2011,,
03909,ME,7.2,,06/15/2012,,
04270,ME,4.8,,06/29/2012,,
04988,ME,4.7,,07/22/2011,,
04572,ME,2.76,,08/10/2010,,
03906,ME,5.4,,03/04/2011,,
04847,ME,10.34,,12/20/2011,,
04330,ME,11.0,,03/27/2012,,
04548,ME,4.7,20500.0,03/27/2012,,
04574,ME,15.96,,11/16/2011,,
04645,ME,3.29,,07/21/2011,,
04210,ME,34.0,189000.0,10/14/2011,,
04092,ME,10.8,53000.0,03/13/2012,,
04944,ME,25.85,125000.0,02/13/2012,,
04101,ME,1.0,,10/24/2007,,
04051,ME,2.94,13800.0,10/14/2010,,
04102,ME,2.76,15500.0,10/31/2011,,
04038,ME,2.76,13773.0,10/31/2011,,
04101,ME,2.7,,05/15/2006,,
04473,ME,1.344,,09/20/2011,,
04105,ME,2.5,,08/08/2011,,
04474,ME,6.9,,07/14/2011,,
04105,ME,4.6,,11/21/2010,,
04032,ME,2.4,,10/12/2006,,
04849,ME,3.22,,05/17/2010,,
04537,ME,48.3,,07/15/2011,,
04046,ME,9.45,,09/30/2010,,
04046,ME,19.6,,05/14/2010,,
04043,ME,12.6,,02/24/2010,,
04046,ME,25.2,,03/24/2010,,
04623,ME,6.0,60000.0,08/13/2008,,
03901,ME,5.5,54701.0,07/20/2009,,
04543,ME,1.1,6668.0,12/27/2009,,
04847,ME,4.6,,04/07/2010,,
04941,ME,7.98,,06/30/2010,,
04412,ME,18.3,,03/09/2011,,
04572,ME,13.5,,12/18/2009,,
04037,ME,2.0,,01/20/2011,,
04579,ME,1.6,,10/10/2008,,
04062,ME,10.3,56720.0,01/20/2010,,
04915,ME,11.04,52860.0,04/19/2010,,
04219,ME,10.3,59400.0,07/09/2011,,
04330,ME,41.0,,07/23/2009,,
03907,ME,5.0,,06/24/2008,,
04660,ME,6.075,,06/15/2009,,
04046,ME,4.2,,03/03/1995,,
04863,ME,4.2,,06/30/2010,,
04043,ME,5.6,45000.0,12/30/2007,,
04040,ME,20.7,,07/01/2010,,
04039,ME,4.4,36450.0,12/01/2008,,
04351,ME,9.2,49000.0,04/01/2011,,
04105,ME,10.3,54400.0,03/19/2010,,
04032,ME,10.2,53500.0,03/04/2010,,
03908,ME,4.2,25000.0,06/09/2010,,
04364,ME,14.4,79000.0,09/14/2010,,
04861,ME,18.0,85000.0,11/15/2010,,
04856,ME,7.92,60000.0,03/26/2010,,
04843,ME,12.0,,11/11/2009,,
04002,ME,110.0,900000.0,01/29/2010,,
04953,ME,8.28,39283.0,03/31/2011,,
04005,ME,15.0,82000.0,08/05/2010,,
04021,ME,8.28,50000.0,08/13/2010,,
04096,ME,3.28,33000.0,02/12/2008,,
04330,ME,8.0,70000.0,11/17/2006,,
04660,ME,2.3,12314.0,12/03/2010,,
04578,ME,8.28,32516.0,12/28/2010,,
04901,ME,25.76,,05/09/2015,,
04915,ME,2.64,10588.0,01/18/2012,,
04988,ME,3.29,13142.0,01/18/2012,,
04963,ME,4.08,,05/28/2013,,
03905,ME,10.07,,12/20/2013,,
04364,ME,13.44,72000.0,01/14/2011,,
04038,ME,16.5,86469.0,05/24/2011,,
04609,ME,5.52,,11/06/2011,,
04579,ME,4.0,20000.0,09/04/2009,,
04090,ME,3.22,,07/20/2012,,
04988,ME,11.7,49373.0,08/15/2011,,
04553,ME,15.75,75000.0,11/11/2011,,
04543,ME,69.23,347000.0,08/27/2010,,
04105,ME,8.28,40414.0,10/10/2011,,
04856,ME,16.1,,09/23/2010,,
04901,ME,8.28,60000.0,05/05/2010,,
04347,ME,15.0,,09/08/2007,,
04614,ME,2.3,10212.6011,09/03/2013,,
04841,ME,4.8,17213.80795,12/04/2012,,
04941,ME,3.84,20508.77069,06/05/2012,,
04055,ME,2.5,10819.23022,09/03/2013,,
04330,ME,6.36,31206.03536,06/04/2013,,
03908,ME,2.88,12438.4532,04/17/2012,,
04102,ME,3.36,18960.05753,01/08/2013,,
04103,ME,5.5,21330.92745,07/09/2013,,
04953,ME,6.25,13692.68553,08/10/2012,,
04609,ME,5.25,17263.98466,07/09/2013,,
04472,ME,8.64,28632.22599,03/06/2012,,
04854,ME,3.22,13153.92607,02/05/2013,,
04537,ME,2.55,11857.19632,08/06/2013,,
04609,ME,4.32,17755.79087,08/07/2012,,
04616,ME,4,7423.204095,06/04/2013,,
04276,ME,3.12,15504.83043,01/08/2013,,
04039,ME,1.44,7768.608076,08/07/2012,,
04270,ME,4.8,36207.26587,07/03/2012,,
04349,ME,4.32,16438.41579,08/07/2012,,
03909,ME,5.3,18911.84137,07/09/2013,,
03905,ME,11.7,38524.92343,05/07/2013,,
04352,ME,10.78,40509.73632,01/08/2013,,
04538,ME,44.4,145368.8342,10/08/2013,,
04097,ME,4.6,14614.0234,05/07/2013,,
04096,ME,6.12,18939.20437,10/08/2013,,
04843,ME,8.25,24831.68656,03/05/2013,,
04938,ME,4.59,15441.81592,07/09/2013,,
04414,ME,2.4,11764.83752,01/08/2013,,
04530,ME,4.32,30884.67379,07/03/2012,,
04987,ME,3.12,14427.415,08/07/2012,,
04079,ME,1.88,10187.02072,03/13/2012,,
03909,ME,7.35,42657.83038,06/05/2012,,
04103,ME,4.59,15126.68105,08/06/2013,,
04039,ME,6.76,23135.28858,03/05/2013,,
04032,ME,3.12,12336.11911,04/09/2013,,
04074,ME,3.5,14876.02717,03/05/2013,,
04222,ME,5,32072.59836,05/07/2013,,
04032,ME,7.8,25371.88425,10/08/2013,,
04074,ME,5.72,11862.52534,12/04/2012,,
04743,ME,6.48,18239.00507,06/04/2013,,
04973,ME,2.05,10210.87582,02/21/2012,,
04217,ME,4.6,25963.51591,12/04/2012,,
04090,ME,4.4,16409.25269,08/07/2012,,
04862,ME,2.88,10977.91075,07/03/2012,,
04011,ME,5.76,21954.53856,08/07/2012,,
04679,ME,4.8,16677.64862,12/04/2012,,
04342,ME,3.3,14457.99384,09/03/2013,,
04862,ME,2.4,13940.57468,04/17/2012,,
04097,ME,7.84,19537.67901,11/06/2012,,
04062,ME,5.8,16102.46535,08/06/2013,,
04680,ME,2.5,10329.40086,02/05/2013,,
04915,ME,4.59,13711.59137,08/06/2013,,
04939,ME,3.68,25402.81536,06/05/2012,,
03902,ME,4.32,16127.08375,04/24/2012,,
04572,ME,2.5,9706.409141,04/09/2013,,
04530,ME,3.64,16529.17372,12/04/2012,,
04915,ME,4.5,15523.58883,05/07/2013,,
04069,ME,3.5,12883.29023,12/04/2012,,
04355,ME,4.5,18946.01504,12/04/2012,,
04102,ME,2.88,14103.84371,10/09/2012,,
04072,ME,6.58,25713.89637,01/17/2012,,
04330,ME,6,16944.3402,05/07/2013,,
04629,ME,8.82,37028.96776,05/07/2013,,
04578,ME,10.8,32235.27635,02/05/2013,,
04562,ME,3.29,16487.47269,03/13/2012,,
04556,ME,6.11,22793.57261,02/21/2012,,
04032,ME,5.5,17851.71769,06/04/2013,,
04605,ME,2.88,13539.42387,10/09/2012,,
04105,ME,4.16,15215.81835,07/09/2013,,
04901,ME,170.52,729973.7202,12/04/2012,,
04952,ME,3.92,14864.02071,04/09/2013,,
03906,ME,1.92,11255.4768,01/08/2013,,
04330,ME,11.28,61476.10546,03/20/2012,,
04231,ME,6.44,39685.08905,02/05/2013,,
04032,ME,7.6,21497.67963,10/08/2013,,
04911,ME,5.1,16123.19062,05/07/2013,,
04070,ME,1.44,8442.447411,12/04/2012,,
04032,ME,4.32,17251.24238,08/07/2012,,
04660,ME,6.75,27252.40969,05/07/2013,,
04849,ME,3.686,13033.02166,05/22/2012,,
04634,ME,0.96,4550.698527,08/07/2012,,
04901,ME,4.5,16163.8533,09/04/2012,,
04021,ME,5.76,22384.27095,06/05/2012,,
04551,ME,1.06,9227.156115,09/04/2012,,
04917,ME,3.5,11689.04015,07/09/2013,,
04105,ME,5.04,18098.09971,05/01/2012,,
04572,ME,3,11696.7626,04/09/2013,,
04915,ME,6.24,22906.55005,04/03/2012,,
04355,ME,4.5,18946.01504,12/04/2012,,
04496,ME,5.76,18668.76645,11/06/2012,,
04658,ME,3.36,11325.8287,03/13/2012,,
04072,ME,8.64,28183.61613,11/06/2012,,
04038,ME,9.6,39702.59893,12/04/2012,,
04106,ME,4.32,14511.16755,10/09/2012,,
04401,ME,8.6,37669.09358,04/09/2013,,
04843,ME,3.594,13904.64526,04/24/2012,,
04096,ME,3,10428.31829,07/09/2013,,
04986,ME,4.41,16935.85576,01/08/2013,,
04564,ME,4.25,15085.95861,06/04/2013,,
04538,ME,25,76008.15082,07/09/2013,,
04989,ME,3.84,11631.56439,12/04/2012,,
04989,ME,3.84,11631.56439,12/04/2012,,
04684,ME,3.165,31509.48399,03/27/2012,,
04856,ME,4.8,20150.5961,09/04/2012,,
04105,ME,2.88,12151.53478,09/04/2012,,
04612,ME,6.12,21114.11336,05/07/2013,,
04605,ME,0.98,4646.617363,01/08/2013,,
04260,ME,4.23,17958.99464,01/03/2012,,
03904,ME,5.04,20749.97687,10/09/2012,,
04862,ME,4.59,15100.28596,07/09/2013,,
04011,ME,4.41,16713.73626,12/11/2012,,
04106,ME,4,16223.93227,08/06/2013,,
04294,ME,4.32,16982.01284,08/07/2012,,
04039,ME,8.64,28447.37715,12/04/2012,,
04105,ME,4.16,13801.03156,03/05/2013,,
04861,ME,3.22,11776.94606,12/04/2012,,
04429,ME,10.14,34037.05681,08/06/2013,,
04105,ME,3.18,11375.3069,09/03/2013,,
04967,ME,7.95,27691.42221,08/06/2013,,
04101,ME,23.04,90979.30015,06/05/2012,,
04742,ME,7.68,57076.07671,01/17/2012,,
04617,ME,2.4,14776.85612,03/20/2012,,
04915,ME,3.6,22810.36801,10/08/2013,,
04614,ME,9,35937.63273,06/04/2013,,
04096,ME,5.2,18435.75946,01/08/2013,,
04011,ME,4.7,21856.66526,02/14/2012,,
04240,ME,22.92,156829.7015,01/17/2012,,
04105,ME,6.8,20265.79989,07/09/2013,,
04055,ME,6.24,22245.45712,12/04/2012,,
03906,ME,24.4,104657.1208,11/05/2013,,
04616,ME,7.5,35042.80707,11/05/2013,,
03903,ME,1.96,10817.20051,11/06/2012,,
04548,ME,3.84,16592.50232,09/04/2012,,
04078,ME,4.8,17180.98682,03/27/2012,,
04345,ME,14.4,50972.03833,04/10/2012,,
04653,ME,7.95,29281.76456,06/04/2013,,
04547,ME,6.24,22360.33807,09/04/2012,,
04351,ME,4.8,19082.17976,07/10/2012,,
04841,ME,4.16,15391.38802,04/09/2013,,
04345,ME,4.59,15015.15683,07/09/2013,,
04268,ME,4.8,34509.82679,09/04/2012,,
04330,ME,3.825,14884.20419,06/04/2013,,
04083,ME,11.75,44069.10323,04/17/2012,,
04073,ME,6,22960.5422,07/09/2013,,
04862,ME,2.82,13371.81921,03/13/2012,,
04555,ME,3.315,11148.19899,06/04/2013,,
04330,ME,6.63,19224.45882,06/04/2013,,
04915,ME,4.3,16946.32307,07/03/2012,,
04617,ME,7.68,48900.3524,10/09/2012,,
04614,ME,4.41,15462.9544,10/09/2012,,
04071,ME,15.9,50246.07832,09/03/2013,,
04097,ME,5.76,40053.85178,10/09/2012,,
04685,ME,7,27360.99703,04/09/2013,,
04605,ME,8.25,23843.94155,07/10/2012,,
04011,ME,3.4,20101.62229,07/09/2013,,
04345,ME,3.6,15844.46666,08/10/2012,,
04605,ME,4,9499.812857,07/09/2013,,
04938,ME,5.61,17050.32225,09/03/2013,,
04963,ME,4.08,7126.585273,04/09/2013,,
04469,ME,4,16176.77633,09/03/2013,,
04071,ME,6,21082.59056,10/09/2012,,
04101,ME,4.5,15493.19638,04/09/2013,,
04932,ME,3.84,20718.19123,06/05/2012,,
04473,ME,3.315,12349.40735,10/08/2013,,
04049,ME,5.3,18841.90023,09/03/2013,,
04915,ME,6,19891.26336,07/03/2012,,
04553,ME,2.76,8292.291006,04/09/2013,,
04047,ME,5.1,17308.22707,10/08/2013,,
04530,ME,6.24,19251.21344,12/04/2012,,
04011,ME,5.46,15802.21469,03/06/2012,,
04841,ME,2.4,5138.995898,08/07/2012,,
04105,ME,3.36,12223.80882,10/09/2012,,
04614,ME,0.879,10222.10923,03/20/2012,,
04074,ME,6.12,18246.39265,09/03/2013,,
04915,ME,3.5,11516.17966,10/08/2013,,
04217,ME,6.5,16983.06476,11/05/2013,,
04915,ME,4.32,16447.50601,02/05/2013,,
04541,ME,2.65,12079.88568,08/06/2013,,
04614,ME,8.415,24369.23971,05/07/2013,,
04096,ME,7.2,46346.85041,12/04/2012,,
04680,ME,4.59,16597.8171,04/09/2013,,
04097,ME,5.4,32076.16663,04/10/2012,,
04901,ME,170.52,729973.7202,12/04/2012,,
04046,ME,9.36,32530.26628,09/04/2012,,
04011,ME,4.8,18344.0678,03/27/2012,,
04021,ME,5.1,16843.97126,10/08/2013,,
04105,ME,5.04,23085.37134,12/11/2012,,
04090,ME,5.2,19276.99033,12/04/2012,,
04976,ME,1.44,19756.46075,01/24/2012,,
04915,ME,2.64,10836.04218,10/09/2012,,
04855,ME,3.5,25319.96007,09/04/2012,,
04675,ME,6.12,19886.97552,10/08/2013,,
04921,ME,3.32,5554.219791,02/05/2013,,
04101,ME,2.82,13073.14544,01/17/2012,,
04609,ME,16.8,88118.26013,12/20/2011,,
04106,ME,3.6,22434.28187,04/10/2012,,
04864,ME,12.24,30066.40807,02/05/2013,,
04355,ME,7.92,26203.35893,06/05/2012,,
04642,ME,7.5,20924.87606,04/09/2013,,
04022,ME,8.64,35819.93541,10/09/2012,,
04841,ME,3.22,15458.78259,03/05/2013,,
04108,ME,4.59,15030.51973,08/06/2013,,
04903,ME,41,154899.5442,07/09/2013,,
04605,ME,2.8,7836.490571,05/07/2013,,
04069,ME,3.84,22353.6025,01/08/2013,,
04674,ME,3.38,13378.20654,12/11/2012,,
04105,ME,8.64,48925.33556,01/17/2012,,
04347,ME,7.2,37559.76085,10/09/2012,,
04084,ME,5.2,20127.90578,01/08/2013,,
04917,ME,6.12,38528.02493,07/09/2013,,
