Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MI
49945,MI,4.95,21000,09/06/2015,,
48124,MI,500.0,,06/01/2010,,
49241,MI,10.1,20000.0,11/21/2013,,
49304,MI,1.44,,08/16/2013,,
49337,MI,7.5,,11/10/2013,,
48462,MI,3.0,19449.33,11/01/2013,,
49601,MI,5.0,21000.0,10/15/1997,,
49629,MI,3.36,14400.0,05/22/2013,,
49684,MI,5.76,22706.0,05/01/2013,,
49905,MI,2.0,12425.0,07/23/2012,,
49905,MI,1.96,14042.0,08/19/2011,,
49931,MI,8.2,17378.0,11/08/2012,,
49112,MI,6.58,42900.0,01/31/2012,,
49128,MI,4.08,20000.0,06/26/2010,,
49112,MI,3.15,17000.0,08/03/2009,,
48183,MI,2.8,14000.0,10/28/2010,,
49091,MI,7.43,37150.0,09/17/2010,,
49038,MI,4.73,23650.0,08/25/2010,,
49460,MI,5.06,36995.0,05/19/2011,,
48103,MI,8.56,60000.0,09/23/2011,,
48187,MI,977.6,,07/10/2012,,
48423,MI,2.64,,08/16/2012,,
48375,MI,2.0,,09/18/2012,,
48218,MI,13.5,87750.0,01/28/2012,,
48195,MI,8.0,61170.0,09/30/2011,,
48070,MI,19.0,120000.0,11/09/2011,,
49684,MI,4.0,16000.0,09/12/2012,,
49686,MI,4.32,18650.0,08/17/2012,,
48239,MI,4.6,,08/01/2011,,
48239,MI,4.68,,08/01/2011,,
48430,MI,3.91,,07/19/2012,,
49506,MI,100.0,890000.0,05/26/2011,,
48312,MI,189.0,1152900.0,06/23/2011,,
48211,MI,516.0,2122000.0,07/21/2011,,
48186,MI,386.0,1955000.0,08/18/2011,,
48336,MI,402.0,2110500.0,09/15/2011,,
49441,MI,70.0,,09/14/2011,,
49117,MI,10.0,,03/23/2012,,
48617,MI,10.0,,03/23/2012,,
49883,MI,10.56,,08/05/2011,,
49781,MI,10.56,,08/05/2011,,
48118,MI,16.32,,08/05/2011,,
48836,MI,2.07,,01/02/2012,,
48418,MI,2.07,,01/02/2012,,
49460,MI,2.76,,07/20/2011,,
49435,MI,5.52,,07/14/2011,,
49506,MI,1.44,,06/05/2011,,
48888,MI,2.99,,09/16/2010,,
49306,MI,39.42,305000.0,06/10/2011,,
49008,MI,18.45,83025.0,09/01/2011,,
49250,MI,19.2,90000.0,01/08/2011,,
49546,MI,100.8,,02/23/2012,,
48192,MI,49.92,,03/07/2012,,
49421,MI,2.4,16000.0,11/11/2011,,
49420,MI,2.4,16000.0,11/11/2011,,
49461,MI,2.4,16000.0,11/11/2011,,
49441,MI,2.4,16000.0,10/22/2011,,
48103,MI,10.8,54000.0,11/10/2010,,
48103,MI,2.55,16200.0,10/27/2011,,
48108,MI,31.63,158000.0,02/07/2012,,
49783,MI,2.2,12700.0,07/28/2011,,
48382,MI,2.0,,01/10/2012,,
48192,MI,162.0,,01/05/2012,,
49441,MI,71.0,400000.0,01/05/2012,,
49441,MI,70.0,414000.0,12/07/2011,,
48326,MI,17.55,97538.0,12/15/2011,,
48326,MI,8.1,45016.0,12/15/2011,,
48326,MI,4.95,27510.0,12/15/2011,,
48380,MI,6.0,34000.0,08/15/2011,,
48607,MI,34.65,211600.0,10/24/2011,,
49507,MI,18.72,,11/18/2011,,
48070,MI,19.152,,11/09/2011,,
48103,MI,5.7,41000.0,12/15/2010,,
49686,MI,1.0,2500.0,10/13/1997,,
49676,MI,4.5,22000.0,09/23/2011,,
49009,MI,5.4,,11/19/2010,,
49451,MI,2.1,,05/03/2010,,
49534,MI,5.04,,03/01/2010,,
49241,MI,2.31,,04/12/2010,,
49088,MI,10.0,,04/05/2010,,
49431,MI,1.2,,11/05/2009,,
49079,MI,2.3,,10/21/2010,,
49055,MI,2.7,,07/28/2011,,
49064,MI,5.0,15000.0,12/29/2010,,
49055,MI,5.0,21000.0,12/29/2010,,
48359,MI,18.36,111000.0,05/10/2011,,
48127,MI,18.72,,07/27/2011,,
48135,MI,18.72,,07/26/2011,,
48226,MI,219.96,1500000.0,07/15/2011,,
48161,MI,513.24,3000000.0,03/15/2011,,
48184,MI,502.32,3000000.0,02/15/2011,,
48103,MI,60.75,700000.0,11/15/2011,,
48374,MI,6.1,45000.0,03/15/2010,,
48375,MI,14.1,96000.0,02/15/2010,,
48188,MI,4.7,27000.0,12/29/2009,,
48126,MI,18.72,,06/24/2011,,
48126,MI,18.72,,06/24/2011,,
49682,MI,18.0,91000.0,06/17/2011,,
48126,MI,18.72,,07/13/2011,,
48353,MI,4.725,,05/12/2011,,
48236,MI,9.165,,05/11/2011,,
48017,MI,9.36,,03/15/2011,,
48124,MI,4.7,,03/08/2011,,
48073,MI,5.76,,01/10/2011,,
48505,MI,4.8,,12/31/2010,,
48823,MI,4.41,,12/15/2010,,
48708,MI,9.85,,11/04/2010,,
48135,MI,2.7,,11/02/2010,,
48084,MI,6.11,,10/08/2010,,
48187,MI,18.72,177840,09/28/2010,,
48221,MI,18.81,178895,09/18/2010,,
48170,MI,18.81,178695,08/25/2010,,
48473,MI,2.0,,07/05/2010,,
48843,MI,5.376,,04/05/2010,,
48374,MI,6.1,,02/21/2010,,
48375,MI,14.1,,02/15/2010,,
48188,MI,4.7,27000.0,12/24/2009,,
49684,MI,2.0,22000.0,08/30/2010,,
48071,MI,5.4,24000.0,03/21/2011,,
49837,MI,2.3,21494.0,06/17/2010,,
49686,MI,4.5,21000.0,05/02/2011,,
48895,MI,0.064,900.0,11/06/2004,,
48626,MI,31.8,,02/01/2010,,
48323,MI,3.44,45000.0,02/03/2011,,
48604,MI,15.0,0.0,09/10/2010,,
48601,MI,4.0,0.0,03/07/2011,,
48840,MI,0.4,800.0,08/16/2006,,
48838,MI,101.38,525000.0,10/08/2010,,
49046,MI,2.25,33184.0,11/24/2010,,
49920,MI,2.25,21494.0,12/09/2010,,
48094,MI,19.8,119530.63,12/08/2010,,
49426,MI,1.125,22000.0,11/12/2010,,
48623,MI,10.8,77746.31,12/29/2010,,
49908,MI,2.3,21494.0,07/15/2010,,
48223,MI,2.25,34384.0,10/28/2010,,
48201,MI,19.6,159033.0,12/01/2010,,
49870,MI,2.3,25841.0,07/01/2010,,
49839,MI,1.15,15000.0,08/18/2010,,
48838,MI,101.38,525000.0,10/08/2010,,
48060,MI,2.0,15000.0,02/10/2010,,
49525,MI,2.25,28000.0,10/12/2010,,
49525,MI,9.72,79740.0,10/12/2010,,
48324,MI,3.44,22000.0,02/01/2011,,
48801,MI,2.25,24000.0,12/28/2010,,
48723,MI,2.25,24000.0,02/25/2010,,
48370,MI,10.56,68700.0,03/19/2010,,
48101,MI,2.25,21494.0,10/26/2010,,
49265,MI,1.125,14000.0,11/03/2010,,
48103,MI,19.8,71000.0,03/20/2011,,
48103,MI,3.4,13000.0,06/20/2010,,
49440,MI,30,,10/13/2003,,
48105,MI,4.92,22500.0,12/30/2010,,
49301,MI,2.0,8000.0,11/18/2010,,
49333,MI,4.928,28000.0,11/29/2010,,
49504,MI,1.488,,07/31/2009,,
48036,MI,4.8,,03/16/2011,,
48213,MI,19.8,,04/30/2011,,
48067,MI,38.64,,04/30/2011,,
48201,MI,19.6,,04/05/2010,,
48383,MI,15.6,,03/11/2010,,
48382,MI,2.4,,04/12/2010,,
48201,MI,0.26,,11/25/2009,,
48098,MI,3.9,,11/16/2009,,
48098,MI,6.9,,10/19/2009,,
48324,MI,3.7,,09/10/2009,,
48032,MI,19.7,,08/11/2009,,
48089,MI,1.3,,07/23/2009,,
48059,MI,2.0,,06/18/2009,,
48421,MI,3.075,,04/15/2009,,
48120,MI,1.4,,08/03/2010,,
49230,MI,20.1,,07/08/2010,,
48455,MI,3.7,,07/20/2010,,
48331,MI,15.2,,07/27/2010,,
48021,MI,1.8,,06/18/2010,,
48066,MI,1.8,,06/14/2010,,
49307,MI,3.7,,06/02/2010,,
48350,MI,12.3,,05/26/2010,,
48051,MI,4.1,,05/17/2010,,
48051,MI,8.6,,05/13/2010,,
48331,MI,4.1,,04/14/2010,,
48331,MI,0.21,,03/17/2010,,
48382,MI,1.5,,01/13/2010,,
48912,MI,53.5,600000.0,12/23/2008,,
49053,MI,158.8,,02/17/2010,,
49441,MI,150.0,650000.0,05/01/2010,,
49684,MI,40.2,239400.0,08/01/2010,,
49654,MI,2.0,,10/15/2008,,
49684,MI,15.0,,06/08/2009,,
49870,MI,5.533,40895.0,11/11/2010,,
49686,MI,4.032,30900.0,11/10/2009,,
48462,MI,3.01,21000.0,10/01/2009,,
48348,MI,3.87,24187.5,10/01/2010,,
49883,MI,1.6,,06/01/2008,,
49686,MI,4.0,,03/15/2007,,
49686,MI,8.0,,06/01/2006,,
49870,MI,5.53,,11/11/2010,,
49686,MI,4.0,30900.0,11/01/2009,,
48189,MI,3.2,44000.0,09/01/2006,,
48462,MI,13.16,62435.56,11/16/2010,,
49920,MI,2.0,50100.0,12/13/2010,,
49839,MI,1.0,,08/25/2010,,
49870,MI,2.0,50100.0,06/25/2010,,
49908,MI,2.0,50100.0,08/25/2010,,
49837,MI,2.0,50100.0,06/11/2010,,
49417,MI,4.2,21219.0,08/03/2010,,
49404,MI,18.96,77500.0,04/23/2010,,
48858,MI,21.6,96422.4,05/04/2010,,
48455,MI,19.8,121000.0,10/07/2010,,
49546,MI,1.41,,03/03/2011,,
49512,MI,149.6,,11/01/2010,,
49417,MI,7.59,,08/01/2010,,
49302,MI,11.28,,05/01/2010,,
49512,MI,149.5,,04/01/2010,,
49548,MI,149.46,,12/01/2009,,
49301,MI,8.46,,09/01/2009,,
49621,MI,2.1,14000.0,11/27/2010,,
49346,MI,4.3,,02/16/2011,,
48370,MI,4.5,,11/23/2010,,
49408,MI,3.0,,11/15/2010,,
49720,MI,4.0,,10/26/2010,,
49333,MI,5.0,,10/17/2010,,
49506,MI,5.0,,09/14/2010,,
49349,MI,5.5,,07/30/2010,,
49055,MI,2.0,,06/28/2010,,
49442,MI,2.0,,06/23/2010,,
48854,MI,4.0,,05/24/2010,,
48161,MI,4.0,,06/12/2010,,
49345,MI,2.0,,05/18/2010,,
49331,MI,10.0,,04/13/2010,,
49079,MI,2.0,,04/20/2010,,
48202,MI,10.0,,03/15/2010,,
48820,MI,4.0,,08/24/2009,,
49423,MI,1.4,,08/10/2009,,
49104,MI,4.3,,06/22/2009,,
49070,MI,2.0,,06/17/2009,,
49506,MI,8.1,,04/29/2009,,
49079,MI,3.3,,04/07/2009,,
49012,MI,2.0,,02/04/2009,,
49502,MI,10.0,,01/08/2009,,
49058,MI,5.0,,11/01/2008,,
49404,MI,2.0,,07/01/2008,,
49079,MI,2.0,,05/01/2008,,
49341,MI,3.0,,05/01/2008,,
49686,MI,1.76,8000.0,08/14/2010,,
48823,MI,1.26,9000.0,05/26/2010,,
48188,MI,2.118,25425.0,11/24/2010,,
48188,MI,1.226,18224.3,08/31/2010,,
49337,MI,6.0,,10/04/2010,,
49070,MI,2.1,15000.0,08/10/2009,,
48116,MI,4.6,21000.0,08/10/2010,,
48910,MI,2.1,17185.0,10/04/2010,,
48629,MI,4.7,32900.0,02/15/2010,,
48198,MI,2.28,17000,04/01/2009,,
48104,MI,10,100000,06/09/2008,,
49866,MI,10.25,89915,07/01/2009,,
49686,MI,8,90000,10/07/2006,,
48104,MI,10,90321,09/30/2008,,
49245,MI,15.68,48608,11/20/2009,,
