Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=OR
97062,OR,2.99,,08/02/2011,,
97060,OR,6.45,,06/29/2011,,
97060,OR,5.16,,08/18/2011,,
97060,OR,4.14,,08/22/2011,,
97060,OR,3.68,,07/05/2011,,
97060,OR,2.76,,03/31/2011,,
97060,OR,2.76,,10/05/2011,,
97055,OR,5.98,,06/28/2011,,
97055,OR,5.98,,09/01/2011,,
97045,OR,6.21,,05/20/2011,,
97045,OR,6.11,,12/09/2011,,
97045,OR,5.98,,06/21/2011,,
97045,OR,5.98,,09/29/2011,,
97045,OR,5.64,,12/01/2011,,
97045,OR,5.52,,08/11/2011,,
97045,OR,5.16,,12/05/2011,,
97045,OR,5.06,,07/14/2011,,
97045,OR,5.06,,08/18/2011,,
97045,OR,4.6,,06/29/2011,,
97045,OR,4.6,,08/12/2011,,
97045,OR,4.23,,12/06/2011,,
97045,OR,3.76,,09/22/2011,,
97038,OR,3.36,,09/30/2011,,
97034,OR,4.2,,06/08/2011,,
97031,OR,6.44,,10/14/2011,,
97031,OR,5.67,,05/09/2011,,
97031,OR,4.73,,08/03/2011,,
97030,OR,8.28,,06/13/2011,,
97030,OR,5.805,,10/27/2011,,
97027,OR,5.52,,08/22/2011,,
97027,OR,3.68,,05/17/2011,,
97024,OR,6.44,,07/11/2011,,
97024,OR,3.87,,10/10/2011,,
97023,OR,6.44,,08/09/2011,,
97023,OR,5.52,,05/18/2011,,
97023,OR,5.52,,08/15/2011,,
97009,OR,4.6,,05/18/2011,,
97008,OR,5.98,,09/30/2011,,
97008,OR,3.68,,08/12/2011,,
97007,OR,7.74,,11/10/2011,,
97007,OR,5.98,,10/24/2011,,
97007,OR,5.64,,12/27/2011,,
97007,OR,5.52,,08/09/2011,,
97007,OR,5.52,,09/15/2011,,
97007,OR,5.04,,07/08/2011,,
97007,OR,4.73,,06/14/2011,,
97007,OR,4.73,,09/12/2011,,
97007,OR,4.6,,06/29/2011,,
97007,OR,3.87,,11/10/2011,,
97007,OR,3.76,,12/29/2011,,
97007,OR,3.68,,05/02/2011,,
97007,OR,2.58,,06/22/2011,,
97006,OR,6.58,,10/21/2011,,
97006,OR,5.64,,12/01/2011,,
97006,OR,5.59,,08/15/2011,,
97006,OR,5.06,,05/06/2011,,
97006,OR,5.06,,07/06/2011,,
97006,OR,4.7,,05/20/2011,,
97006,OR,4.14,,09/15/2011,,
97006,OR,4.14,,10/03/2011,,
97006,OR,3.92,,12/27/2011,,
97006,OR,3.68,,08/15/2011,,
97006,OR,2.99,,08/15/2011,,
97006,OR,2.82,,12/22/2011,,
97005,OR,4.14,,07/06/2011,,
97005,OR,3.76,,12/01/2011,,
97005,OR,3.68,,11/01/2011,,
97005,OR,2.76,,11/04/2011,,
97002,OR,5.98,,11/01/2011,,
97002,OR,5.98,,11/04/2011,,
97701,OR,28.98,,07/15/2010,,
97520,OR,40.02,,11/16/2010,,
97392,OR,7.755,,07/28/2011,,
97317,OR,2.82,,10/29/2010,,
97306,OR,7.05,,01/25/2011,,
97306,OR,4.41,,10/26/2010,,
97306,OR,4.23,,02/24/2011,,
97306,OR,3.43,,11/04/2010,,
97306,OR,3.055,,11/09/2010,,
97306,OR,3.055,,12/17/2010,,
97306,OR,2.45,,10/29/2010,,
97305,OR,5.17,,11/22/2010,,
97304,OR,3.92,,08/30/2011,,
97304,OR,2.82,,11/15/2010,,
97304,OR,2.58,,10/28/2010,,
97303,OR,3.185,,12/07/2010,,
97303,OR,2.99,,10/19/2010,,
97302,OR,3.92,,01/04/2011,,
97302,OR,3.76,,12/14/2010,,
97302,OR,2.585,,11/11/2010,,
97302,OR,2.585,,02/09/2011,,
97302,OR,2.365,,11/12/2010,,
97301,OR,5.88,,01/06/2011,,
97301,OR,3.43,,11/30/2010,,
97301,OR,3.225,,10/19/2010,,
97266,OR,4.2,,08/05/2010,,
97266,OR,3.01,,05/13/2010,,
97266,OR,2.52,,08/02/2010,,
97266,OR,2.52,,08/27/2010,,
97266,OR,2.365,,07/07/2010,,
97232,OR,3.36,,07/12/2010,,
97232,OR,3.15,,08/13/2010,,
97232,OR,2.52,,09/29/2010,,
97232,OR,2.31,,08/18/2010,,
97232,OR,2.15,,10/14/2010,,
97232,OR,2.15,,10/20/2010,,
97232,OR,2.1,,08/17/2010,,
97232,OR,2.1,,10/07/2010,,
97230,OR,2.52,,09/15/2010,,
97230,OR,2.1,,07/06/2010,,
97229,OR,4.3,,10/13/2010,,
97229,OR,3.92,,12/29/2010,,
97229,OR,2.52,,10/14/2010,,
97229,OR,2.46,,01/29/2010,,
97229,OR,2.1,,09/07/2010,,
97227,OR,4.92,,12/28/2009,,
97227,OR,2.73,,08/23/2010,,
97227,OR,2.31,,09/21/2010,,
97225,OR,2.94,,09/09/2010,,
97223,OR,2.4,,11/14/2008,,
97223,OR,2.35,,08/18/2011,,
97220,OR,2.82,,11/22/2010,,
97220,OR,2.52,,07/30/2010,,
97220,OR,2.52,,08/25/2010,,
97220,OR,1.72,,10/21/2010,,
97219,OR,4.0,,10/03/2008,,
97219,OR,3.225,,09/10/2010,,
97219,OR,3.01,,01/04/2011,,
97218,OR,3.225,,01/18/2011,,
97218,OR,3.01,,09/21/2010,,
97218,OR,2.58,,07/28/2010,,
97218,OR,2.15,,10/14/2010,,
97218,OR,1.29,,09/17/2010,,
97217,OR,2.52,,08/23/2010,,
97217,OR,2.31,,08/02/2010,,
97217,OR,2.15,,01/07/2011,,
97215,OR,2.94,,09/08/2010,,
97214,OR,2.58,,10/01/2010,,
97213,OR,4.3,,06/16/2010,,
97213,OR,3.44,,06/24/2010,,
97213,OR,3.36,,08/27/2010,,
97213,OR,3.15,,10/07/2010,,
97213,OR,3.15,,11/17/2010,,
97213,OR,3.15,,01/04/2011,,
97213,OR,2.94,,06/30/2010,,
97213,OR,2.94,,12/07/2010,,
97213,OR,2.52,,09/24/2010,,
97213,OR,2.52,,02/28/2011,,
97213,OR,2.35,,03/17/2011,,
97213,OR,2.31,,09/07/2010,,
97213,OR,2.15,,07/30/2010,,
97213,OR,2.15,,09/16/2010,,
97213,OR,2.15,,09/23/2010,,
97213,OR,2.15,,09/24/2010,,
97213,OR,2.15,,10/01/2010,,
97213,OR,2.15,,10/12/2010,,
97213,OR,2.15,,12/15/2010,,
97213,OR,2.1,,08/13/2010,,
97213,OR,2.1,,08/19/2010,,
97213,OR,2.1,,08/30/2010,,
97213,OR,2.1,,10/01/2010,,
97213,OR,2.1,,10/05/2010,,
97213,OR,2.1,,10/19/2010,,
97213,OR,1.935,,06/28/2010,,
97213,OR,1.935,,11/18/2010,,
97212,OR,6.45,,02/14/2011,,
97212,OR,5.04,,12/15/2010,,
97212,OR,4.3,,01/05/2011,,
97212,OR,3.87,,12/15/2010,,
97212,OR,3.78,,08/16/2010,,
97212,OR,3.6,,10/06/2008,,
97212,OR,3.36,,11/11/2010,,
97212,OR,3.225,,06/17/2010,,
97212,OR,3.225,,10/14/2010,,
97212,OR,3.225,,10/15/2010,,
97212,OR,3.01,,06/21/2010,,
97212,OR,3.01,,10/13/2010,,
97212,OR,2.94,,07/08/2010,,
97212,OR,2.94,,08/13/2010,,
97212,OR,2.94,,08/20/2010,,
97212,OR,2.94,,10/21/2010,,
97212,OR,2.795,,06/08/2010,,
97212,OR,2.58,,05/20/2010,,
97212,OR,2.58,,07/27/2010,,
97212,OR,2.58,,11/08/2010,,
97212,OR,2.58,,11/10/2010,,
97212,OR,2.58,,12/06/2010,,
97212,OR,2.52,,09/01/2010,,
97212,OR,2.365,,06/01/2010,,
97212,OR,2.365,,06/07/2010,,
97212,OR,2.365,,06/21/2010,,
97212,OR,2.365,,10/28/2010,,
97212,OR,2.365,,01/04/2011,,
97212,OR,2.31,,08/18/2010,,
97212,OR,2.15,,06/25/2010,,
97212,OR,2.15,,09/21/2010,,
97212,OR,2.15,,10/08/2010,,
97212,OR,2.115,,12/02/2010,,
97212,OR,2.1,,08/02/2010,,
97212,OR,2.1,,08/03/2010,,
97212,OR,2.1,,10/01/2010,,
97212,OR,2.1,,10/12/2010,,
97212,OR,2.1,,11/11/2010,,
97212,OR,2.1,,01/04/2011,,
97212,OR,1.935,,10/21/2010,,
97212,OR,1.72,,08/11/2010,,
97212,OR,1.72,,12/10/2010,,
97212,OR,1.68,,08/16/2010,,
97212,OR,1.505,,11/01/2010,,
97211,OR,4.2,,01/04/2011,,
97211,OR,3.78,,06/03/2010,,
97211,OR,3.15,,07/20/2010,,
97211,OR,3.15,,08/19/2010,,
97211,OR,3.15,,11/15/2010,,
97211,OR,3.01,,05/21/2010,,
97211,OR,3.01,,06/22/2010,,
97211,OR,3.01,,11/30/2010,,
97211,OR,2.94,,08/04/2010,,
97211,OR,2.58,,06/02/2010,,
97211,OR,2.58,,08/25/2010,,
97211,OR,2.58,,09/20/2010,,
97211,OR,2.58,,10/19/2010,,
97211,OR,2.52,,06/16/2010,,
97211,OR,2.52,,08/25/2010,,
97211,OR,2.52,,09/01/2010,,
97211,OR,2.52,,09/16/2010,,
97211,OR,2.52,,09/22/2010,,
97211,OR,2.52,,01/06/2011,,
97211,OR,2.52,,06/29/2011,,
97211,OR,2.45,,09/09/2010,,
97211,OR,2.365,,06/03/2010,,
97211,OR,2.365,,06/17/2010,,
97211,OR,2.365,,09/15/2010,,
97211,OR,2.35,,12/09/2010,,
97211,OR,2.31,,09/17/2010,,
97211,OR,2.15,,05/17/2010,,
97211,OR,2.15,,06/16/2010,,
97211,OR,2.15,,09/21/2010,,
97211,OR,2.15,,10/01/2010,,
97211,OR,2.15,,10/15/2010,,
97211,OR,2.15,,10/28/2010,,
97211,OR,2.15,,12/01/2010,,
97211,OR,2.15,,12/02/2010,,
97211,OR,2.1,,07/20/2010,,
97211,OR,2.1,,08/11/2010,,
97211,OR,2.1,,08/19/2010,,
97211,OR,2.1,,09/01/2010,,
97211,OR,2.1,,09/02/2010,,
97211,OR,2.1,,09/03/2010,,
97211,OR,2.1,,10/14/2010,,
97211,OR,2.1,,11/01/2010,,
97211,OR,1.89,,09/08/2010,,
97211,OR,1.72,,10/26/2010,,
97202,OR,2.1,,11/03/2010,,
97124,OR,61.64,,08/30/2010,,
97080,OR,8.385,,08/26/2011,,
97062,OR,3.68,,08/18/2011,,
97045,OR,2.15,,10/21/2010,,
97034,OR,6.45,,05/17/2011,,
97013,OR,3.01,,11/30/2010,,
97008,OR,4.2,,09/02/2010,,
97008,OR,3.29,,11/30/2010,,
97008,OR,3.15,,01/04/2011,,
97008,OR,3.01,,11/12/2010,,
97008,OR,2.94,,12/07/2010,,
97008,OR,2.58,,10/27/2010,,
97008,OR,2.58,,11/30/2010,,
97008,OR,2.52,,11/09/2010,,
97008,OR,2.52,,12/30/2010,,
97008,OR,2.365,,11/03/2010,,
97008,OR,2.15,,09/28/2010,,
97008,OR,2.1,,08/27/2010,,
97008,OR,2.1,,12/29/2010,,
97007,OR,3.225,,10/21/2010,,
97007,OR,3.15,,10/07/2010,,
97007,OR,2.73,,10/13/2010,,
97007,OR,2.15,,12/08/2010,,
97007,OR,2.1,,08/25/2010,,
97007,OR,2.1,,09/16/2010,,
97007,OR,2.1,,10/12/2010,,
97007,OR,1.89,,09/01/2010,,
97006,OR,4.7,,11/12/2010,,
97006,OR,3.225,,11/17/2010,,
97006,OR,3.15,,09/22/2010,,
97006,OR,3.15,,01/04/2011,,
97006,OR,2.94,,08/25/2010,,
97006,OR,2.94,,01/07/2011,,
97006,OR,2.87,,03/25/2010,,
97006,OR,2.585,,10/27/2010,,
97006,OR,2.31,,10/08/2010,,
97005,OR,4.2,,09/08/2010,,
97005,OR,3.15,,10/05/2010,,
97005,OR,2.1,,12/30/2010,,
97760,OR,3.24,21060.0,08/09/2010,,
97212,OR,6.11,36672.0,08/17/2010,,
97701,OR,5.04,29600.0,08/19/2010,,
97330,OR,9.0,52000.0,08/19/2010,,
97702,OR,3.6,23040.0,08/23/2010,,
97801,OR,2.64,17028.0,08/25/2010,,
97355,OR,2.99,18055.0,08/31/2010,,
97330,OR,3.78,26400.0,09/03/2010,,
97701,OR,5.76,34560.0,09/03/2010,,
97530,OR,9.9,62500.0,09/07/2010,,
97801,OR,2.88,18301.8,09/13/2010,,
97325,OR,4.928,38496.0,09/16/2010,,
97330,OR,4.338,23603.0,09/20/2010,,
97701,OR,9.72,56376.0,09/22/2010,,
97701,OR,4.995,29970.0,09/22/2010,,
97701,OR,9.18,53244.0,09/29/2010,,
97213,OR,4.05,29970.0,10/18/2010,,
97801,OR,6.37,41132.0,10/18/2010,,
97212,OR,1.72,11000.0,11/04/2010,,
97212,OR,4.8,26160.0,11/12/2010,,
97527,OR,8.64,50976.0,11/13/2010,,
97424,OR,9.945,100000.0,11/16/2010,,
97304,OR,1.92,12980.0,11/16/2010,,
97333,OR,5.52,32363.0,11/23/2010,,
97213,OR,4.62,36867.6,11/30/2010,,
97325,OR,9.64,52555.0,11/30/2010,,
97322,OR,9.945,100000.0,12/01/2010,,
97321,OR,9.945,100000.0,12/01/2010,,
97322,OR,9.945,100000.0,12/01/2010,,
97355,OR,9.64,66162.0,12/02/2010,,
97524,OR,2.3,16169.0,12/03/2010,,
97701,OR,2.775,17205.0,12/03/2010,,
97828,OR,2.94,19110.0,12/09/2010,,
97385,OR,4.14,35314.2,12/13/2010,,
97330,OR,6.075,27000.0,12/13/2010,,
97213,OR,3.15,25137.0,12/13/2010,,
97801,OR,2.88,18301.0,12/16/2010,,
97603,OR,9.22,48892.0,12/16/2010,,
97322,OR,9.399,46622.0,12/17/2010,,
97603,OR,9.22,48892.0,12/17/2010,,
97603,OR,9.22,48892.0,12/21/2010,,
97603,OR,9.22,48892.0,12/21/2010,,
97603,OR,9.22,48892.0,12/21/2010,,
97603,OR,9.22,48892.0,12/21/2010,,
97446,OR,9.945,84000.0,12/21/2010,,
97701,OR,7.4,43550.0,12/21/2010,,
97351,OR,2.24,19246.4,12/22/2010,,
97321,OR,3.9,20000.0,12/23/2010,,
97734,OR,9.435,54723.0,12/28/2010,,
97210,OR,9.6,52320.0,12/29/2010,,
97456,OR,9.945,84000.0,01/03/2011,,
97701,OR,3.33,20646.0,01/05/2011,,
97321,OR,4.9,29000.0,01/06/2011,,
97701,OR,7.35,39000.0,01/13/2011,,
97211,OR,3.78,30164.4,01/13/2011,,
97603,OR,9.22,48892.0,01/18/2011,,
97801,OR,2.4,21415.0,01/26/2011,,
97420,OR,4.625,30100.0,01/31/2011,,
97701,OR,4.725,33452.8,02/01/2011,,
97756,OR,4.07,24827.0,02/01/2011,,
97031,OR,90.7,585144.0,02/09/2011,,
97220,OR,6.37,36309.0,02/11/2011,,
97325,OR,3.92,23716.0,02/16/2011,,
97603,OR,9.9,84150.0,02/17/2011,,
97333,OR,7.23,36422.0,02/21/2011,,
97448,OR,21.42,133147.0,02/25/2011,,
97212,OR,4.2,33516.0,02/28/2011,,
97632,OR,9.22,48892.0,02/28/2011,,
97470,OR,33.88,214595.0,03/01/2011,,
97828,OR,9.6,70000.0,03/02/2011,,
97448,OR,9.945,75000.0,03/07/2011,,
97701,OR,9.99,56943.0,03/08/2011,,
97039,OR,9.87,57406.0,03/09/2011,,
97039,OR,9.87,57406.0,03/09/2011,,
97448,OR,9.945,75000.0,03/11/2011,,
97330,OR,9.87,55720.0,03/17/2011,,
97266,OR,1.72,13725.6,03/21/2011,,
97632,OR,97.65,488250.0,03/24/2011,,
97448,OR,9.945,75000.0,03/25/2011,,
97828,OR,9.6,81000.0,04/04/2011,,
97358,OR,3.78,47720.4,04/12/2011,,
97838,OR,9.9,58025.0,04/13/2011,,
97838,OR,9.9,60000.0,04/13/2011,,
97838,OR,5.4,31860.0,04/13/2011,,
97601,OR,8.0,52557.0,04/22/2011,,
97828,OR,9.8,80836.37,04/29/2011,,
97828,OR,5.98,41684.0,05/04/2011,,
97392,OR,3.92,21184.0,05/06/2011,,
97210,OR,3.0,17700.0,05/09/2011,,
97701,OR,6.11,36400.0,05/18/2011,,
97701,OR,7.2,28000.0,05/19/2011,,
97601,OR,9.4,56400.0,05/20/2011,,
97212,OR,4.23,33755.4,05/20/2011,,
97330,OR,3.78,30164.4,05/24/2011,,
97632,OR,9.22,48892.0,05/24/2011,,
97212,OR,3.76,30004.8,05/26/2011,,
97355,OR,9.995,47655.0,05/31/2011,,
97702,OR,2.1,6000.0,06/01/2011,,
97760,OR,9.9,67320.0,06/08/2011,,
97624,OR,9.4,56425.0,06/08/2011,,
97333,OR,9.75,52950.0,06/09/2011,,
97213,OR,5.98,47720.4,06/10/2011,,
97210,OR,3.92,16350.0,06/20/2011,,
97210,OR,3.36,19075.0,06/20/2011,,
97210,OR,3.36,19075.0,06/20/2011,,
97633,OR,5.64,32800.0,06/21/2011,,
97603,OR,9.84,52152.0,06/25/2011,,
97701,OR,8.64,46250.0,06/27/2011,,
97218,OR,9.89,55000.0,07/05/2011,,
97754,OR,99.96,817300.0,07/06/2011,,
97828,OR,9.9,69300.0,07/06/2011,,
97828,OR,5.4,37800.0,07/06/2011,,
97828,OR,2.7,18900.0,07/06/2011,,
97527,OR,5.17,17321.0,07/07/2011,,
97526,OR,9.68,69992.0,07/07/2011,,
97539,OR,3.15,21864.0,07/07/2011,,
97217,OR,3.68,29366.4,07/07/2011,,
97217,OR,4.6,36708.0,07/07/2011,,
97330,OR,3.45,21700.0,07/08/2011,,
97220,OR,3.055,24378.9,07/13/2011,,
97524,OR,3.96,29604.0,07/14/2011,,
97355,OR,4.995,33037.2,07/19/2011,,
97534,OR,7.59,45975.0,07/19/2011,,
97420,OR,9.9,75000.0,07/20/2011,,
97701,OR,4.99,28971.0,07/21/2011,,
97351,OR,4.6,36708.0,07/22/2011,,
97321,OR,9.8,55906.0,07/27/2011,,
97213,OR,6.3,50274.0,07/29/2011,,
97702,OR,5.92,35936.25,08/03/2011,,
97601,OR,4.05,25283.0,08/08/2011,,
97213,OR,4.14,33037.2,08/08/2011,,
97448,OR,9.9,65000.0,08/08/2011,,
97632,OR,9.22,48892.0,08/16/2011,,
97632,OR,9.22,48892.0,08/16/2011,,
97213,OR,4.6,36708.0,08/17/2011,,
97702,OR,3.78,30164.4,08/19/2011,,
97304,OR,4.7,37506.0,08/22/2011,,
97212,OR,9.66,77086.8,08/26/2011,,
97603,OR,99.36,763249.1,08/30/2011,,
97632,OR,75.6,375000.0,08/31/2011,,
97603,OR,9.225,48892.0,08/31/2011,,
97639,OR,6.9,42000.0,09/06/2011,,
97701,OR,8.0,56160.01,09/06/2011,,
97603,OR,9.84,52152.0,09/06/2011,,
97828,OR,9.8,64887.0,09/08/2011,,
97539,OR,2.88,15678.84,09/09/2011,,
97701,OR,22.572,127000.0,09/13/2011,,
97603,OR,9.9,60885.0,09/14/2011,,
97603,OR,9.9,60885.0,09/14/2011,,
97211,OR,9.87,57000.0,09/15/2011,,
97603,OR,9.9,56325.0,09/16/2011,,
97031,OR,4.23,33755.4,09/21/2011,,
97633,OR,10.0,54500.0,09/26/2011,,
97633,OR,10.0,54500.0,09/26/2011,,
97702,OR,9.9,64350.0,09/30/2011,,
97701,OR,7.92,41500.0,10/04/2011,,
97603,OR,9.9,73449.5,10/05/2011,,
97846,OR,91.8,485000.0,10/06/2011,,
97828,OR,9.9,69369.0,10/06/2011,,
97201,OR,9.87,59892.0,10/07/2011,,
97828,OR,9.9,71050.0,10/07/2011,,
97601,OR,15.84,79800.0,10/11/2011,,
97846,OR,497.5,1960000.0,10/14/2011,,
97828,OR,9.9,62300.0,10/20/2011,,
97603,OR,9.9,80400.0,10/22/2011,,
97623,OR,9.9,72587.0,10/24/2011,,
97633,OR,10.0,54900.0,11/01/2011,,
97603,OR,9.9,70000.0,11/04/2011,,
97630,OR,10.0,72413.23,11/14/2011,,
97630,OR,10.0,72056.81,11/16/2011,,
97639,OR,9.9,79000.0,11/28/2011,,
97639,OR,9.9,79000.0,11/28/2011,,
97040,OR,5.64,48575.0,12/05/2011,,
97041,OR,6.24,28984.0,12/05/2011,,
97333,OR,6.11,48757.8,12/08/2011,,
97624,OR,4.7,32490.0,12/09/2011,,
97828,OR,9.9,73500.0,12/20/2011,,
97426,OR,9.9,65000.0,12/22/2011,,
97426,OR,9.9,65000.0,12/22/2011,,
97317,OR,9.945,49095.0,12/22/2011,,
97402,OR,6.0,,03/04/2009,,
97070,OR,1748.5,10000000.0,01/07/2012,,
97132,OR,12.9,84888.0,04/09/2010,,
97230,OR,200.0,,06/21/2010,,
97846,OR,100.0,,11/02/2011,,
97458,OR,20.93,,09/10/2010,,
97420,OR,15.58,96200.0,04/16/2010,,
97201,OR,37.0,523537.0,09/26/2011,,
97520,OR,20.0,,07/25/2000,,
97401,OR,31.72,,12/01/2008,,
97401,OR,11.0,75000.0,12/01/2008,,
97304,OR,2.8,,12/10/2002,,
97402,OR,12.42,112350.0,05/29/2007,,
97381,OR,17.9,112125.0,07/19/2011,,
97304,OR,59.8,469849.0,10/07/2010,,
97371,OR,83.0,529857.0,01/29/2009,,
97338,OR,10.368,82343.0,03/18/2008,,
97124,OR,33.6,240106.0,09/25/2009,,
97830,OR,1.05,,07/24/2009,,
97213,OR,250.0,,10/26/2010,,
97317,OR,73.3,,10/26/2010,,
97701,OR,5.64,,08/16/2011,,
97119,OR,3.6,32400.0,07/22/2008,,
97114,OR,94.5,794745.0,08/15/2008,,
97229,OR,100.1,787586.0,12/15/2008,,
97119,OR,38.8,286824.0,08/18/2008,,
97739,OR,50.4,,03/19/2010,,
97344,OR,1.0,,08/27/2010,,
97215,OR,16.2,132162.0,01/03/2009,,
97101,OR,17.3,110238.0,06/25/2008,,
97219,OR,23.76,148300.0,05/05/2010,,
97086,OR,10.56,67795.0,08/03/2010,,
97436,OR,7.41,59329.0,12/29/2008,,
97140,OR,63.0,589050.0,10/07/2008,,
97210,OR,100.0,812166.0,12/16/2008,,
97401,OR,28.35,242043.0,01/19/2011,,
97408,OR,25.2,,02/10/2010,,
97401,OR,200.2,1538375.0,07/30/2008,,
97301,OR,8.4,,04/22/2002,,
97051,OR,1.1,9372.0,10/01/2007,,
97027,OR,1.1,8043.0,01/01/2009,,
97230,OR,419.0,1645681.0,02/09/2010,,
97402,OR,450.45,3176040.0,06/11/2007,,
97504,OR,21.3,179128.0,09/20/2007,,
97301,OR,113.96,650000.0,09/26/2003,,
97365,OR,1.02,8349.0,06/21/2007,,
97403,OR,28.08,223475.0,11/27/2008,,
97601,OR,4.41,,01/17/2011,,
97601,OR,19.9,,07/10/2009,,
97627,OR,5.4,,12/17/2009,,
97601,OR,20.24,,12/10/2010,,
97206,OR,27.2,151169.0,07/20/2009,,
97206,OR,51.0,273121.0,07/20/2009,,
97206,OR,16.32,87399.0,07/20/2009,,
97218,OR,143.616,769111.0,07/20/2009,,
97206,OR,115.192,626748.0,07/20/2009,,
97601,OR,2.52,19968.0,04/22/2008,,
97471,OR,19.6,97073.0,11/29/2010,,
97401,OR,32.75,272800.0,08/18/2010,,
97601,OR,22.68,157875.0,12/15/2009,,
97601,OR,10.395,81674.0,11/25/2009,,
97301,OR,149.5,820000.0,01/08/2010,,
97230,OR,858.36,6500000.0,09/04/2008,,
97351,OR,75.68,,03/25/2010,,
97477,OR,138.0,1043700.0,12/01/2008,,
97062,OR,103.95,,12/19/2008,,
97477,OR,78.26,593738.0,12/01/2008,,
97402,OR,63.504,496006.0,12/01/2008,,
97504,OR,20.0,153082.0,04/20/2010,,
97213,OR,53.856,288416.0,07/20/2009,,
97405,OR,252.0,2067900.0,12/10/2007,,
97526,OR,29.0,,10/14/2005,,
97206,OR,70.312,376545.0,07/16/2009,,
97266,OR,119.68,640927.0,07/20/2009,,
97202,OR,1.36,,07/21/2009,,
97219,OR,156.576,847152.0,07/20/2009,,
97045,OR,65.0,350000.0,08/24/2011,,
97031,OR,28.8,178200.0,12/23/2009,,
97530,OR,6.4,,06/15/2010,,
97530,OR,4.4,,05/09/2011,,
97750,OR,5.0,,02/07/2011,,
97216,OR,92.4,500000.0,02/11/2011,,
97741,OR,18.7,,09/20/2010,,
97070,OR,9.9,,02/15/2011,,
97330,OR,2.3,20000.0,05/14/2010,,
97002,OR,500.08,2000000,07/08/2011,,
97024,OR,0.5,2000.0,04/15/2010,,
97801,OR,2.4,15024.0,03/16/2011,,
97801,OR,2.45,14337.0,12/09/2010,,
97801,OR,2.4,15024.0,09/20/2010,,
97801,OR,2.115,13239.9,08/11/2010,,
97801,OR,1.0,,08/11/2010,,
97801,OR,2.07,12958.2,06/07/2010,,
97801,OR,1.2,7512.0,10/04/2010,,
97801,OR,2.07,12958.2,09/01/2010,,
97801,OR,2.4,15024.0,08/26/2010,,
97801,OR,2.64,16256.4,07/23/2010,,
97801,OR,2.88,18028.8,10/13/2010,,
97801,OR,2.16,13521.6,11/05/2010,,
97801,OR,2.88,18028.8,08/03/2010,,
97801,OR,2.3,14398.0,07/23/2010,,
97801,OR,2.4,15024.0,11/12/2010,,
97801,OR,2.07,12958.2,09/01/2010,,
97801,OR,2.35,14711.0,07/01/2010,,
97801,OR,4.32,27043.2,11/15/2010,,
97801,OR,1.88,11768.8,09/24/2010,,
97801,OR,4.14,25916.4,08/19/2010,,
97801,OR,2.4,15024.0,08/26/2010,,
97801,OR,2.07,12958.2,10/13/2010,,
97801,OR,2.07,12958.2,07/23/2010,,
97801,OR,2.76,17277.6,07/28/2010,,
97801,OR,2.76,17277.6,10/07/2010,,
97801,OR,2.4,15024.0,10/04/2010,,
97801,OR,2.82,17653.2,08/11/2010,,
97801,OR,2.88,18028.8,08/04/2010,,
97801,OR,2.4,15024.0,10/04/2010,,
97801,OR,1.92,12019.2,11/12/2010,,
97801,OR,2.88,18028.8,07/23/2010,,
97801,OR,2.3,14398.0,11/15/2010,,
97801,OR,2.25,14085.0,06/07/2010,,
97801,OR,2.4,15024.0,07/23/2010,,
