Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=PA
17011,PA,1.08,12200.0,11/05/2010,,
19382,PA,64.155,355403.16,11/05/2010,,
18944,PA,10.08,73200.0,11/05/2010,,
19138,PA,6.72,45905.0,11/05/2010,,
19018,PA,3.68,22623.0,11/05/2010,,
19147,PA,4.2,31721.0,11/05/2010,,
19143,PA,3.136,21664.0,11/05/2010,,
19426,PA,8.28,49266.0,11/05/2010,,
19355,PA,5.98,37600.0,11/05/2010,,
19355,PA,7.05,45120.0,11/05/2010,,
17406,PA,8.6,45540.0,11/05/2010,,
17406,PA,2.52,16380.0,11/05/2010,,
19506,PA,7.68,47350.0,11/05/2010,,
18334,PA,5.67,35621.0,11/05/2010,,
17815,PA,4.2,33120.0,11/07/2010,,
18302,PA,10.35,57272.0,11/08/2010,,
17112,PA,6.3,36400.0,11/08/2010,,
17527,PA,12.544,59565.32,11/08/2010,,
17744,PA,10.08,54608.0,11/08/2010,,
16037,PA,8.97,49335.0,11/08/2010,,
19363,PA,99.84,459000.0,11/08/2010,,
19604,PA,4.4,38720.76,11/08/2010,,
17402,PA,6.58,42360.0,11/08/2010,,
19010,PA,1008.0,6000000.0,12/30/2009,,
18334,PA,2997.0,16000000.0,08/25/2010,,
17582,PA,4.41,32634.0,04/22/2010,,
17015,PA,4.62,30166.19,04/22/2010,,
17022,PA,113.4,576000.0,04/22/2010,,
17408,PA,5.67,40030.2,04/22/2010,,
17404,PA,5.46,36223.86,04/22/2010,,
15143,PA,2.52,20425.3,04/22/2010,,
18040,PA,7.425,51403.0,04/22/2010,,
17579,PA,5.04,39960.0,04/23/2010,,
18036,PA,9.6,77760.0,04/23/2010,,
17022,PA,7.8,44460.0,04/23/2010,,
19382,PA,9.6,87975.64,04/23/2010,,
17319,PA,20.16,146500.0,04/23/2010,,
17304,PA,6.15,46995.0,04/23/2010,,
17856,PA,1.344,7335.0,04/24/2010,,
18066,PA,10.32,72820.0,04/25/2010,,
18343,PA,5.16,46598.0,04/25/2010,,
18052,PA,4.5,31425.0,04/25/2010,,
17015,PA,5.98,34863.4,04/25/2010,,
18052,PA,5.16,36120.0,04/25/2010,,
18657,PA,10.12,77802.7,04/26/2010,,
17901,PA,1.4,11520.0,04/26/2010,,
18250,PA,4.6,35880.0,04/26/2010,,
18235,PA,6.58,47864.06,04/26/2010,,
17870,PA,6.15,41000.0,04/26/2010,,
17602,PA,3.2,22500.0,04/26/2010,,
19075,PA,1.36,12299.0,04/26/2010,,
19348,PA,3.375,24300.0,04/26/2010,,
19425,PA,9.87,70800.0,04/26/2010,,
19010,PA,6.3,60654.31,04/26/2010,,
17201,PA,1.988,18400.0,04/26/2010,,
17602,PA,5.88,36825.23,04/27/2010,,
17551,PA,7.26,43800.0,04/27/2010,,
19335,PA,7.26,37495.0,04/27/2010,,
17777,PA,4.2,32760.0,04/27/2010,,
19540,PA,10.32,54295.0,04/27/2010,,
17059,PA,18.0,121212.0,04/28/2010,,
17074,PA,5.52,40708.74,04/28/2010,,
18103,PA,10.25,73995.0,04/28/2010,,
17070,PA,10.12,72760.0,04/28/2010,,
19311,PA,3.42,30770.0,04/28/2010,,
19422,PA,3.76,33650.0,04/28/2010,,
17003,PA,3.5,26080.32,04/28/2010,,
17363,PA,10.32,72240.0,04/28/2010,,
17350,PA,5.6,43544.24,04/28/2010,,
17057,PA,4.2,26290.0,04/28/2010,,
17202,PA,2.07,24418.0,04/28/2010,,
17509,PA,9.856,56140.0,04/29/2010,,
18069,PA,5.92,41864.0,04/29/2010,,
18067,PA,3.78,29870.0,04/29/2010,,
17509,PA,12.544,81510.0,04/29/2010,,
19344,PA,3.36,34440.0,04/29/2010,,
18976,PA,54.99,321692.0,04/29/2010,,
19145,PA,36.0,246005.0,04/29/2010,,
19373,PA,4.14,26910.64,04/29/2010,,
17055,PA,9.72,63763.2,04/29/2010,,
17402,PA,4.14,31852.0,04/29/2010,,
17584,PA,6.3,40700.0,04/30/2010,,
19330,PA,4.48,33605.0,04/30/2010,,
17403,PA,10.08,66896.96,04/30/2010,,
18914,PA,5.98,47800.0,05/01/2010,,
19440,PA,4.4,34188.0,05/03/2010,,
17846,PA,2.05,14995.0,05/03/2010,,
17938,PA,4.86,30375.0,05/03/2010,,
19440,PA,4.8,37248.0,05/03/2010,,
19154,PA,119.392,625614.0,05/03/2010,,
19143,PA,81.0,481500.0,05/03/2010,,
19143,PA,7.0,50853.0,05/03/2010,,
19125,PA,7.0,47365.0,05/03/2010,,
19341,PA,112.86,678729.0,05/03/2010,,
19446,PA,5.6,45960.0,05/03/2010,,
19446,PA,4.8,37248.0,05/03/2010,,
19130,PA,4.0,34192.0,05/03/2010,,
18901,PA,122.36,710000.0,05/03/2010,,
19147,PA,3.24,24401.0,05/03/2010,,
19425,PA,3.6,28224.0,05/03/2010,,
19047,PA,4.86,34700.0,05/03/2010,,
19438,PA,6.0,45960.0,05/03/2010,,
19446,PA,6.0,45960.0,05/03/2010,,
18073,PA,10.12,66988.0,05/03/2010,,
19454,PA,6.0,45960.0,05/03/2010,,
19560,PA,10.12,58000.0,05/03/2010,,
18655,PA,10.12,69224.0,05/04/2010,,
17033,PA,5.46,34724.21,05/04/2010,,
18103,PA,11.18,74575.0,05/04/2010,,
19342,PA,6.075,48600.0,05/04/2010,,
19061,PA,5.06,41003.12,05/04/2010,,
19464,PA,10.56,53412.62,05/04/2010,,
16868,PA,5.94,45144.0,05/04/2010,,
17578,PA,7.56,48700.0,05/05/2010,,
17552,PA,9.87,69325.0,05/05/2010,,
17837,PA,4.84,41499.0,05/05/2010,,
17801,PA,12.3,70000.0,05/05/2010,,
17501,PA,5.88,43821.76,05/05/2010,,
17339,PA,4.4,28265.68,05/05/2010,,
19380,PA,3.456,28866.0,05/05/2010,,
19061,PA,3.68,30830.0,05/05/2010,,
19317,PA,10.12,73193.0,05/05/2010,,
19350,PA,5.06,40642.0,05/05/2010,,
18932,PA,13.2,79200.0,05/05/2010,,
18840,PA,6.21,49400.0,05/05/2010,,
18324,PA,3.3,30460.0,05/05/2010,,
17360,PA,3.15,23672.6,05/05/2010,,
17078,PA,9.45,61124.0,05/05/2010,,
15851,PA,10.32,70000.0,05/05/2010,,
18017,PA,2.16,24000.0,05/06/2010,,
18058,PA,4.07,36000.0,05/06/2010,,
18102,PA,6.355,44995.0,05/06/2010,,
19363,PA,8.19,59673.0,05/06/2010,,
19320,PA,2.115,16001.32,05/06/2010,,
19446,PA,7.05,46250.0,05/06/2010,,
17327,PA,1.08,8597.76,05/06/2010,,
17512,PA,205.38,1049680.0,05/07/2010,,
17566,PA,3.15,21679.69,05/07/2010,,
19078,PA,3.52,24650.0,05/07/2010,,
19539,PA,2.76,22638.67,05/07/2010,,
19567,PA,10.08,74115.38,05/08/2010,,
17603,PA,7.56,48600.0,05/10/2010,,
19096,PA,2.76,25200.0,05/10/2010,,
19143,PA,3.69,31952.0,05/10/2010,,
17302,PA,3.15,25381.0,05/10/2010,,
19352,PA,5.04,36984.0,05/10/2010,,
19067,PA,5.04,36984.0,05/10/2010,,
19526,PA,10.12,63501.0,05/10/2010,,
19504,PA,9.72,77760.0,05/10/2010,,
17315,PA,10.12,75530.0,05/10/2010,,
17321,PA,6.3,51280.96,05/10/2010,,
17046,PA,12.81,94276.96,05/11/2010,,
17043,PA,26.4,179960.0,05/11/2010,,
19344,PA,5.52,42323.62,05/11/2010,,
17560,PA,8.19,52400.0,05/11/2010,,
19002,PA,10.35,72450.0,05/11/2010,,
18013,PA,10.125,70875.0,05/11/2010,,
18040,PA,5.16,37500.0,05/11/2010,,
17747,PA,8.4,54180.0,05/12/2010,,
17015,PA,45.08,264600.0,05/12/2010,,
17601,PA,6.3,40700.0,05/12/2010,,
18080,PA,8.61,63302.0,05/12/2010,,
17701,PA,3.36,21840.0,05/12/2010,,
19363,PA,27.72,184400.0,05/12/2010,,
19067,PA,4.8,32970.0,05/12/2010,,
19350,PA,10.12,66590.0,05/12/2010,,
19464,PA,7.56,41088.91,05/12/2010,,
19320,PA,14.4,100000.04,05/12/2010,,
15376,PA,12.0,68000.0,05/12/2010,,
18080,PA,2.58,19935.0,05/12/2010,,
17972,PA,8.4,61268.0,05/13/2010,,
17517,PA,4.55,29408.0,05/13/2010,,
18088,PA,4.7,31725.0,05/13/2010,,
18011,PA,5.52,35464.0,05/13/2010,,
19426,PA,3.5,26015.0,05/13/2010,,
19512,PA,3.68,29390.0,05/13/2010,,
18052,PA,10.12,66000.0,05/13/2010,,
18708,PA,29.7,240000.0,05/14/2010,,
18901,PA,10.32,107279.0,05/14/2010,,
19403,PA,4.6,27600.0,05/14/2010,,
17015,PA,9.93,66660.0,05/14/2010,,
17252,PA,10.12,62946.0,05/14/2010,,
17889,PA,9.9,63162.0,05/15/2010,,
18032,PA,3.15,20475.0,05/16/2010,,
16428,PA,4.0,28000.0,05/16/2010,,
16506,PA,6.8,46920.0,05/16/2010,,
18707,PA,8.97,63649.8,05/17/2010,,
17821,PA,9.24,62027.18,05/17/2010,,
18431,PA,10.8,63181.0,05/17/2010,,
17522,PA,3.78,26002.56,05/17/2010,,
17815,PA,4.83,32561.93,05/17/2010,,
19426,PA,6.0,35300.0,05/17/2010,,
16841,PA,4.032,49500.0,05/17/2010,,
16865,PA,9.9,69585.15,05/17/2010,,
15241,PA,2.3,9105.0,05/17/2010,,
18708,PA,5.67,45360.0,05/18/2010,,
18944,PA,10.752,69250.0,05/18/2010,,
18969,PA,18.33,120978.0,05/18/2010,,
18104,PA,4.92,35995.0,05/18/2010,,
17922,PA,3.28,21730.0,05/18/2010,,
18444,PA,9.9,68020.0,05/18/2010,,
18966,PA,5.4,39150.0,05/18/2010,,
18938,PA,20.7,144900.0,05/18/2010,,
19530,PA,7.56,52920.0,05/18/2010,,
18302,PA,5.4,40068.0,05/19/2010,,
17938,PA,6.56,45050.0,05/19/2010,,
19096,PA,6.9,60878.96,05/19/2010,,
18966,PA,4.8,32800.0,05/19/2010,,
19490,PA,9.52,66518.0,05/19/2010,,
19440,PA,4.14,27194.0,05/19/2010,,
18013,PA,3.44,39218.65,05/19/2010,,
17329,PA,7.59,57496.96,05/19/2010,,
15905,PA,10.32,83000.0,05/19/2010,,
18505,PA,5.06,36432.0,05/19/2010,,
17011,PA,4.2,33990.0,05/19/2010,,
15767,PA,5.52,45250.0,05/19/2010,,
17821,PA,10.56,71805.92,05/20/2010,,
17527,PA,4.23,26400.0,05/20/2010,,
17584,PA,5.46,39781.36,05/20/2010,,
19608,PA,8.1,50075.0,05/20/2010,,
18846,PA,4.032,26200.0,05/20/2010,,
16412,PA,6.8,48280.0,05/20/2010,,
19547,PA,24.192,145152.0,05/20/2010,,
17837,PA,6.6,42919.0,05/20/2010,,
17701,PA,4.0,20854.0,05/21/2010,,
19343,PA,10.0,71097.0,05/21/2010,,
19027,PA,3.36,27000.0,05/21/2010,,
18954,PA,4.14,31725.0,05/21/2010,,
17042,PA,9.0,62550.0,05/21/2010,,
15601,PA,10.12,64961.0,05/21/2010,,
17202,PA,11.04,49750.0,05/21/2010,,
17972,PA,3.136,20925.0,05/22/2010,,
18250,PA,1.84,12150.0,05/22/2010,,
17257,PA,4.32,27922.0,05/22/2010,,
18958,PA,7.92,41099.85,05/24/2010,,
19440,PA,7.36,48398.0,05/24/2010,,
19063,PA,18.8,112048.0,05/24/2010,,
19446,PA,7.2,61572.0,05/24/2010,,
19426,PA,9.84,70368.08,05/24/2010,,
18103,PA,1.8,15981.08,05/25/2010,,
18457,PA,6.75,40844.0,05/25/2010,,
17555,PA,8.82,60917.0,05/25/2010,,
17543,PA,100.8,529200.0,05/25/2010,,
18103,PA,5.59,27066.0,05/25/2010,,
17856,PA,10.0,63918.0,05/25/2010,,
19403,PA,5.4,37800.0,05/25/2010,,
19030,PA,4.51,33466.0,05/25/2010,,
19344,PA,30.0,187258.14,05/25/2010,,
19096,PA,2.52,22680.0,05/25/2010,,
19127,PA,5.04,37800.0,05/25/2010,,
19438,PA,5.67,41107.0,05/25/2010,,
19343,PA,7.04,38720.0,05/25/2010,,
19465,PA,6.56,41480.0,05/25/2010,,
19506,PA,4.14,32100.0,05/25/2010,,
16335,PA,3.6,30350.2,05/25/2010,,
16866,PA,8.28,62000.0,05/25/2010,,
18444,PA,9.8,64130.0,05/25/2010,,
17013,PA,10.08,80290.0,05/26/2010,,
17866,PA,3.52,23792.0,05/26/2010,,
19438,PA,9.72,70470.0,05/26/2010,,
19390,PA,244.4,1295320.0,05/26/2010,,
19460,PA,7.36,45073.0,05/26/2010,,
19147,PA,4.41,39000.0,05/26/2010,,
18940,PA,2.07,17595.0,05/26/2010,,
15005,PA,10.12,61269.0,05/26/2010,,
17201,PA,8.4,67443.6,05/26/2010,,
17579,PA,7.56,52700.0,05/27/2010,,
17545,PA,10.56,65000.0,05/27/2010,,
19343,PA,11.48,89900.0,05/27/2010,,
19464,PA,5.4,37800.0,05/27/2010,,
19518,PA,120.96,664700.0,05/27/2010,,
17327,PA,4.2,27300.0,05/27/2010,,
19506,PA,5.06,36376.0,05/28/2010,,
18951,PA,13.76,127370.0,05/28/2010,,
17517,PA,7.56,53350.0,05/28/2010,,
17964,PA,6.3,41465.0,05/28/2010,,
18017,PA,10.15,60393.0,05/28/2010,,
17551,PA,8.064,47495.0,05/28/2010,,
17519,PA,21.504,101069.0,05/28/2010,,
17519,PA,10.752,62000.0,05/28/2010,,
19438,PA,6.3,33992.01,05/28/2010,,
17362,PA,10.12,74780.0,05/28/2010,,
19540,PA,4.6,39500.0,05/29/2010,,
16510,PA,4.8,32640.0,05/29/2010,,
19390,PA,5.805,40305.0,05/30/2010,,
15216,PA,3.87,21721.37,05/31/2010,,
17519,PA,22.68,140000.0,06/01/2010,,
18472,PA,8.2,57495.0,06/01/2010,,
18252,PA,8.2,59895.0,06/01/2010,,
18640,PA,2.87,19995.0,06/01/2010,,
17062,PA,6.65,43225.0,06/01/2010,,
17112,PA,11.34,74600.0,06/01/2010,,
18252,PA,10.44,60393.0,06/01/2010,,
19085,PA,7.2,56287.84,06/01/2010,,
19343,PA,6.6,36300.0,06/01/2010,,
19512,PA,3.15,23308.0,06/01/2010,,
17522,PA,10.08,74115.38,06/02/2010,,
18066,PA,3.51,23000.0,06/02/2010,,
17339,PA,3.15,21400.0,06/02/2010,,
17050,PA,4.6,34086.0,06/02/2010,,
17552,PA,9.1,55895.0,06/02/2010,,
17866,PA,3.52,23792.0,06/02/2010,,
17601,PA,5.06,36880.0,06/02/2010,,
19373,PA,4.14,26910.0,06/02/2010,,
17860,PA,9.856,66420.0,06/03/2010,,
17543,PA,3.78,26106.16,06/03/2010,,
18078,PA,8.97,49290.0,06/03/2010,,
19390,PA,2.31,17611.0,06/03/2010,,
19382,PA,6.4,52375.0,06/03/2010,,
19311,PA,6.435,46800.0,06/03/2010,,
17327,PA,8.4,56616.0,06/03/2010,,
15005,PA,3.68,24350.0,06/03/2010,,
17013,PA,4.83,32254.74,06/03/2010,,
17522,PA,11.28,64300.0,06/04/2010,,
18017,PA,8.4,53320.0,06/04/2010,,
18040,PA,8.74,65550.0,06/04/2010,,
19355,PA,6.4,43190.0,06/04/2010,,
19428,PA,7.0,43750.0,06/04/2010,,
18069,PA,4.6,31050.0,06/05/2010,,
18424,PA,10.08,80000.0,06/06/2010,,
17601,PA,10.08,60556.91,06/07/2010,,
17522,PA,74.52,386370.0,06/07/2010,,
17313,PA,7.56,49140.0,06/07/2010,,
19506,PA,5.04,43251.0,06/07/2010,,
15203,PA,8.064,47069.0,06/07/2010,,
17019,PA,10.08,79885.0,06/07/2010,,
17824,PA,4.14,26550.0,06/08/2010,,
18054,PA,6.15,46705.0,06/08/2010,,
19380,PA,9.45,70900.0,06/08/2010,,
17363,PA,6.9,56854.64,06/08/2010,,
17365,PA,5.52,40780.0,06/08/2010,,
18036,PA,3.055,22500.0,06/09/2010,,
18428,PA,3.15,18903.0,06/09/2010,,
19067,PA,5.4,37800.0,06/09/2010,,
19063,PA,6.9,50279.0,06/09/2010,,
19124,PA,4.14,34177.0,06/09/2010,,
19465,PA,6.8,51354.4,06/09/2010,,
18054,PA,6.6,58694.84,06/09/2010,,
19462,PA,4.29,36616.8,06/09/2010,,
19002,PA,7.56,53146.8,06/09/2010,,
18914,PA,11.0,69010.0,06/09/2010,,
18842,PA,7.36,58650.0,06/09/2010,,
19512,PA,9.8,50155.0,06/09/2010,,
19525,PA,13.2,89496.0,06/09/2010,,
19541,PA,11.0,71500.0,06/09/2010,,
18066,PA,10.045,68999.0,06/09/2010,,
17562,PA,82.72,360000.0,06/10/2010,,
17601,PA,5.88,42205.9,06/10/2010,,
17543,PA,6.72,45675.4,06/10/2010,,
17751,PA,4.92,30950.0,06/10/2010,,
17557,PA,6.272,44517.0,06/10/2010,,
17535,PA,95.41,487873.0,06/10/2010,,
18414,PA,7.0,46417.0,06/10/2010,,
18901,PA,5.4,41850.0,06/10/2010,,
18902,PA,101.52,653212.72,06/10/2010,,
19438,PA,10.08,72576.0,06/10/2010,,
19530,PA,5.4,39150.0,06/10/2010,,
16801,PA,5.52,42787.17,06/10/2010,,
19320,PA,10.08,113410.0,06/11/2010,,
18947,PA,10.12,71840.0,06/11/2010,,
19465,PA,6.975,44990.0,06/11/2010,,
19468,PA,6.72,50123.0,06/11/2010,,
19031,PA,5.4,42693.0,06/11/2010,,
19605,PA,144.44,837692.0,06/11/2010,,
19508,PA,5.4,34910.0,06/11/2010,,
16652,PA,2.16,14833.0,06/11/2010,,
19350,PA,10.08,75096.0,06/12/2010,,
19075,PA,2.15,17175.0,06/12/2010,,
18041,PA,15.12,102060.0,06/14/2010,,
18360,PA,4.7,39500.0,06/14/2010,,
19540,PA,5.67,32280.0,06/14/2010,,
19014,PA,10.2,76674.24,06/14/2010,,
19123,PA,3.6,24590.0,06/14/2010,,
19072,PA,3.15,23700.0,06/14/2010,,
19403,PA,9.89,81600.0,06/14/2010,,
19320,PA,5.04,40071.76,06/14/2010,,
18013,PA,10.0,69000.0,06/14/2010,,
16803,PA,7.08,45780.52,06/14/2010,,
17225,PA,2.15,11000.0,06/14/2010,,
18414,PA,31.46,223257.0,06/15/2010,,
17536,PA,7.82,56304.0,06/15/2010,,
17602,PA,7.56,48700.0,06/15/2010,,
18040,PA,8.74,65500.0,06/15/2010,,
17582,PA,23.0,124660.0,06/15/2010,,
18929,PA,6.3,49455.0,06/15/2010,,
19006,PA,9.4,60450.0,06/15/2010,,
19348,PA,5.76,39560.0,06/15/2010,,
19426,PA,5.984,45455.0,06/15/2010,,
19438,PA,5.4,38610.0,06/15/2010,,
17313,PA,9.43,77028.75,06/15/2010,,
18091,PA,3.584,25780.0,06/15/2010,,
17322,PA,9.66,57960.0,06/15/2010,,
17015,PA,10.8,64300.0,06/15/2010,,
19606,PA,5.04,37820.0,06/15/2010,,
18833,PA,2.8,26350.0,06/15/2010,,
15024,PA,8.4,64323.0,06/15/2010,,
17202,PA,10.12,48500.0,06/15/2010,,
17225,PA,6.3,38274.9,06/15/2010,,
17584,PA,5.04,32400.0,06/16/2010,,
17501,PA,9.66,59719.0,06/16/2010,,
18960,PA,7.56,54028.0,06/16/2010,,
19406,PA,7.98,51400.0,06/16/2010,,
17241,PA,2.0,15000.0,06/16/2010,,
17322,PA,10.81,58806.4,06/16/2010,,
17349,PA,8.97,51936.3,06/16/2010,,
17545,PA,7.6,38120.0,06/17/2010,,
17764,PA,6.3,41812.5,06/17/2010,,
19343,PA,10.0,70590.0,06/17/2010,,
19330,PA,10.34,67480.0,06/17/2010,,
19426,PA,5.17,36448.25,06/17/2010,,
17365,PA,10.08,79885.0,06/17/2010,,
18020,PA,7.2,48600.0,06/18/2010,,
17022,PA,10.08,72310.73,06/18/2010,,
17032,PA,4.6,30975.36,06/18/2010,,
17201,PA,9.72,59222.0,06/18/2010,,
17821,PA,10.0,63812.0,06/19/2010,,
17015,PA,10.0,62010.0,06/19/2010,,
15229,PA,3.87,30400.0,06/19/2010,,
18058,PA,9.856,67574.0,06/20/2010,,
17517,PA,34.4,215280.0,06/21/2010,,
17961,PA,9.84,63468.4,06/21/2010,,
17505,PA,5.52,36266.4,06/21/2010,,
17013,PA,15.18,98670.0,06/21/2010,,
19344,PA,7.095,67452.0,06/21/2010,,
19382,PA,7.525,62457.5,06/21/2010,,
19380,PA,6.765,41267.0,06/21/2010,,
19350,PA,10.08,74902.0,06/21/2010,,
17033,PA,4.5,35100.0,06/21/2010,,
17325,PA,7.59,57393.36,06/21/2010,,
17046,PA,6.9,48645.0,06/21/2010,,
19541,PA,11.25,59800.0,06/21/2010,,
15243,PA,2.07,13947.0,06/21/2010,,
17257,PA,3.68,27080.0,06/22/2010,,
17040,PA,9.66,66654.0,06/22/2010,,
17562,PA,5.46,41223.0,06/22/2010,,
19013,PA,195.52,987376.0,06/22/2010,,
18938,PA,11.28,67200.0,06/22/2010,,
17527,PA,8.97,53334.0,06/23/2010,,
18067,PA,6.75,50980.0,06/23/2010,,
17847,PA,20.24,116680.0,06/23/2010,,
19440,PA,7.8,57174.0,06/23/2010,,
18944,PA,5.64,43176.0,06/23/2010,,
18052,PA,4.2,33860.0,06/23/2010,,
19551,PA,5.76,36260.0,06/23/2010,,
17532,PA,7.82,48955.0,06/23/2010,,
19426,PA,14.19,107134.5,06/23/2010,,
19312,PA,15.6,102578.0,06/23/2010,,
19382,PA,1.075,8922.5,06/23/2010,,
18938,PA,10.08,64750.0,06/23/2010,,
19020,PA,4.68,39900.0,06/23/2010,,
19460,PA,5.76,38390.0,06/23/2010,,
19380,PA,5.28,32420.0,06/23/2010,,
17257,PA,7.99,50550.0,06/23/2010,,
19605,PA,299.92,1705188.0,06/23/2010,,
19522,PA,46.92,269790.0,06/23/2010,,
17562,PA,3.22,23506.0,06/24/2010,,
17013,PA,3.85,14441.0,06/24/2010,,
17702,PA,4.1,28719.0,06/24/2010,,
19406,PA,10.08,70560.0,06/24/2010,,
19335,PA,7.36,51152.0,06/24/2010,,
16926,PA,4.92,34495.0,06/24/2010,,
19530,PA,3.68,26132.06,06/24/2010,,
17547,PA,3.6,29927.0,06/25/2010,,
17728,PA,7.36,41220.0,06/25/2010,,
18249,PA,6.97,48995.0,06/25/2010,,
17772,PA,211.2,1089202.05,06/28/2010,,
17049,PA,2.52,21420.0,06/28/2010,,
17601,PA,5.46,38649.72,06/28/2010,,
17049,PA,10.08,66416.96,06/28/2010,,
17074,PA,2.1,15822.03,06/28/2010,,
17972,PA,7.56,70115.0,06/28/2010,,
18405,PA,7.65,44544.0,06/28/2010,,
18088,PA,9.975,61851.25,06/28/2010,,
17552,PA,7.56,47900.0,06/28/2010,,
17314,PA,7.56,52012.8,06/28/2010,,
19152,PA,2.99,19883.5,06/28/2010,,
19010,PA,5.16,45150.0,06/28/2010,,
19355,PA,6.45,56437.5,06/28/2010,,
19348,PA,101.885,601500.0,06/28/2010,,
17372,PA,5.88,38237.91,06/28/2010,,
19602,PA,6.3,49992.0,06/28/2010,,
17313,PA,7.36,54380.0,06/28/2010,,
17552,PA,10.08,79047.0,06/28/2010,,
17529,PA,94.08,473222.4,06/28/2010,,
17512,PA,5.71,45590.0,06/29/2010,,
18706,PA,9.72,80000.0,06/29/2010,,
17602,PA,8.064,52416.0,06/29/2010,,
18517,PA,4.2,27888.0,06/29/2010,,
17112,PA,9.54,54258.0,06/29/2010,,
19335,PA,4.32,30140.0,06/29/2010,,
19002,PA,5.88,41440.0,06/29/2010,,
19002,PA,6.345,43146.0,06/29/2010,,
19426,PA,2.275,12956.0,06/29/2010,,
19533,PA,32.8,241356.38,06/29/2010,,
19529,PA,10.12,63501.0,06/29/2010,,
17403,PA,9.66,69880.0,06/29/2010,,
18074,PA,7.128,43700.0,06/29/2010,,
15650,PA,9.72,70024.0,06/29/2010,,
17110,PA,9.975,59500.0,06/30/2010,,
17578,PA,10.08,61000.0,06/30/2010,,
17543,PA,9.856,54000.0,06/30/2010,,
17112,PA,5.4,34388.0,06/30/2010,,
17963,PA,8.82,51940.0,06/30/2010,,
18444,PA,7.79,53303.0,06/30/2010,,
19424,PA,4.14,27572.0,06/30/2010,,
18976,PA,5.17,35500.0,06/30/2010,,
19348,PA,10.105,67198.0,06/30/2010,,
