Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=UT
84058,UT,2.88,21671.87,11/15/2010,,
84105,UT,1.35,9965.0,11/15/2010,,
84103,UT,4.3,28680.0,11/15/2010,,
84115,UT,3.96,38500.0,11/16/2010,,
84060,UT,2.58,22839.0,11/19/2010,,
84097,UT,4.6,30086.24,11/22/2010,,
84525,UT,0.555,5342.21,12/01/2010,,
84103,UT,9.0,7579.92,12/01/2010,,
84095,UT,1.84,14500.0,12/01/2010,,
84606,UT,4.14,31001.67,12/01/2010,,
84738,UT,8.0,47482.16,12/01/2010,,
84093,UT,4.05,24022.9,12/01/2010,,
84060,UT,7.2,56773.95,12/11/2010,,
84067,UT,4.5,34252.0,12/14/2010,,
84010,UT,2.25,13983.15,12/15/2010,,
84341,UT,2.82,17105.0,12/15/2010,,
84103,UT,4.37,25900.0,12/15/2010,,
84738,UT,8.28,50160.33,12/16/2010,,
84062,UT,4.86,27695.0,12/18/2010,,
84341,UT,2.76,20925.0,12/20/2010,,
84067,UT,3.87,20736.0,12/20/2010,,
84070,UT,7.925,69000.0,12/21/2010,,
84109,UT,3.15,18018.8,12/21/2010,,
84761,UT,2.76,15207.58,12/21/2010,,
84070,UT,2.052,16344.0,12/22/2010,,
84123,UT,21.0,207900.0,12/27/2010,,
84003,UT,5.06,35046.0,12/27/2010,,
84108,UT,4.05,23848.0,12/28/2010,,
84037,UT,4.5,16248.65,12/28/2010,,
84790,UT,3.76,20680.0,12/30/2010,,
84302,UT,4.6,25690.1,02/09/2011,,
84101,UT,20.0,200000.0,09/12/2006,,
84101,UT,9.66,58000.0,02/10/2011,,
84109,UT,23.0,112000.0,09/27/2010,,
84767,UT,7.2,,05/12/2000,,
84763,UT,85.0,,09/24/2010,,
84767,UT,2.0,,11/27/2009,,
84767,UT,2.0,,11/27/2009,,
84319,UT,42.3,264000.0,11/10/2010,,
84321,UT,2.07,15000.0,07/27/2010,,
84117,UT,4.100544,16170.52,01/03/2012,,
84405,UT,2.33016,15154.0,05/06/2011,,
84092,UT,2.3028,16843.0,06/12/2011,,
84405,UT,1.9836,9405.0,06/20/2011,,
84124,UT,4.36392,14112.0,06/21/2011,,
84120,UT,3.17376,35277.0,07/06/2011,,
84095,UT,5.399379,21145.37,07/07/2011,,
84108,UT,2.337,31110.0,07/08/2011,,
84078,UT,2.317224,13602.93,07/25/2011,,
84104,UT,26.50752,160250.0,08/04/2011,,
84117,UT,1.621972,12985.0,08/04/2011,,
84532,UT,6.45696,27053.14,08/11/2011,,
84102,UT,1.5662,15335.0,08/17/2011,,
84070,UT,20.92185,95172.0,09/08/2011,,
84121,UT,2.3493,15538.0,09/08/2011,,
84098,UT,19.356246,99031.0,09/13/2011,,
84032,UT,3.666816,31930.62,09/15/2011,,
84075,UT,9.58056,99500.0,09/30/2011,,
84106,UT,4.3092,13920.15,11/04/2011,,
84108,UT,2.5004,14899.4,11/15/2011,,
84098,UT,2.894175,22845.0,11/29/2011,,
84102,UT,3.55167,14345.64,11/30/2011,,
84065,UT,2.77704,12454.38,12/08/2011,,
84124,UT,5.094144,36802.88,12/09/2011,,
84109,UT,2.81534,16798.35,12/13/2011,,
84117,UT,3.44052,13420.18,12/22/2011,,
84025,UT,3.17376,14973.0,12/23/2011,,
84117,UT,4.100544,16170.52,01/03/2012,,
84056,UT,220,,06/25/2009,,
84096,UT,0.765,3482.301347,12/29/2014,,
84088,UT,4.05,14236.12514,09/08/2014,,
84097,UT,13.8,65357.57372,10/01/2014,,
84103,UT,4.32,17699.85016,12/16/2014,,
84096,UT,0.765,3482.301347,12/29/2014,,
84040,UT,4.9,13339.90499,01/27/2014,,
84096,UT,0.765,3482.301347,12/29/2014,,
84025,UT,3.24,12903.8161,07/09/2014,,
84095,UT,6,16728.7732,01/30/2014,,
84084,UT,26.01,68042.72661,12/29/2014,,
84096,UT,0.75,3495.640076,01/24/2014,,
84074,UT,3.25,14457.53956,07/31/2014,,
84414,UT,4.75,18363.5472,09/08/2014,,
84070,UT,32,161109.3675,12/29/2014,,
84119,UT,27.54,119990.9022,02/20/2014,,
84062,UT,4,17388.79328,07/14/2014,,
84404,UT,3.795,16993.04417,09/04/2014,,
84720,UT,3.75,37886.65626,05/19/2014,,
84058,UT,23.4,182068.8042,01/27/2014,,
84070,UT,4.08,12761.37385,06/09/2014,,
84062,UT,0.765,3710.153144,12/18/2014,,
84003,UT,231.8,593473.2739,12/16/2014,,
84106,UT,27.54,241796.7928,02/13/2014,,
84404,UT,4.32,17986.59019,07/09/2014,,
84096,UT,0.75,3495.640076,01/24/2014,,
84060,UT,1.925,7370.680693,09/08/2014,,
84405,UT,5.355,11276.72187,07/31/2014,,
84096,UT,0.75,3482.301347,12/18/2014,,
84405,UT,17.5,55335.33469,01/28/2014,,
84123,UT,15.3,74325.36398,01/28/2014,,
84025,UT,6.36,25470.36131,09/04/2014,,
84093,UT,26.52,163951.4795,07/31/2014,,
84042,UT,27.04,132637.9749,12/17/2014,,
84096,UT,0.765,3482.301347,12/18/2014,,
84050,UT,5.1,20388.47041,09/22/2014,,
84317,UT,13.77,48540.08465,09/04/2014,,
84105,UT,4.24,15649.91396,07/31/2014,,
84096,UT,0.765,3482.301347,12/29/2014,,
84042,UT,27.04,132637.9749,12/17/2014,,
84095,UT,1.5,7741.213359,01/24/2014,,
84103,UT,8.91,31351.55451,10/01/2014,,
84096,UT,1.5,6145.75251,02/13/2014,,
84096,UT,0.765,3482.301347,12/29/2014,,
84020,UT,5,11562.79885,09/04/2014,,
84095,UT,6.375,26317.33232,02/20/2014,,
84738,UT,5.4,25267.76172,05/19/2014,,
84097,UT,5.61,18028.27135,06/02/2014,,
84074,UT,22.8,32795.83271,02/25/2014,,
84095,UT,1.53,7741.213359,01/24/2014,,
84042,UT,27.04,132637.9749,12/17/2014,,
84401,UT,14.04,80453.86437,12/17/2014,,
84532,UT,3.06,13610.61615,12/29/2014,,
84037,UT,8.16,26503.29162,06/02/2014,,
84532,UT,4,14813.26459,07/11/2014,,
84070,UT,58.31,190530.6011,01/28/2014,,
84020,UT,3.975,24628.9029,05/19/2014,,
84105,UT,2.295,12082.95277,02/20/2014,,
84105,UT,4.32,17161.47306,10/01/2014,,
84098,UT,7.56,25980.5249,08/05/2014,,
84096,UT,0.765,3482.301347,12/29/2014,,
84095,UT,4.845,17049.62615,08/01/2014,,
84121,UT,4.68,19849.31932,12/29/2014,,
84337,UT,5,17404.79181,09/04/2014,,
84045,UT,5,10450.73407,08/05/2014,,
84047,UT,4.25,13190.64176,07/31/2014,,
84118,UT,279.99,1177469.717,07/31/2014,,
84101,UT,9.805,45253.71167,02/14/2014,,
84096,UT,0.735,3495.640076,01/24/2014,,
84095,UT,1.5,7741.213359,01/24/2014,,
84101,UT,9.6,17967.65131,07/31/2014,,
84096,UT,0.765,3482.301347,12/29/2014,,
84004,UT,6.75,23310.93506,02/03/2014,,
84109,UT,6,18246.27916,10/01/2014,,
84095,UT,7.65,21731.12578,09/04/2014,,
84109,UT,4.5,16516.39477,02/25/2014,,
84302,UT,5.1,16839.882,09/19/2014,,
84088,UT,10.78,27134.80481,06/02/2014,,
84121,UT,4.77,19279.70035,07/14/2014,,
84092,UT,6.03,27289.26469,11/25/2014,,
84414,UT,5.56,8251.139096,02/13/2014,,
84014,UT,4.77,17885.61595,07/31/2014,,
84105,UT,3.91,10564.62586,01/28/2014,,
84123,UT,8.16,39640.19412,01/28/2014,,
84095,UT,4.08,14044.21494,09/22/2014,,
84118,UT,0.75,4256.705894,01/24/2014,,
84096,UT,0.75,3495.640076,01/24/2014,,
84095,UT,5.1,17528.01715,06/02/2014,,
84040,UT,3.54,11071.56257,05/02/2014,,
84117,UT,18.36,66341.93803,11/02/2014,,
84095,UT,4.68,17657.75935,08/07/2014,,
84095,UT,6.24,23838.18279,06/02/2014,,
84096,UT,0.765,3482.301347,12/18/2014,,
84096,UT,0.765,3482.301347,12/18/2014,,
84652,UT,32.4,63286.87344,01/28/2014,,
84041,UT,0.765,3730.31702,12/18/2014,,
84107,UT,4.9,22394.43015,08/06/2014,,
84405,UT,3.57,9941.566676,11/02/2014,,
84070,UT,28.08,145015.612,06/20/2014,,
84070,UT,27,145229.98,01/28/2014,,
84057,UT,24.96,85253.54045,01/27/2014,,
84101,UT,15,50470.72452,02/25/2014,,
84103,UT,7.65,28049.11721,07/31/2014,,
84720,UT,3,12661.98268,05/19/2014,,
84074,UT,1.68,8551.869902,01/28/2014,,
84624,UT,11.22,35921.76653,11/25/2014,,
84004,UT,6.12,24108.57487,11/02/2014,,
84117,UT,19.89,61334.47735,12/29/2014,,
84042,UT,64.8,209051.4409,09/19/2014,,
84115,UT,28.08,141787.5247,06/12/2014,,
84096,UT,0.75,1741.380572,02/03/2014,,
84047,UT,28.08,131300.7108,06/02/2014,,
84045,UT,5,15689.14307,07/08/2014,,
84095,UT,2,8966.812702,01/24/2014,,
84652,UT,259.2,469561.4171,01/28/2014,,
84779,UT,3,8923.844393,02/13/2014,,
84405,UT,7.425,24598.57668,10/03/2014,,
84404,UT,12.6,22457.49487,11/02/2014,,
84096,UT,0.75,3495.640076,01/24/2014,,
84084,UT,30,95498.01638,02/03/2014,,
84070,UT,31.2,145412.15,01/28/2014,,
84070,UT,18.36,53631.62277,09/11/2014,,
84095,UT,1.5,7741.213359,01/24/2014,,
84124,UT,11,35287.19845,11/25/2014,,
84120,UT,236.25,766432.137,02/13/2014,,
84112,UT,102.6,347092.7032,11/02/2014,,
84088,UT,5.4,8364.222385,06/02/2014,,
84321,UT,6.12,20911.76402,12/16/2014,,
84532,UT,4,16204.36805,07/14/2014,,
84093,UT,11,36441.04974,11/25/2014,,
84074,UT,5.13,6075.169626,02/25/2014,,
84070,UT,30.24,135097.9677,12/17/2014,,
84101,UT,10.8,34218.7534,02/03/2014,,
84095,UT,1.53,6144.941144,12/26/2014,,
84096,UT,1.47,3495.640076,01/24/2014,,
84084,UT,19.11,65268.47833,01/27/2014,,
84003,UT,5.355,17975.96453,05/19/2014,,
84015,UT,5.1,16850.15001,05/19/2014,,
84335,UT,5.035,17490.62842,01/27/2014,,
84121,UT,15.6,76439.65491,08/05/2014,,
84130,UT,364.14,1278420.945,09/04/2014,,
84096,UT,0.765,3482.301347,12/29/2014,,
84098,UT,4.32,11327.32693,09/22/2014,,
84738,UT,7.5,29240.05025,09/23/2014,,
84042,UT,27.04,132637.9749,12/17/2014,,
84405,UT,6,23292.3516,02/03/2014,,
84070,UT,28.08,145015.612,06/20/2014,,
84060,UT,8.82,31214.88177,01/27/2014,,
84128,UT,6.63,22345.1319,05/19/2014,,
84060,UT,2.385,8871.879343,10/20/2014,,
84115,UT,26.52,73643.69764,10/23/2014,,
84103,UT,4.08,15764.19028,06/20/2014,,
84121,UT,4.32,17158.63324,05/19/2014,,
84104,UT,30.015,116921.5187,10/23/2014,,
84738,UT,5.1,18718.58074,02/13/2014,,
84096,UT,0.735,3495.640076,01/24/2014,,
84096,UT,0.765,3482.301347,12/26/2014,,
84057,UT,5,19151.17232,07/09/2014,,
84057,UT,30.74,189392.3894,10/01/2014,,
84115,UT,21.42,59077.0449,10/23/2014,,
84020,UT,4.75,24034.84779,06/20/2014,,
84070,UT,28.08,145015.612,06/20/2014,,
84096,UT,0.765,3482.301347,12/18/2014,,
84108,UT,5,22197.16267,01/27/2014,,
84003,UT,7.28,24138.31506,05/19/2014,,
84120,UT,25.48,85253.54045,01/27/2014,,
84096,UT,0.765,3482.301347,12/18/2014,,
84060,UT,3.71,13961.30714,01/27/2014,,
84101,UT,4.05,13834.78129,08/01/2014,,
84096,UT,0.75,3495.640076,01/24/2014,,
84074,UT,28.5,50501.49396,01/27/2014,,
84025,UT,13.5,43569.16671,09/09/2014,,
84746,UT,6.72,25579.41577,08/01/2014,,
84098,UT,3.71,17442.77282,08/19/2014,,
84096,UT,0.735,3495.640076,01/24/2014,,
84096,UT,0.75,3482.761143,02/03/2014,,
84025,UT,3.75,15746.50303,09/08/2014,,
84096,UT,0.75,3482.761143,02/13/2014,,
84014,UT,7.02,12492.64014,12/16/2014,,
84096,UT,0.75,3495.640076,01/24/2014,,
84401,UT,25.235,56189.89424,02/03/2014,,
84074,UT,7.14,22986.25991,09/19/2014,,
84401,UT,7.5,36527.11107,01/28/2014,,
84738,UT,7.14,18672.8978,05/19/2014,,
84092,UT,4.95,26368.30036,12/29/2014,,
84065,UT,4.335,15164.43844,05/02/2014,,
84096,UT,0.75,3495.640076,01/24/2014,,
84042,UT,28.08,134331.9486,11/25/2014,,
84096,UT,0.75,3482.761143,02/03/2014,,
84095,UT,1.96,8966.812702,01/24/2014,,
84042,UT,27.04,132637.9749,12/17/2014,,
84041,UT,5.035,18010.81526,07/02/2014,,
84070,UT,28.08,127012.979,01/27/2014,,
84041,UT,3.825,14569.30259,09/22/2014,,
84087,UT,5.1,17324.39934,06/12/2014,,
84054,UT,6,19452.46913,11/25/2014,,
84042,UT,4.75,18001.52753,09/24/2014,,
84098,UT,4.8,25468.32107,02/20/2014,,
84120,UT,31.5,102467.1888,02/25/2014,,
84116,UT,34.5,96891.141,02/25/2014,,
84119,UT,28.08,133270.9773,09/08/2014,,
84095,UT,11.88,39111.00634,08/19/2014,,
84118,UT,9.62,28862.11762,09/08/2014,,
84070,UT,69.3,155383.9704,11/02/2014,,
84098,UT,4.32,11831.25546,07/14/2014,,
84096,UT,0.765,3482.761143,02/13/2014,,
84098,UT,7.83,32971.63761,09/08/2014,,
84101,UT,4.05,14013.89367,12/18/2014,,
84014,UT,10,48072.64146,01/27/2014,,
84057,UT,31.27,149061.133,10/01/2014,,
84103,UT,4.16,16930.38692,09/04/2014,,
84096,UT,0.75,3482.761143,02/03/2014,,
84317,UT,6.12,57175.5048,01/28/2014,,
84321,UT,29.12,82607.53624,10/01/2014,,
84117,UT,14.28,44031.85554,12/29/2014,,
84093,UT,4.335,15248.68112,11/25/2014,,
84115,UT,2.289,6458.694648,07/08/2014,,
84020,UT,5.46,27728.98999,02/20/2014,,
84763,UT,4.08,11788.53403,09/19/2014,,
84118,UT,0.75,4256.705894,01/24/2014,,
84096,UT,0.735,3495.640076,01/24/2014,,
84095,UT,2,8966.812702,01/24/2014,,
84115,UT,5,32293.47324,07/02/2014,,
84751,UT,25,93982.24018,11/02/2014,,
84090,UT,9.69,38983.37003,01/27/2014,,
84101,UT,4.05,15367.87214,01/27/2014,,
84092,UT,2.5,11629.38461,09/09/2014,,
