Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=VT
05142,VT,4.14,25200.0,01/14/2010,,
05491,VT,3.36,14296.0,01/16/2010,,
05262,VT,4.8,31880.0,01/16/2010,,
05655,VT,1.38,4977.75,01/20/2010,,
05074,VT,3.36,15430.0,01/22/2010,,
05445,VT,1.075,8425.0,01/22/2010,,
05473,VT,4.86,23932.4,01/23/2010,,
05001,VT,1.84,13910.0,01/24/2010,,
05477,VT,4.0,29930.0,01/28/2010,,
05403,VT,3.36,22546.0,01/29/2010,,
05055,VT,5.04,31000.0,01/29/2010,,
05032,VT,4.41,15789.0,02/09/2010,,
05495,VT,5.04,32000.0,02/12/2010,,
05301,VT,5.7,29950.0,02/12/2010,,
05660,VT,4.2,21560.0,02/15/2010,,
05354,VT,4.5,29405.0,02/18/2010,,
05732,VT,2.016,21469.0,02/21/2010,,
05262,VT,3.01,18007.0,02/21/2010,,
05344,VT,3.4,26921.0,02/23/2010,,
05471,VT,3.36,24093.0,02/25/2010,,
05461,VT,4.1,31200.0,03/03/2010,,
05443,VT,5.376,42944.12,03/05/2010,,
05070,VT,3.2,29799.39,03/10/2010,,
05055,VT,2.4,20725.89,03/12/2010,,
05445,VT,5.04,35506.68,03/17/2010,,
05478,VT,3.78,26460.0,03/23/2010,,
05464,VT,7.0,48055.59,03/31/2010,,
05055,VT,3.2,19115.55,04/01/2010,,
05042,VT,5.76,21419.0,04/06/2010,,
05401,VT,2.52,18200.0,04/07/2010,,
05401,VT,2.94,36527.0,04/08/2010,,
05035,VT,6.3,28357.0,04/11/2010,,
05143,VT,8.385,51514.0,04/13/2010,,
05667,VT,4.05,27801.73,04/16/2010,,
05070,VT,3.84,21503.0,04/17/2010,,
05074,VT,3.84,22203.0,04/17/2010,,
05753,VT,2.66,21181.07,04/22/2010,,
05151,VT,5.76,34848.0,04/27/2010,,
05065,VT,2.4,18652.0,04/30/2010,,
05676,VT,2.76,18795.0,05/23/2010,,
05445,VT,7.8,62000.0,05/24/2010,,
05461,VT,5.04,29900.0,05/25/2010,,
05866,VT,5.17,29180.0,05/26/2010,,
05446,VT,3.36,40040.0,05/26/2010,,
05043,VT,4.92,39247.19,06/01/2010,,
05055,VT,4.6,28847.04,06/03/2010,,
05655,VT,3.42,23919.0,06/03/2010,,
05733,VT,8.16,44376.0,06/05/2010,,
05143,VT,1.68,18759.6,06/08/2010,,
05037,VT,8.28,56008.75,06/10/2010,,
05667,VT,5.25,35187.0,06/12/2010,,
05262,VT,4.32,40067.46,06/12/2010,,
05673,VT,3.68,31534.0,06/14/2010,,
05454,VT,3.36,23783.0,06/14/2010,,
05350,VT,10.8,65627.0,06/16/2010,,
05161,VT,5.04,42500.0,06/18/2010,,
05001,VT,2.4,15346.0,06/21/2010,,
05445,VT,3.84,22579.0,06/27/2010,,
05462,VT,3.96,25974.0,06/28/2010,,
05151,VT,1.2,17820.0,06/28/2010,,
05656,VT,3.075,23500.0,06/30/2010,,
05344,VT,3.51,22164.49,06/30/2010,,
05472,VT,5.06,26430.0,07/08/2010,,
05053,VT,2.64,19967.49,07/09/2010,,
05353,VT,7.14,32150.0,07/13/2010,,
05457,VT,3.9,31000.0,07/14/2010,,
05075,VT,0.76,0.0,07/14/2010,,
05403,VT,7.2,35228.0,07/14/2010,,
05821,VT,1.95,15225.0,07/14/2010,,
05401,VT,3.36,21684.0,07/15/2010,,
05495,VT,4.1,34476.33,07/15/2010,,
05363,VT,3.44,21296.0,07/16/2010,,
05346,VT,3.42,19550.0,07/16/2010,,
05839,VT,1.84,13432.6,07/18/2010,,
05477,VT,2.7,15500.0,07/22/2010,,
05352,VT,4.725,27942.0,07/22/2010,,
05677,VT,3.99,23468.0,07/23/2010,,
05641,VT,3.36,19358.0,07/23/2010,,
05472,VT,5.28,33632.47,07/23/2010,,
05301,VT,4.3,30121.0,07/27/2010,,
05446,VT,2.4,14880.0,07/29/2010,,
05674,VT,3.99,23227.0,07/29/2010,,
05777,VT,3.36,24516.0,07/29/2010,,
05482,VT,3.87,28416.0,07/30/2010,,
05201,VT,2.88,19123.0,08/02/2010,,
05676,VT,14.85,76923.0,08/02/2010,,
05354,VT,4.515,27982.0,08/03/2010,,
05767,VT,2.76,25062.39,08/08/2010,,
05651,VT,3.87,38415.94,08/08/2010,,
05477,VT,5.4,26074.0,08/09/2010,,
05354,VT,5.805,36302.0,08/13/2010,,
05443,VT,3.075,14456.23,08/15/2010,,
05753,VT,2.3,15096.0,08/17/2010,,
05001,VT,1.374,15027.81,08/17/2010,,
05465,VT,3.36,29741.0,08/20/2010,,
05035,VT,6.9,28105.0,08/23/2010,,
05075,VT,1.84,13364.0,08/24/2010,,
05651,VT,9.9,52767.0,08/24/2010,,
05672,VT,5.25,36971.94,08/30/2010,,
05345,VT,2.58,17228.0,08/31/2010,,
05733,VT,5.52,25198.27,09/03/2010,,
05446,VT,7.35,59670.84,09/03/2010,,
05055,VT,5.76,35595.0,09/07/2010,,
05156,VT,5.4,47948.0,09/08/2010,,
05445,VT,1.05,5900.0,09/09/2010,,
05486,VT,3.36,22550.0,09/09/2010,,
05602,VT,8.0,0.0,09/11/2010,,
05495,VT,21.6,112420.0,09/14/2010,,
05443,VT,1.344,13054.33,09/19/2010,,
05660,VT,5.4,66955.0,09/21/2010,,
05452,VT,3.22,18547.0,09/23/2010,,
05669,VT,5.52,32295.0,09/24/2010,,
05819,VT,6.3,33774.0,09/26/2010,,
05476,VT,30.36,146278.0,09/29/2010,,
05491,VT,3.15,23500.0,09/30/2010,,
05822,VT,1.84,13800.0,10/01/2010,,
05465,VT,9.66,48819.0,10/04/2010,,
05490,VT,7.74,43548.0,10/05/2010,,
05482,VT,8.1,36169.82,10/05/2010,,
05446,VT,8.0,62000.0,10/06/2010,,
05142,VT,6.75,59128.0,10/08/2010,,
05677,VT,2.52,13265.93,10/11/2010,,
05301,VT,1.84,14000.0,10/12/2010,,
05445,VT,22.95,105730.0,10/14/2010,,
05067,VT,8.28,49807.0,10/14/2010,,
05041,VT,3.8,11350.02,10/15/2010,,
05461,VT,4.8,27876.0,10/15/2010,,
05452,VT,18.144,85600.0,10/16/2010,,
05037,VT,1.15,5824.22,10/18/2010,,
05346,VT,8.1,109297.0,10/20/2010,,
05001,VT,4.92,29824.77,10/22/2010,,
05301,VT,5.4,29910.0,10/24/2010,,
05158,VT,59.616,392500.0,10/25/2010,,
05751,VT,22.08,92322.0,10/26/2010,,
05048,VT,4.6,27285.0,10/28/2010,,
05091,VT,44.8,217134.0,10/28/2010,,
05841,VT,5.55,45128.99,11/01/2010,,
05602,VT,8.1,60497.53,11/02/2010,,
05465,VT,3.15,24413.0,11/05/2010,,
05142,VT,7.82,43870.0,11/05/2010,,
05672,VT,4.05,20338.0,11/08/2010,,
05461,VT,4.2,32550.0,11/10/2010,,
05676,VT,3.44,31110.06,11/10/2010,,
05048,VT,2.3,15615.0,11/11/2010,,
05676,VT,2.3,14025.0,11/11/2010,,
05676,VT,2.7,18461.0,11/12/2010,,
05492,VT,3.7,31435.48,11/12/2010,,
05458,VT,3.36,22550.0,11/14/2010,,
05872,VT,5.4,39953.55,11/14/2010,,
05753,VT,5.85,38271.0,11/15/2010,,
05734,VT,2.88,17759.0,11/15/2010,,
05661,VT,22.08,171120.0,11/16/2010,,
05450,VT,4.2,29400.0,11/16/2010,,
05739,VT,1.52,0.0,11/16/2010,,
05346,VT,5.52,62977.0,11/17/2010,,
05495,VT,8.0,62000.0,11/18/2010,,
05641,VT,9.0,54310.0,11/18/2010,,
05001,VT,4.95,27967.0,11/18/2010,,
05677,VT,4.96,0.0,11/18/2010,,
05345,VT,1.84,16420.0,11/19/2010,,
05359,VT,2.58,16871.0,11/19/2010,,
05819,VT,4.14,26561.0,11/22/2010,,
05072,VT,2.88,0.0,11/23/2010,,
05001,VT,7.82,41234.0,11/24/2010,,
05848,VT,15.3,0.0,11/26/2010,,
05065,VT,5.06,24441.0,11/28/2010,,
05075,VT,3.22,19167.0,11/29/2010,,
05158,VT,1.84,11772.0,11/30/2010,,
05346,VT,28.29,199000.0,11/30/2010,,
05489,VT,4.2,34460.0,12/02/2010,,
05301,VT,21.6,109080.0,12/03/2010,,
05734,VT,9.9,46841.0,12/06/2010,,
05452,VT,12.65,76923.07,12/07/2010,,
05655,VT,3.675,26291.0,12/09/2010,,
05491,VT,4.2,0.0,12/09/2010,,
05701,VT,1.435,12857.75,12/09/2010,,
05495,VT,4.92,23370.0,12/10/2010,,
05661,VT,14.4,121606.18,12/12/2010,,
05403,VT,5.76,44640.0,12/14/2010,,
05346,VT,7.56,48546.0,12/15/2010,,
05055,VT,3.22,19167.0,12/17/2010,,
05043,VT,1.64,7433.14,12/18/2010,,
05855,VT,5.55,35229.84,12/20/2010,,
05464,VT,4.2,31500.0,12/20/2010,,
05451,VT,2.76,17330.0,12/20/2010,,
05070,VT,9.66,0.0,12/24/2010,,
05346,VT,16.2,0.0,12/26/2010,,
05676,VT,5.88,0.0,12/27/2010,,
05346,VT,3.45,0.0,12/29/2010,,
05401,VT,10.08,0.0,12/29/2010,,
05672,VT,7.56,0.0,12/30/2010,,
05055,VT,5.52,0.0,12/31/2010,,
05048,VT,2.52,23340,02/20/2008,,
05701,VT,3,21371,05/07/2009,,
05446,VT,3.2,30377,01/16/2009,,
05301,VT,2.2,17426,01/22/2009,,
05038,VT,3.8,33970,06/06/2009,,
05733,VT,1.4,16614,08/04/2009,,
05152,VT,4.9,38908.25,07/22/2009,,
05828,VT,2.88,26903,10/30/2008,,
05068,VT,2.28,18723.18,07/11/2008,,
05477,VT,2.15,19495,07/12/2007,,
05826,VT,2,20439.7,07/25/2007,,
05071,VT,9,78661,11/08/2007,,
05048,VT,3.6,24887,04/14/2006,,
05664,VT,5.32,46730,09/12/2008,,
05494,VT,2.4,34359,07/26/2007,,
05446,VT,3.8,35990,09/26/2008,,
05035,VT,2.88,20369.56,08/04/2008,,
05465,VT,2.28,26201,06/15/2007,,
05489,VT,3.8,32084.84,05/01/2009,,
05001,VT,10.56,56161,12/28/2005,,
05477,VT,7,65167,03/16/2009,,
05452,VT,3.4,24020,01/27/2009,,
05482,VT,4.18,33112,04/06/2006,,
05033,VT,9.6,61085,11/05/2009,,
05836,VT,3.24,40215,12/07/2007,,
05065,VT,1.44,21637,02/20/2008,,
05490,VT,2.07,17800,07/13/2006,,
05070,VT,4.8,26344.06,11/02/2009,,
05673,VT,2.9,24031,01/30/2009,,
05101,VT,4.1,25272.6,08/22/2009,,
05443,VT,1.3,10525,05/07/2009,,
05065,VT,1.44,21637,02/08/2008,,
05001,VT,4,31845.05,09/30/2009,,
05036,VT,2.3,17077,10/07/2009,,
05143,VT,4.56,28360,10/20/2008,,
05301,VT,3.24,33996,03/28/2008,,
05495,VT,2.34,22102,05/23/2008,,
05777,VT,3.04,19598,07/17/2008,,
05482,VT,2,18615,08/02/2007,,
05774,VT,2.66,20319.99,12/19/2008,,
05452,VT,1,11409,11/19/2009,,
05446,VT,1.8,3150,07/01/2008,,
05733,VT,1.5,12069,09/11/2009,,
05445,VT,2,15597,12/21/2006,,
05445,VT,2.16,14580,02/13/2004,,
05032,VT,4.6,26654.35,10/22/2009,,
05660,VT,2.7,24710,07/30/2004,,
05660,VT,12.6,132380,01/16/2009,,
05149,VT,2.2,18517.5,05/01/2009,,
05651,VT,2.28,33836,08/10/2006,,
05403,VT,1.4,13842,07/25/2007,,
05661,VT,4.08,43947,09/12/2008,,
05047,VT,2.2,11000,04/20/2006,,
05071,VT,3.6,32424.87,11/08/2007,,
05461,VT,4.8,40032,10/05/2007,,
05773,VT,2.1,16941.79,11/03/2008,,
05674,VT,2.9,22721,01/26/2009,,
05446,VT,4.68,38122,05/16/2008,,
05055,VT,2.64,24215,08/29/2006,,
05072,VT,1.76,11978,06/01/2006,,
05465,VT,4.9,43171,08/04/2009,,
05773,VT,2.4,14892,01/10/2009,,
05701,VT,5.04,46092,02/08/2008,,
05677,VT,2.2,17506,05/11/2007,,
05445,VT,6.3,43923,09/15/2009,,
05734,VT,2.04,17937,02/01/2008,,
05301,VT,3.6,30087,03/06/2008,,
05148,VT,1.8,17745.17,05/24/2007,,
05401,VT,2,18331,09/26/2008,,
05048,VT,1.5,11756,02/27/2006,,
05151,VT,5.7,44089.38,05/12/2009,,
05682,VT,0.75,11045,03/14/2008,,
05001,VT,3.5,24475,10/07/2009,,
05143,VT,1.5,15000,03/28/2009,,
05602,VT,2.28,14300,01/28/2005,,
05602,VT,1.52,16229.47,05/31/2007,,
05753,VT,1.98,12851.25,02/19/2004,,
05070,VT,5.12,36439.55,10/05/2007,,
05362,VT,4.1,29800,07/18/2009,,
05301,VT,2.64,25189,02/27/2006,,
05855,VT,6.6,53754.35,11/01/2009,,
05067,VT,4.2,44654.88,10/19/2007,,
05673,VT,5,48989.36,09/14/2009,,
05401,VT,1.2,10170.2,02/13/2004,,
05091,VT,4.7,36801.06,01/23/2009,,
05454,VT,12.5,86800,03/09/2009,,
05048,VT,2.76,33425,12/17/2004,,
05769,VT,2.64,32852,04/27/2006,,
05403,VT,3.6,27412,11/18/2009,,
05055,VT,1.8,17979,12/19/2008,,
05676,VT,1.248,12447,01/11/2007,,
05602,VT,6.84,54653,07/12/2007,,
05251,VT,3.8,34278.8,09/26/2008,,
05495,VT,3.78,31073,09/12/2008,,
05455,VT,3.24,47746.68,09/26/2008,,
05001,VT,3.52,22669.75,07/02/2004,,
05651,VT,2.4,22982,11/17/2005,,
05851,VT,1.8,17979,03/20/2008,,
05039,VT,5.32,46533,01/11/2007,,
05037,VT,3.6,32410,02/08/2008,,
05344,VT,4.94,40241,08/28/2008,,
05651,VT,1.8,14154.54,09/17/2004,,
05065,VT,3.06,23075,05/11/2007,,
05836,VT,2.4,24109.14,11/08/2007,,
05035,VT,3.2,16391,09/25/2009,,
05770,VT,0.84,8108.4,06/11/2004,,
05075,VT,2.16,29189.09,03/09/2007,,
05055,VT,12.9,97975,03/06/2008,,
05478,VT,3.52,34840,04/20/2006,,
05072,VT,1.6,16138.34,05/26/2009,,
05070,VT,1.52,22916.54,12/19/2008,,
05777,VT,3,18298.2,12/03/2009,,
05065,VT,1.8,14889.81,08/08/2008,,
05055,VT,5.4,58368.18,02/18/2009,,
05488,VT,4,33929,08/04/2008,,
05091,VT,2.2,19965,04/21/2009,,
05495,VT,2.4,23950,05/14/2009,,
05826,VT,3.1,24219,09/02/2009,,
05443,VT,16.8,169433,10/12/2007,,
05855,VT,2.7,34360.41,05/15/2009,,
05151,VT,7.278,77080.86,01/14/2005,,
05674,VT,4.1,36800,07/23/2009,,
05143,VT,3,27883.81,10/12/2006,,
05462,VT,15.12,133618.72,07/24/2008,,
05495,VT,2.7,24064,02/04/2009,,
05356,VT,14.82,152950,12/19/2008,,
05201,VT,3.2,24190,01/15/2009,,
05602,VT,1.17,4705.36,10/08/2004,,
05491,VT,1.6,14901,05/07/2009,,
05821,VT,4.8,45845,06/12/2009,,
05054,VT,3.24,29915,09/19/2008,,
05061,VT,2.4,30765,09/13/2007,,
05674,VT,8,53437.4,05/22/2009,,
05353,VT,5.4,48600,08/08/2008,,
05301,VT,10.8,82300,05/16/2008,,
05070,VT,1.8,17979,05/24/2007,,
05055,VT,3.8,25840,07/07/2009,,
05655,VT,0.175,1372.69,11/10/2009,,
05478,VT,1,7485,08/17/2009,,
05841,VT,5.04,34991.25,12/10/2004,,
05766,VT,2.64,24748,01/11/2007,,
05301,VT,1.1,13131,09/21/2006,,
05602,VT,3.15,24456,07/03/2008,,
05443,VT,3.8,31550,08/16/2007,,
05494,VT,2.5,18840,10/07/2009,,
05143,VT,2.3,31002,08/10/2006,,
05074,VT,2,19480,05/11/2009,,
05488,VT,3.45,29327,07/12/2007,,
05673,VT,8.2,65725,06/24/2009,,
05819,VT,1.5,17811.5,03/09/2009,,
05673,VT,5,39705,09/10/2009,,
05658,VT,4.305,41060,09/26/2008,,
05469,VT,3.85,45453,11/03/2008,,
05060,VT,2.88,26900,10/05/2007,,
05031,VT,5.9,41647.22,10/16/2009,,
05777,VT,1.8,17080.71,10/20/2008,,
05091,VT,3,23823,08/06/2009,,
05677,VT,5.6,31558.71,07/15/2009,,
05068,VT,1.5,15960,03/09/2009,,
05672,VT,5.46,54668,09/26/2008,,
05089,VT,1.14,17677.05,12/19/2008,,
05764,VT,1.44,13291,09/05/2007,,
05001,VT,3.6,37024,05/23/2008,,
05255,VT,5.04,27260,12/07/2007,,
05079,VT,3.42,33916,03/15/2007,,
05673,VT,8.2,80275,11/18/2009,,
05489,VT,37.62,99435.72,10/05/2007,,
05461,VT,3.72,24245.18,09/13/2007,,
05075,VT,3.9,26092.59,04/22/2009,,
05486,VT,2.3,31522.6,02/04/2009,,
05403,VT,3,24482.8,08/01/2009,,
05482,VT,17.6,125427.21,09/01/2009,,
05673,VT,16.3,144347,01/21/2009,,
05401,VT,4.2,29748.59,04/21/2005,,
05405,VT,1.6,14424,11/11/2009,,
05001,VT,4.94,37102.46,08/08/2008,,
05641,VT,1.84,17991,07/13/2006,,
05091,VT,2.7,24706,04/20/2009,,
05445,VT,3.3,30696,02/27/2006,,
05602,VT,1.035,10084,01/11/2007,,
05734,VT,2.6,16300,02/07/2009,,
05201,VT,2.53,35449.5,09/23/2005,,
05753,VT,1.44,12059,05/13/2005,,
05861,VT,3.7,26545,08/26/2009,,
05156,VT,1.52,22500.55,09/26/2008,,
05766,VT,1.2,11470,09/28/2006,,
05648,VT,4.8,41597,11/17/2005,,
05677,VT,3.6,45111,08/08/2008,,
05354,VT,3.2,20900,10/05/2009,,
05753,VT,3.968,27723.15,08/08/2008,,
05647,VT,3,31750.6,07/01/2005,,
05053,VT,2.64,22107,03/27/2006,,
05648,VT,3.42,31434,01/05/2007,,
05767,VT,4,29839.81,09/17/2009,,
05055,VT,6.6,48067,02/27/2006,,
05682,VT,2.73,31226,12/30/2008,,
05152,VT,1.48,19980.72,08/13/2004,,
05862,VT,5.94,62988,07/13/2006,,
05461,VT,2.04,17126.78,07/24/2008,,
05061,VT,1.98,26211.25,10/22/2004,,
05482,VT,3.2,21000,11/21/2009,,
05052,VT,3.8,28244.89,12/19/2008,,
05841,VT,3.7,26714.15,11/07/2009,,
05733,VT,1.8,17979,07/12/2007,,
05482,VT,3.2,39463,01/11/2009,,
05446,VT,2.7,23706,04/07/2009,,
05362,VT,5.7,40075,12/01/2008,,
05043,VT,4.7,34806.9,01/03/2009,,
05091,VT,5.04,101209,05/30/2008,,
05445,VT,1.65,15590,03/01/2006,,
05647,VT,2.835,44945.73,02/11/2005,,
05075,VT,2.28,18637.01,09/26/2008,,
05346,VT,2.52,22925,05/16/2007,,
05661,VT,2.4,19180.8,11/19/2009,,
05742,VT,2.88,25816,09/28/2007,,
05401,VT,1,13854,05/11/2009,,
05602,VT,2.4,17631.87,07/02/2004,,
05676,VT,1.6,15964.74,08/08/2008,,
05833,VT,1.44,12649.66,07/03/2008,,
05070,VT,1.54,9132.4,05/28/2004,,
05461,VT,2.66,18985,11/14/2008,,
05055,VT,3,20000,08/25/2009,,
05301,VT,1.19,9702,10/12/2007,,
05733,VT,4.56,31103,08/04/2008,,
05766,VT,4.3,31293,09/13/2007,,
05079,VT,3.84,32396.18,12/10/2004,,
05445,VT,3,24514,02/28/2009,,
05069,VT,5.4,34966,06/30/2009,,
05443,VT,5.04,40598,09/26/2008,,
05871,VT,1.44,13493,03/06/2008,,
05061,VT,2.04,17049,10/20/2008,,
05446,VT,4.2,33858,07/29/2009,,
05602,VT,1.52,14941.54,10/05/2007,,
05048,VT,2.16,18128.61,09/13/2007,,
05055,VT,5.61,48078,04/06/2006,,
05403,VT,3.7,24353,06/11/2009,,
05651,VT,2.925,25996.8,09/26/2008,,
05602,VT,3,25305.74,03/18/2005,,
05602,VT,2.925,26897.45,09/26/2008,,
05301,VT,2.97,22135,10/08/2004,,
05465,VT,5.04,42855,08/08/2008,,
05262,VT,2.88,28721,12/07/2007,,
05826,VT,3.7,35396.35,10/09/2009,,
05827,VT,1.44,11646.42,09/17/2004,,
05641,VT,4.25,42325,02/20/2008,,
05766,VT,1.71,23672,12/19/2008,,
05602,VT,8.68,62727.8,12/05/2008,,
05753,VT,1.32,17321,03/01/2007,,
05142,VT,1.265,10834,02/08/2007,,
05672,VT,13.3,127222,02/08/2008,,
05660,VT,2,23430,02/04/2009,,
05663,VT,4.8,49765,09/26/2008,,
05443,VT,3.42,30750,11/14/2008,,
05674,VT,5.28,42070.86,09/17/2004,,
05001,VT,1.86,17068,07/24/2008,,
05053,VT,0.96,19467,04/20/2006,,
05462,VT,2.16,15365,07/03/2008,,
05143,VT,1.44,9414.75,02/16/2007,,
05468,VT,5,33325,11/11/2009,,
05682,VT,2.4,25038,07/26/2007,,
05068,VT,3,18750,07/23/2004,,
05602,VT,5.8,41154.59,10/21/2009,,
05652,VT,1.26,10017.22,01/25/2008,,
05760,VT,1.36,14843,07/17/2008,,
05655,VT,4.32,40888.56,12/07/2006,,
05301,VT,2.28,19010,06/15/2007,,
05491,VT,1.8,23394,09/21/2006,,
05401,VT,3.96,28800,11/08/2007,,
05851,VT,2.3,28605.4,01/22/2009,,
05602,VT,4.992,50522,11/03/2008,,
05346,VT,2.55,32699.54,08/08/2008,,
05452,VT,8.8,65117.46,10/02/2009,,
05753,VT,8.55,71697,12/19/2008,,
05819,VT,4.2,33858,05/07/2009,,
05602,VT,2.64,14491.5,08/16/2007,,
05461,VT,2.1,18675,05/16/2008,,
05733,VT,2,19676,01/27/2009,,
05855,VT,3.3,26382.6,09/22/2009,,
05363,VT,1.32,15523.9,04/08/2005,,
05465,VT,3.33,24939,10/08/2004,,
05667,VT,2.72,19702.35,11/15/2004,,
05482,VT,2.28,16054,08/16/2007,,
05701,VT,1.52,11392.5,08/21/2008,,
05494,VT,1.32,17090,06/26/2008,,
05773,VT,1.44,16265.5,01/17/2008,,
05445,VT,3,24688,10/20/2008,,
05056,VT,1.1,19318,06/23/2009,,
05060,VT,3,28977,12/20/2007,,
05065,VT,2.64,23940,06/29/2006,,
05819,VT,5.06,44106,06/29/2006,,
05676,VT,2.16,27837.76,11/08/2007,,
05452,VT,2.9,22345,01/29/2009,,
05464,VT,2.88,15900,12/10/2004,,
05301,VT,3.6,26730,09/08/2009,,
05251,VT,4,31890,08/13/2009,,
05091,VT,6.15,47351,11/14/2008,,
05053,VT,0.72,12010,07/17/2008,,
05769,VT,0.64,5825,03/16/2009,,
05340,VT,5.3,34327,03/08/2009,,
05001,VT,1.98,20778.68,09/13/2007,,
05031,VT,1,10189,02/17/2009,,
05766,VT,1.92,19564.54,07/23/2004,,
05091,VT,9,78640.66,09/26/2008,,
05672,VT,5.04,41771,10/20/2008,,
05346,VT,4.3,30193,11/11/2009,,
05651,VT,1.95,18840,03/06/2008,,
05651,VT,1.5,12624.5,05/28/2004,,
05075,VT,1.14,11171.02,07/24/2008,,
05673,VT,1.8,23126.39,02/13/2004,,
05491,VT,2.7,19658.25,01/01/2009,,
05363,VT,6.8,65503,10/01/2009,,
05359,VT,1.44,13163,02/08/2008,,
05757,VT,0.96,6800,10/05/2007,,
05048,VT,1.8,15369.51,08/16/2007,,
05091,VT,3.9,36393.83,01/23/2009,,
05462,VT,2,15809,07/16/2009,,
05146,VT,2.38,23044,04/11/2008,,
05753,VT,2.1,19245,07/24/2008,,
05674,VT,2.64,25204,04/20/2006,,
05753,VT,2.7,23205,04/25/2009,,
05674,VT,2.16,15009,01/28/2005,,
05363,VT,5.28,45227,06/01/2006,,
05495,VT,1,10838.61,04/14/2009,,
05673,VT,2.64,32160,06/21/2006,,
05077,VT,1.19,11396,05/16/2008,,
05663,VT,0.66,7704,08/10/2006,,
05769,VT,0.64,6630,05/06/2009,,
05841,VT,3.04,32118.43,12/01/2008,,
05359,VT,1,10411,10/21/2009,,
05660,VT,4.3,39204.25,07/29/2009,,
05664,VT,2.1,21513,04/15/2009,,
05077,VT,1.8,15079,08/28/2008,,
05819,VT,4.1,43610,10/05/2007,,
05344,VT,0.92,7560,01/11/2007,,
05489,VT,12.3,84194,08/27/2009,,
05446,VT,2.1,19147.63,09/13/2007,,
05089,VT,1.76,17405,02/03/2006,,
05077,VT,1.8,17929,04/25/2007,,
05873,VT,2.7,24206,06/12/2009,,
05602,VT,3.6,40240.72,09/26/2008,,
05047,VT,0.96,4091.88,12/19/2008,,
05055,VT,3.52,28412,12/10/2007,,
05462,VT,1.44,15200,09/13/2007,,
05748,VT,4.92,39025,12/30/2008,,
05072,VT,2.64,24215,11/17/2005,,
05677,VT,2,23870,06/26/2009,,
05768,VT,22.8,141500,10/15/2009,,
05495,VT,2,13644,06/26/2008,,
05346,VT,1.02,6587.5,10/22/2004,,
